z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4213e+07,34585.7,250360,118142,0,3.4213e+07,2246.32,-6534.59,0,0,0,0,0,0,0,0,0,0,0,0,3.37659e+07,34124.1,194487,64931.5,0,6.94044e+07,-4283.11,10799.8,0,0,0,0,0,0,3.23647e+07,33182.4,254602,127718,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.1206e+07,31813.8,224934,92715.6,0,3.1206e+07,-2.82203,-2365.92,0,0,0,0,0,0,0,0,0,0,0,0,3.14441e+07,31825.3,210568,81012.9,0,6.39504e+07,-5966.1,-14073.3,0,0,0,0,0,0,2.51968e+07,25749.2,188280,61396,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.13919e+07,21794.9,204119,71901,0,2.13919e+07,9811.23,15990.8,0,0,0,0,0,0,0,0,0,0,0,0,3.6256e+07,36450.1,233135,103580,0,5.85393e+07,-5200.67,-13378.8,0,0,0,0,0,0,3.35577e+07,33887,251348,124464,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.30708e+07,23470.9,188931,56713.2,0,2.30708e+07,-1349.63,-1082.32,0,0,0,0,0,0,0,0,0,0,0,0,2.82944e+07,28654.8,213096,83540.9,0,5.23265e+07,1468.56,-9691.77,0,0,0,0,0,0,2.75645e+07,27763.2,183920,57036,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.88309e+07,29333,221796,89577.6,0,2.88309e+07,1537.14,17142.5,0,0,0,0,0,0,0,0,0,0,0,0,3.05442e+07,30977,252712,123157,0,6.05764e+07,-3227.03,2200.04,0,0,0,0,0,0,2.8332e+07,28605.8,220349,93464.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.08228e+07,41284.4,222266,90047.7,0,4.08228e+07,-1940.54,1744.06,0,0,0,0,0,0,0,0,0,0,0,0,3.66214e+07,37764,260511,130956,0,7.91451e+07,3127.24,27815.9,0,0,0,0,0,0,3.23862e+07,34026.7,240789,113905,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.29333e+07,33637,248037,115819,0,3.29333e+07,3415.58,28107.6,0,0,0,0,0,0,0,0,0,0,0,0,3.79973e+07,38260.4,269961,140406,0,7.23028e+07,8516.74,17815.3,0,0,0,0,0,0,4.52756e+07,45435.3,265298,138414,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.31135e+07,33852.7,229537,97318.7,0,3.31135e+07,19864.3,49995,0,0,0,0,0,0,0,0,0,0,0,0,5.02788e+07,50850.3,275346,145791,0,8.4772e+07,-3712.51,-16984,0,0,0,0,0,0,3.48628e+07,35365.7,235171,108287,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.96944e+07,31079.2,219949,87731.3,0,2.96944e+07,623.206,1798.89,0,0,0,0,0,0,0,0,0,0,0,0,2.65412e+07,28410.4,214838,85282.8,0,5.74729e+07,-3296.91,-28343.6,0,0,0,0,0,0,1.47727e+07,15330.2,165591,38706.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.69061e+07,37245.6,239834,107616,0,3.69061e+07,3364.3,3701.75,0,0,0,0,0,0,0,0,0,0,0,0,4.1856e+07,42212.3,245231,115676,0,8.02999e+07,4825.79,5640.83,0,0,0,0,0,0,4.49065e+07,45233,265765,138881,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.22495e+07,32609.2,221683,89465.2,0,3.22495e+07,-7138.24,-16892.5,0,0,0,0,0,0,0,0,0,0,0,0,2.10688e+07,21252,189040,59485.2,0,5.4662e+07,843.479,1673.19,0,0,0,0,0,0,2.99796e+07,30203.7,237090,110206,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.86203e+07,39521.3,250840,118622,0,3.86203e+07,8337.34,5597.42,0,0,0,0,0,0,0,0,0,0,0,0,4.38537e+07,44500.2,256200,126645,0,8.40832e+07,-251.486,-13935.1,0,0,0,0,0,0,4.15354e+07,42132,232709,105825,0,0,
