z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57249e+07,36274.3,268862,136644,0,3.57249e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.10262e+07,31548.8,231913,102358,0,6.82397e+07,0,0,0,0,0,0,0,0,3.42447e+07,34691.9,245690,118806,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.52625e+07,45766.9,292144,159926,0,4.52625e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.87882e+07,18900,189225,59669.9,0,6.59366e+07,0,0,0,0,0,0,0,0,1.48453e+07,14891.8,167163,40279.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.68261e+07,17140.9,180240,48022.4,0,1.68261e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99952e+07,31015,216842,87286.5,0,4.75224e+07,0,0,0,0,0,0,0,0,2.92597e+07,30348.4,221059,94175,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.77522e+07,28176.5,214987,82768.9,0,2.77522e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88029e+07,39873.6,262670,133115,0,6.77114e+07,0,0,0,0,0,0,0,0,2.1367e+07,22079.3,224564,97680.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.82648e+07,28769.4,230654,98436,0,2.82648e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56179e+07,36068.8,217874,88318.6,0,6.50604e+07,0,0,0,0,0,0,0,0,3.71102e+07,37664.2,225153,98269,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.93471e+07,29961.4,241810,109592,0,2.93471e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83232e+07,28793.4,229470,99915.1,0,5.88931e+07,0,0,0,0,0,0,0,0,3.2947e+07,33175.6,198147,71262.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.36084e+07,24383.7,219495,87276.7,0,2.36084e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18421e+07,22176.4,195046,65491.5,0,4.64342e+07,0,0,0,0,0,0,0,0,3.4213e+07,34880.5,253083,126199,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.95035e+07,30435.4,191262,59044.1,0,2.95035e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02332e+07,42541.1,274574,145019,0,7.0966e+07,0,0,0,0,0,0,0,0,3.6875e+07,40423.4,247783,120899,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.60981e+07,16452.6,195465,63246.7,0,1.60981e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.82582e+07,38704.1,232938,103383,0,5.5027e+07,0,0,0,0,0,0,0,0,3.75758e+07,37997.6,247925,121041,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.49191e+07,25387.6,203686,71468.1,0,2.49191e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.90252e+07,19363.1,201351,71795.5,0,4.49826e+07,0,0,0,0,0,0,0,0,3.54789e+07,35902.8,224508,97623.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.93466e+07,40100,256214,123996,0,3.93466e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.91067e+07,29560,190463,60908.3,0,7.00927e+07,0,0,0,0,0,0,0,0,3.62892e+07,36608.1,218420,91536.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.68332e+07,27630.1,237125,104907,0,2.68332e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85544e+07,19006,200037,70481.8,0,4.65056e+07,0,0,0,0,0,0,0,0,3.41053e+07,34620,218184,91299.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.94202e+07,20279.1,228904,96686.4,0,1.94202e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18616e+07,22263,187714,58158.8,0,4.20909e+07,0,0,0,0,0,0,0,0,5.07897e+07,51683.9,249505,122621,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.08735e+07,21271.2,209802,77584.3,0,2.08735e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.79271e+07,18184.3,189185,59629.5,0,3.96702e+07,0,0,0,0,0,0,0,0,2.89567e+07,29374.3,246736,119852,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.77277e+07,18891.9,205980,73761.8,0,1.77277e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58615e+07,26266.7,215657,86101.8,0,4.43278e+07,0,0,0,0,0,0,0,0,2.05743e+07,20786.5,175746,48862.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.95936e+07,40196.8,249893,117675,0,3.95936e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4459e+07,44931.9,283062,153507,0,8.57023e+07,0,0,0,0,0,0,0,0,4.1159e+07,41911.9,260446,133562,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.2058e+07,43894.2,248550,116332,0,4.2058e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.01852e+07,42392.8,268272,138717,0,8.39956e+07,0,0,0,0,0,0,0,0,2.99515e+07,30910.9,241595,114711,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.66308e+07,27041,221119,88901.1,0,2.66308e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.20054e+07,22497.5,190741,61185.6,0,4.97457e+07,0,0,0,0,0,0,0,0,2.75865e+07,28094.2,170801,43917.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.90396e+07,40391.1,257478,125260,0,3.90396e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.60691e+07,47537.3,269706,140151,0,8.67353e+07,0,0,0,0,0,0,0,0,2.90635e+07,30515,227665,100781,0,0,
