z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.98743e+07,30129.5,213121,80903.2,0,2.98743e+07,1721.31,7870.92,0,0,0,0,0,0,0,0,0,0,0,0,3.50373e+07,35287.7,226603,97048.4,0,6.61564e+07,-2012.9,-17051.4,0,0,0,0,0,0,3.10868e+07,31373.7,224826,97942.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.10319e+07,21393.8,191784,59566.5,0,2.10319e+07,-6003.51,-30505,0,0,0,0,0,0,0,0,0,0,0,0,2.01561e+07,20334.6,167483,37927.5,0,4.20644e+07,11886.9,14683.6,0,0,0,0,0,0,3.77081e+07,38304.9,239719,112835,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.12197e+07,31748.3,226517,94299.1,0,3.12197e+07,671.801,28077.8,0,0,0,0,0,0,0,0,0,0,0,0,2.12927e+07,23199.7,249385,119830,0,5.38132e+07,3522.53,-2537.26,0,0,0,0,0,0,2.17571e+07,23836.7,197739,70854.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.94443e+07,19813,177209,44991.2,0,1.94443e+07,-2548.02,-469.325,0,0,0,0,0,0,0,0,0,0,0,0,1.92754e+07,20042.6,217478,87922.8,0,3.95299e+07,-7105.22,-26060.8,0,0,0,0,0,0,2.09582e+07,21399.4,195790,68906,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.48374e+07,35357,224927,92709.3,0,3.48374e+07,-3557.57,-8388.58,0,0,0,0,0,0,0,0,0,0,0,0,3.16502e+07,32389.3,253787,124232,0,6.79392e+07,-2561.01,-12647.3,0,0,0,0,0,0,2.68628e+07,27338.4,196529,69645.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.1309e+07,41798,238199,105981,0,4.1309e+07,-3846.5,-16899.8,0,0,0,0,0,0,0,0,0,0,0,0,3.75458e+07,37884.2,239402,109847,0,8.0576e+07,-5516.37,-31782.6,0,0,0,0,0,0,2.93888e+07,29653.7,209494,82609.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.05086e+07,20880.5,188955,56736.9,0,2.05086e+07,-11348.8,-21703.5,0,0,0,0,0,0,0,0,0,0,0,0,8.24536e+06,8556.15,190432,60876.8,0,2.96085e+07,-3846.67,3480.62,0,0,0,0,0,0,2.21593e+07,22640.3,217832,90948.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.38512e+07,34315.5,232837,100619,0,3.38512e+07,-802.496,-4867,0,0,0,0,0,0,0,0,0,0,0,0,3.80027e+07,38651.3,210188,80633.2,0,7.32644e+07,5493.3,38186.9,0,0,0,0,0,0,3.54234e+07,37086.3,270722,143838,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.88587e+07,29477.3,226585,94367,0,2.88587e+07,12142.3,31449.2,0,0,0,0,0,0,0,0,0,0,0,0,2.80214e+07,28396.8,216583,87028,0,5.80825e+07,4052.33,21188.8,0,0,0,0,0,0,3.53419e+07,35659.9,235411,108527,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.04355e+07,31643.1,229720,97502.3,0,3.04355e+07,-646.694,7968.05,0,0,0,0,0,0,0,0,0,0,0,0,2.85724e+07,30233.2,254150,124595,0,6.02761e+07,5529.19,26749.5,0,0,0,0,0,0,2.67494e+07,27421,218989,92104.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.66511e+07,37333.6,244545,112327,0,3.66511e+07,934.214,-11131.4,0,0,0,0,0,0,0,0,0,0,0,0,2.58613e+07,26079.7,214192,84637.3,0,6.40396e+07,11277.3,28824.2,0,0,0,0,0,0,4.06431e+07,41082.5,252984,126100,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.34416e+07,23900.3,214060,81841.6,0,2.34416e+07,-8446.09,-1745.02,0,0,0,0,0,0,0,0,0,0,0,0,3.3154e+07,33480.7,256172,126617,0,5.75723e+07,2043.5,-10424,0,0,0,0,0,0,3.29133e+07,33291,235274,108390,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.58199e+07,36443.1,243398,111180,0,3.58199e+07,-6154.87,-10412.6,0,0,0,0,0,0,0,0,0,0,0,0,2.66965e+07,26995.7,188160,58605,0,6.40089e+07,1590.57,-11526.7,0,0,0,0,0,0,3.55104e+07,36315.6,244796,117912,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.79486e+07,28386.8,210405,78187.5,0,2.79486e+07,1485.38,-6127.14,0,0,0,0,0,0,0,0,0,0,0,0,3.28093e+07,33457.1,216595,87040,0,6.19224e+07,-1433.76,8984.33,0,0,0,0,0,0,2.3229e+07,23717.6,225423,98539.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.21666e+07,32571.8,220040,87822.4,0,3.21666e+07,7292.15,34521.3,0,0,0,0,0,0,0,0,0,0,0,0,4.09409e+07,41573.5,244204,114649,0,7.44478e+07,6964.45,5972.78,0,0,0,0,0,0,3.09656e+07,31182.6,208860,81976.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.0275e+07,41460.1,276840,144622,0,4.0275e+07,2676.61,-14547.7,0,0,0,0,0,0,0,0,0,0,0,0,3.8477e+07,39184.3,203851,74295.7,0,8.04301e+07,1110.98,497.894,0,0,0,0,0,0,4.36556e+07,45160.1,257024,130140,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.2263e+07,23132.3,230087,97868.7,0,2.2263e+07,3048.18,-15919.6,0,0,0,0,0,0,0,0,0,0,0,0,2.3914e+07,24413.4,186784,57228.6,0,4.71046e+07,8384.74,18530,0,0,0,0,0,0,4.48507e+07,45692.6,242326,115442,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.84428e+07,38786.4,241127,108909,0,3.84428e+07,-11457.3,-21212.1,0,0,0,0,0,0,0,0,0,0,0,0,3.27257e+07,32892.6,218616,89060.9,0,7.27703e+07,7769.89,34066,0,0,0,0,0,0,4.14216e+07,41581.1,265099,138215,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.15039e+07,32932.4,222718,90499.5,0,3.15039e+07,-6573.29,-40131,0,0,0,0,0,0,0,0,0,0,0,0,2.07705e+07,21292,174187,44631.9,0,5.35871e+07,8660.25,26313.7,0,0,0,0,0,0,3.1265e+07,33596.5,241593,114709,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.01395e+07,20407.4,184483,52264.8,0,2.01395e+07,8385.75,8016.64,0,0,0,0,0,0,0,0,0,0,0,0,3.9367e+07,39717.1,218856,89300.9,0,6.03457e+07,1524.83,-9731.86,0,0,0,0,0,0,4.30274e+07,43489.2,249545,122661,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11138e+07,31452.3,239523,107305,0,3.11138e+07,-818.982,-410.56,0,0,0,0,0,0,0,0,0,0,0,0,2.4936e+07,25070.3,201238,71682.6,0,5.73461e+07,9329.07,27257.8,0,0,0,0,0,0,3.76983e+07,38023.2,265056,138172,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.43009e+07,24952.7,199319,67101,0,2.43009e+07,4827.23,31266.4,0,0,0,0,0,0,0,0,0,0,0,0,4.31209e+07,43883.6,278952,149397,0,6.84344e+07,-1057.53,-3283.75,0,0,0,0,0,0,3.80487e+07,38508.2,225821,98937.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.85863e+07,29009.6,214801,82583.1,0,2.85863e+07,-1309.75,-7730.1,0,0,0,0,0,0,0,0,0,0,0,0,1.82124e+07,18526.9,182424,52868.9,0,4.79897e+07,-237.121,15563.7,0,0,0,0,0,0,2.11406e+07,21980,213254,86369.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.83662e+07,38867.3,240824,108606,0,3.83662e+07,283.073,31949.8,0,0,0,0,0,0,0,0,0,0,0,0,3.28578e+07,33733.7,276789,147234,0,7.28226e+07,2379.66,-7541.32,0,0,0,0,0,0,2.84561e+07,28880.4,212454,85569.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.58427e+07,26688.6,210611,78392.5,0,2.58427e+07,-7503.29,-4730.27,0,0,0,0,0,0,0,0,0,0,0,0,3.19039e+07,32989,233141,103586,0,5.88234e+07,-4353.26,14452.6,0,0,0,0,0,0,4.03412e+07,41269.5,254175,127291,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.65241e+07,27222.7,238799,106581,0,2.65241e+07,-2882.41,-7422.96,0,0,0,0,0,0,0,0,0,0,0,0,2.80396e+07,28389.1,229014,99458.8,0,5.56688e+07,5785.9,15124.3,0,0,0,0,0,0,2.73187e+07,28120.7,222782,95897.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.27405e+07,33216.8,217191,84972.8,0,3.27405e+07,2719.14,6779.21,0,0,0,0,0,0,0,0,0,0,0,0,3.99007e+07,40875.9,231996,102441,0,7.40054e+07,-162.276,-5736.16,0,0,0,0,0,0,3.67542e+07,37292.7,205731,78846.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.86961e+07,19243.8,176445,44227,0,1.86961e+07,-3111.87,-1628.19,0,0,0,0,0,0,0,0,0,0,0,0,2.62734e+07,27246.6,241099,111544,0,4.57484e+07,-4252.11,4531.68,0,0,0,0,0,0,1.48501e+07,15198.4,207114,80230,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.48756e+07,35697,240350,108132,0,3.48756e+07,3484.56,16365.5,0,0,0,0,0,0,0,0,0,0,0,0,3.19216e+07,32466.6,245354,115799,0,6.82504e+07,-4263.8,52.0045,0,0,0,0,0,0,2.01894e+07,20912.2,213301,86417,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.69633e+07,37685,260978,128760,0,3.69633e+07,6353.42,9792.24,0,0,0,0,0,0,0,0,0,0,0,0,3.82757e+07,38743,248765,119210,0,7.67791e+07,6635.92,17722.9,0,0,0,0,0,0,3.69709e+07,37294.1,237224,110340,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.36981e+07,24179.3,211420,79201.8,0,2.36981e+07,5344.39,20815.4,0,0,0,0,0,0,0,0,0,0,0,0,3.88371e+07,39755.7,243770,114215,0,6.35226e+07,-1822.87,726.412,0,0,0,0,0,0,2.88753e+07,29747.7,246510,119626,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.70602e+07,27352.1,204835,72617.5,0,2.70602e+07,-6389.89,-29717.6,0,0,0,0,0,0,0,0,0,0,0,0,1.92075e+07,19606.8,183214,53659.1,0,4.73952e+07,-3933.81,-31824,0,0,0,0,0,0,2.4158e+07,24607,188452,61567.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.23557e+07,32737.9,227293,95074.7,0,3.23557e+07,3141.46,1071.44,0,0,0,0,0,0,0,0,0,0,0,0,3.929e+07,39645.8,230780,101225,0,7.29939e+07,3319.41,19540.3,0,0,0,0,0,0,4.60917e+07,46788.8,277004,150120,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.4061e+07,34557.8,239882,107664,0,3.4061e+07,9969.19,1029.54,0,0,0,0,0,0,0,0,0,0,0,0,4.92663e+07,49582.1,251950,122395,0,8.47465e+07,-55.8866,826.624,0,0,0,0,0,0,4.30747e+07,43526.3,256492,129608,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.28976e+07,33547.5,211522,79303.6,0,3.28976e+07,-2849.46,-39016.3,0,0,0,0,0,0,0,0,0,0,0,0,3.09818e+07,31390,198175,68619.8,0,6.52501e+07,-6810.26,-43839.2,0,0,0,0,0,0,1.8355e+07,18606.9,181124,54240.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.42227e+07,34952.1,221227,89009,0,3.42227e+07,6131,26849.5,0,0,0,0,0,0,0,0,0,0,0,0,5.31647e+07,53844.5,287144,157589,0,8.88134e+07,6671.89,6569.32,0,0,0,0,0,0,4.90946e+07,49846.4,252028,125144,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.14683e+07,32537.1,231271,99052.7,0,3.14683e+07,-2310.72,-419.93,0,0,0,0,0,0,0,0,0,0,0,0,3.56292e+07,36368.8,253874,124319,0,6.84086e+07,-1521.48,-12765.5,0,0,0,0,0,0,3.07513e+07,30863.1,223765,96880.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.8562e+07,28905.1,217579,85360.9,0,2.8562e+07,-3858.8,-10462.2,0,0,0,0,0,0,0,0,0,0,0,0,2.96995e+07,29954,201969,72413.9,0,5.94516e+07,6602.92,23232.5,0,0,0,0,0,0,4.6311e+07,46602.8,270430,143546,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.36416e+07,24465.2,184400,52181.8,0,2.36416e+07,-2333.89,-4803.57,0,0,0,0,0,0,0,0,0,0,0,0,2.6506e+07,27259.5,208714,79158.8,0,5.11326e+07,12611.5,51498.2,0,0,0,0,0,0,4.39445e+07,45273.5,297263,170379,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.37785e+07,24065.4,203602,71384.1,0,2.37785e+07,2704.91,43277.9,0,0,0,0,0,0,0,0,0,0,0,0,3.63462e+07,36834.2,268403,138848,0,6.11154e+07,-3622.32,6258.63,0,0,0,0,0,0,2.92263e+07,29734.4,243926,117042,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.85678e+07,39293.8,251708,119490,0,3.85678e+07,655.548,4701.16,0,0,0,0,0,0,0,0,0,0,0,0,3.27668e+07,33910.3,238720,109165,0,7.29415e+07,7514.61,25289.8,0,0,0,0,0,0,4.12315e+07,42617.3,269474,142590,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.25691e+07,33049.8,225983,93764.7,0,3.25691e+07,2395.05,237.326,0,0,0,0,0,0,0,0,0,0,0,0,3.50575e+07,35332.6,218844,89288.8,0,6.89837e+07,10165.2,40850.7,0,0,0,0,0,0,4.16887e+07,42043.1,277591,150707,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.76329e+07,18087.7,196674,64456,0,1.76329e+07,-9659.82,-32336.3,0,0,0,0,0,0,0,0,0,0,0,0,1.23415e+07,12862.2,162276,32720.6,0,3.07091e+07,2498.08,11938.8,0,0,0,0,0,0,2.54797e+07,27405,242471,115587,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.80164e+07,28858.4,234975,102757,0,2.80164e+07,-5603.17,-21581.4,0,0,0,0,0,0,0,0,0,0,0,0,2.7519e+07,27856.3,182188,52632.6,0,5.67027e+07,6928.55,23776.6,0,0,0,0,0,0,3.20856e+07,32637.4,224766,97881.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.6425e+07,27045.7,202088,69870.3,0,2.6425e+07,-3819.25,17013.4,0,0,0,0,0,0,0,0,0,0,0,0,3.37238e+07,34328.2,239094,109539,0,6.12499e+07,-13702.4,-20166.7,0,0,0,0,0,0,1.50726e+07,15359.4,192945,66061.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.35614e+07,34803.6,232514,100296,0,3.35614e+07,-6622.43,-18401.7,0,0,0,0,0,0,0,0,0,0,0,0,3.19412e+07,32626.2,214712,85157,0,6.6901e+07,-761.02,-18660.7,0,0,0,0,0,0,3.4728e+07,35225.7,227235,100351,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.79056e+07,28780.5,213310,81092.4,0,2.79056e+07,-3118.42,18579.5,0,0,0,0,0,0,0,0,0,0,0,0,2.75579e+07,28723.4,240815,111260,0,5.66262e+07,5646.58,-13399.5,0,0,0,0,0,0,2.39868e+07,24487.7,200231,73346.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.44436e+07,25000,231482,99264.4,0,2.44436e+07,-7135.82,-25619.2,0,0,0,0,0,0,0,0,0,0,0,0,1.40996e+07,14173.9,150671,21115.9,0,3.95617e+07,2781.53,864.596,0,0,0,0,0,0,2.90676e+07,29388.3,212078,85194.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.34053e+07,23623.7,201451,69232.7,0,2.34053e+07,-6561.59,-18838.2,0,0,0,0,0,0,0,0,0,0,0,0,2.15199e+07,21735.9,213302,83747,0,4.59004e+07,4373.26,7566.72,0,0,0,0,0,0,3.05833e+07,30813.9,214011,87126.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.01576e+07,20464.9,208670,76452.3,0,2.01576e+07,8934.87,33927.8,0,0,0,0,0,0,0,0,0,0,0,0,3.62827e+07,36603.3,253845,124290,0,5.72801e+07,2181.37,-7311.05,0,0,0,0,0,0,3.86316e+07,39206.4,242803,115919,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.98176e+07,30743.6,236461,104243,0,2.98176e+07,9949.98,-1018.43,0,0,0,0,0,0,0,0,0,0,0,0,4.49783e+07,45513.5,219528,89972.7,0,7.60382e+07,-1434.4,930.743,0,0,0,0,0,0,3.78402e+07,38285.4,236828,109944,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.38803e+07,34726.5,227485,95266.8,0,3.38803e+07,-7267.88,-25465.2,0,0,0,0,0,0,0,0,0,0,0,0,2.41894e+07,24529,196076,66520.9,0,5.94814e+07,3092.73,27122.7,0,0,0,0,0,0,3.13026e+07,32457.6,255268,128384,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11874e+07,31857.4,213976,81757.6,0,3.11874e+07,-1992.63,11900.5,0,0,0,0,0,0,0,0,0,0,0,0,2.9489e+07,30048.8,210660,81105.5,0,6.19758e+07,-4459.02,-121.307,0,0,0,0,0,0,3.3408e+07,33873.1,227050,100166,0,0,
