z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03387e+07,31489.9,225165,92946.9,0,3.03387e+07,3348.88,-6129.45,0,0,0,0,0,0,0,0,0,0,0,0,3.50423e+07,35912.2,220944,91389.3,0,6.66451e+07,-7891.99,-17683.9,0,0,0,0,0,0,2.76047e+07,28269.7,218074,91190.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.07839e+07,31489.9,225165,92946.9,0,3.07839e+07,7127.07,40728.1,0,0,0,0,0,0,0,0,0,0,0,0,3.84842e+07,39690.4,267802,138247,0,7.05507e+07,-2519.74,-4049.7,0,0,0,0,0,0,2.96436e+07,30605.1,225816,98931.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.10134e+07,31489.9,225165,92946.9,0,3.10134e+07,-3420.89,-12392.1,0,0,0,0,0,0,0,0,0,0,0,0,2.82507e+07,29142.5,214682,85126.6,0,6.05564e+07,-5660.28,-22726.6,0,0,0,0,0,0,2.49849e+07,26533.9,203094,76209.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.07839e+07,31489.9,225165,92946.9,0,3.07839e+07,-588.339,17833.6,0,0,0,0,0,0,0,0,0,0,0,0,3.14322e+07,31975,244907,115352,0,6.34987e+07,-2301.31,-16010.3,0,0,0,0,0,0,2.75425e+07,28209.9,206686,79801.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.06642e+07,31489.9,225165,92946.9,0,3.06642e+07,3817.93,34690.8,0,0,0,0,0,0,0,0,0,0,0,0,3.5974e+07,36381.3,261765,132210,0,6.79159e+07,619.849,686.353,0,0,0,0,0,0,3.16042e+07,32165.7,226479,99595.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11162e+07,31489.9,225165,92946.9,0,3.11162e+07,-4707.62,-16920.4,0,0,0,0,0,0,0,0,0,0,0,0,2.76478e+07,27855.7,210153,80598.4,0,6.00605e+07,-180.318,-11862.5,0,0,0,0,0,0,3.14118e+07,31663.9,212950,86065.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.1061e+07,31489.9,225165,92946.9,0,3.1061e+07,1377.02,11364.2,0,0,0,0,0,0,0,0,0,0,0,0,3.3605e+07,33940.4,238438,108883,0,6.59601e+07,-3615.42,-14164.2,0,0,0,0,0,0,2.8326e+07,29051.3,213603,86719.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.00228e+07,31489.9,225165,92946.9,0,3.00228e+07,-9978.42,-28023.6,0,0,0,0,0,0,0,0,0,0,0,0,2.2026e+07,22584.9,199050,69495.1,0,5.32997e+07,-23724.7,-74623.6,0,0,0,0,0,0,5.69932e+06,5784.66,144094,17209.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09689e+07,31489.9,225165,92946.9,0,3.09689e+07,851.796,-6503.18,0,0,0,0,0,0,0,0,0,0,0,0,3.23518e+07,33415.2,220571,91015.6,0,6.4611e+07,-14231.6,-26843,0,0,0,0,0,0,1.89354e+07,20232.1,204739,77854.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11162e+07,31489.9,225165,92946.9,0,3.11162e+07,5429.36,-5270.24,0,0,0,0,0,0,0,0,0,0,0,0,3.71146e+07,37992.7,221804,92248.5,0,6.95273e+07,-8759.68,-27827.8,0,0,0,0,0,0,2.80446e+07,28750.4,211266,84381.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09689e+07,31489.9,225165,92946.9,0,3.09689e+07,17714.5,49654.3,0,0,0,0,0,0,0,0,0,0,0,0,4.9643e+07,50277.9,276728,147173,0,8.19023e+07,8271.68,9402.32,0,0,0,0,0,0,4.72601e+07,47706.6,255039,128155,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11162e+07,31489.9,225165,92946.9,0,3.11162e+07,-2991.93,23584.2,0,0,0,0,0,0,0,0,0,0,0,0,2.9049e+07,29571.4,250658,121103,0,6.14618e+07,2258.96,13523.1,0,0,0,0,0,0,2.99142e+07,30395.8,230587,103703,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.0487e+07,31489.9,225165,92946.9,0,3.0487e+07,-296.53,-6203.36,0,0,0,0,0,0,0,0,0,0,0,0,3.08136e+07,32266.8,220870,91315.4,0,6.25709e+07,-9082.49,-42751.2,0,0,0,0,0,0,2.39612e+07,24543.3,186786,59901.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.00228e+07,31489.9,225165,92946.9,0,3.00228e+07,3034.13,31370.7,0,0,0,0,0,0,0,0,0,0,0,0,3.48307e+07,35597.5,258444,128889,0,6.61044e+07,-6078.06,-2866.83,0,0,0,0,0,0,2.48788e+07,25322.7,222460,95576,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.03387e+07,31489.9,225165,92946.9,0,3.03387e+07,-7599.2,-13560.5,0,0,0,0,0,0,0,0,0,0,0,0,2.42316e+07,24964.2,213513,83958.3,0,5.58344e+07,-19264.8,-43111,0,0,0,0,0,0,9.79675e+06,10153.9,175864,48980.4,0,0,
