z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67614e+07,37585.8,225020,92802.4,0,3.67614e+07,-2902.6,-3846.28,0,0,0,0,0,0,0,0,0,0,0,0,3.731e+07,37963.6,248017,118462,0,7.56032e+07,13154.8,38766.4,0,0,0,0,0,0,4.3417e+07,44716.8,271365,144481,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.61284e+07,26579.3,201001,68783.3,0,2.61284e+07,-577.146,-16073.2,0,0,0,0,0,0,0,0,0,0,0,0,3.38388e+07,34127.5,211703,82147.6,0,6.10559e+07,-304.609,3984.48,0,0,0,0,0,0,4.36643e+07,44109.2,245059,118175,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.06822e+07,21376.3,196549,64331,0,2.06822e+07,-12785.8,-34392.4,0,0,0,0,0,0,0,0,0,0,0,0,1.61546e+07,16585.3,183096,53540.6,0,3.76986e+07,-1889.47,-12242.8,0,0,0,0,0,0,2.76778e+07,28580.7,212389,85505.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.53238e+07,25767.9,218858,86640.1,0,2.53238e+07,4331.62,16304.6,0,0,0,0,0,0,0,0,0,0,0,0,3.42372e+07,34732.5,234786,105231,0,6.06162e+07,632.414,-11210.7,0,0,0,0,0,0,2.84319e+07,28958.4,226428,99544.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.01772e+07,30937.6,248222,116004,0,3.01772e+07,3812.54,27435.2,0,0,0,0,0,0,0,0,0,0,0,0,2.71055e+07,27831,227031,97475.6,0,5.85401e+07,2232.11,18584.9,0,0,0,0,0,0,4.20784e+07,43523.4,275565,148681,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.52831e+07,25750.1,209089,76870.6,0,2.52831e+07,-6520.6,-15956.8,0,0,0,0,0,0,0,0,0,0,0,0,2.12422e+07,21576.9,207138,77583,0,4.75787e+07,430.177,10231,0,0,0,0,0,0,2.53965e+07,25662.9,227567,100683,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.48693e+07,25221.2,195002,62784.4,0,2.48693e+07,13.4885,-671.281,0,0,0,0,0,0,0,0,0,0,0,0,3.39039e+07,34612.6,232233,102678,0,5.98094e+07,436.834,475.752,0,0,0,0,0,0,3.85803e+07,40531.3,262345,135461,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.4222e+07,35102.8,231380,99161.6,0,3.4222e+07,5909.73,16488.1,0,0,0,0,0,0,0,0,0,0,0,0,4.43317e+07,45314.2,251697,122142,0,7.99796e+07,10580.3,11831.3,0,0,0,0,0,0,4.57001e+07,46408.5,237524,110640,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.86843e+07,29424.5,200818,68600.3,0,2.86843e+07,-1355.85,-4838.06,0,0,0,0,0,0,0,0,0,0,0,0,3.27181e+07,33740.2,227134,97578.8,0,6.25975e+07,-6890.65,-5019.02,0,0,0,0,0,0,2.8854e+07,30039.8,229455,102571,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.96113e+07,50643.7,278536,146318,0,4.96113e+07,-9853.48,4311.19,0,0,0,0,0,0,0,0,0,0,0,0,2.85539e+07,29366,238668,109113,0,8.02324e+07,2071.35,13614.3,0,0,0,0,0,0,4.1494e+07,42354.4,270108,143224,0,0,
