z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00738e+07,31489.9,225165,159414,66467.3,3.00738e+07,-3050.24,-12363.8,0,0,0,0,0,0,0,0,0,0,0,0,2.84409e+07,29513.1,214710,102352,83664.8,5.97678e+07,-5374.05,-15899.8,0,0,0,0,0,0,2.70754e+07,27075.4,210548,-1.01483,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.01786e+07,31489.9,225165,147622,54674.9,3.01786e+07,-8620.65,-15428,0,0,0,0,0,0,0,0,0,0,0,0,2.33938e+07,23942.7,211646,140043,112627,5.48298e+07,-3703.3,21792.1,0,0,0,0,0,0,2.52285e+07,25228.5,239511,0.672433,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11162e+07,31489.9,225165,92946.9,0,3.11162e+07,-5991.76,-45784.6,0,0,0,0,0,0,0,0,0,0,0,0,2.6176e+07,26571.6,181289,153323,101589,5.85887e+07,-6051.12,-1759.5,0,0,0,0,0,0,2.83921e+07,28392.1,228469,-4.03755,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.03135e+07,31489.9,225165,143561,50613.9,3.03135e+07,-5952.9,-16167.1,0,0,0,0,0,0,0,0,0,0,0,0,2.60612e+07,26610.5,210907,116704,85966.2,5.76377e+07,-4256.83,-9630.61,0,0,0,0,0,0,2.66269e+07,26626.9,212851,0.672433,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.04214e+07,31489.9,225165,151422,58474.7,3.04214e+07,6463.94,-5828.54,0,0,0,0,0,0,0,0,0,0,0,0,3.82658e+07,39027.3,221245,194270,161055,6.99547e+07,15108.5,46927.6,0,0,0,0,0,0,5.34084e+07,53408.4,287939,0.672433,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.9255e+07,31489.9,225165,230087,137140,2.9255e+07,16475.8,28304.7,0,0,0,0,0,0,0,0,0,0,0,0,4.83797e+07,49039.1,255378,110847,122163,7.88537e+07,-6741.8,-99.7355,0,0,0,0,0,0,3.44138e+07,34413.8,249048,0.672433,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.06436e+07,31489.9,225165,139282,46335.4,3.06436e+07,12035.3,20566.4,0,0,0,0,0,0,0,0,0,0,0,0,4.34462e+07,44598.7,247640,208875,137125,7.53667e+07,-6470.06,20422.9,0,0,0,0,0,0,3.25228e+07,32522.8,264010,0.672433,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.03847e+07,31489.9,225165,145499,52552.4,3.03847e+07,-2152.48,-777.247,0,0,0,0,0,0,0,0,0,0,0,0,2.94e+07,30410.9,226296,115859,71670.1,6.10507e+07,-8898.09,-26374.9,0,0,0,0,0,0,2.2775e+07,22775,198553,-1.01483,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09689e+07,31489.9,225165,92946.9,0,3.09689e+07,-10269.1,-38122.5,0,0,0,0,0,0,0,0,0,0,0,0,2.18148e+07,22294.3,188951,185818,126421,5.40741e+07,1515.85,32417.2,0,0,0,0,0,0,3.20452e+07,32045.2,253301,-4.03755,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09168e+07,31489.9,225165,102244,9296.82,3.09168e+07,1988.21,17027.4,0,0,0,0,0,0,0,0,0,0,0,0,3.31255e+07,34551.6,244101,191617,86367.2,6.53304e+07,-1223.77,-14069.8,0,0,0,0,0,0,3.11838e+07,31183.8,213250,-1.01483,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.05431e+07,31489.9,225165,124642,31695.5,3.05431e+07,-6543,-18897.8,0,0,0,0,0,0,0,0,0,0,0,0,2.56808e+07,26020.4,208176,131602,84676.2,5.74965e+07,-10170.9,-10635.4,0,0,0,0,0,0,2.06315e+07,20631.5,211556,-4.03755,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.05143e+07,31489.9,225165,138259,45312.1,3.05143e+07,-3517.71,-2514.66,0,0,0,0,0,0,0,0,0,0,0,0,2.85012e+07,29045.6,224559,138889,89196.7,6.02869e+07,4079.58,-6967.62,0,0,0,0,0,0,3.501e+07,35010,216081,0.672433,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.10134e+07,31489.9,225165,92946.9,0,3.10134e+07,5462.79,33457.3,0,0,0,0,0,0,0,0,0,0,0,0,3.69033e+07,38026.1,260531,238601,107625,6.92089e+07,2570.34,5575.41,0,0,0,0,0,0,3.54138e+07,35413.8,234510,0.672433,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.9576e+07,31489.9,225165,177377,84429.8,2.9576e+07,-5586.88,14476,0,0,0,0,0,0,0,0,0,0,0,0,2.66305e+07,26976.5,241550,73523.5,45958.4,5.74388e+07,-13369.8,-42181.4,0,0,0,0,0,0,1.40586e+07,14058.6,172843,0.672433,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.02554e+07,31489.9,225165,162516,69569.4,3.02554e+07,6112.88,3116.67,0,0,0,0,0,0,0,0,0,0,0,0,3.83974e+07,38676.2,230190,108081,77015.2,6.99134e+07,-4749.13,-34155.8,0,0,0,0,0,0,3.22224e+07,32222.4,203895,-4.03755,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.02031e+07,31489.9,225165,196306,103359,3.02031e+07,21373.9,47418.5,0,0,0,0,0,0,0,0,0,0,0,0,5.19202e+07,53937.3,274492,192553,150975,8.33818e+07,7688.65,25366.8,0,0,0,0,0,0,4.9949e+07,49949,277858,-1.01483,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.08217e+07,31489.9,225165,101933,8986.64,3.08217e+07,-4104.36,-20602.1,0,0,0,0,0,0,0,0,0,0,0,0,2.7534e+07,28459,206472,167646,99715.7,5.964e+07,-5163.3,-215.795,0,0,0,0,0,0,2.75479e+07,27547.9,226600,0.672433,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.01716e+07,31489.9,225165,160870,67923,3.01716e+07,-4254.13,3393.89,0,0,0,0,0,0,0,0,0,0,0,0,2.6154e+07,28309.2,230468,161683,128693,5.75828e+07,6181.35,35348.9,0,0,0,0,0,0,3.58821e+07,35882.1,255579,1.55668,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.94428e+07,31489.9,225165,189721,96773.9,2.94428e+07,7337.22,1188.95,0,0,0,0,0,0,0,0,0,0,0,0,3.63613e+07,39900.6,228263,161484,159550,6.70309e+07,3085.19,45780.4,0,0,0,0,0,0,4.11449e+07,41144.9,286436,1.55668,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.00228e+07,31489.9,225165,92946.9,0,3.00228e+07,-10337.1,-24618.3,0,0,0,0,0,0,0,0,0,0,0,0,1.89801e+07,22226.2,202455,148107,75206.5,5.02539e+07,-4976.08,-15113.1,0,0,0,0,0,0,2.38704e+07,23870.4,202092,1.55668,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11967e+07,31489.9,225165,92946.9,0,3.11967e+07,-9363.53,-29791.4,0,0,0,0,0,0,0,0,0,0,0,0,2.29107e+07,23199.8,197282,154349,86621.2,5.54072e+07,-336.348,-6747.56,0,0,0,0,0,0,2.98163e+07,29816.3,213489,-16.1302,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09689e+07,31489.9,225165,92946.9,0,3.09689e+07,-25504.5,-71407.7,0,0,0,0,0,0,0,0,0,0,0,0,6.61655e+06,7058.83,155666,125841,99730.4,3.88758e+07,8414.89,23033.5,0,0,0,0,0,0,3.23392e+07,32339.2,226615,0.672433,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.08806e+07,31489.9,225165,92946.9,0,3.08806e+07,-2671.44,-55985.8,0,0,0,0,0,0,0,0,0,0,0,0,2.79761e+07,29891.9,171088,163981,122448,6.01434e+07,-1815.89,10727.7,0,0,0,0,0,0,3.61807e+07,36180.6,249331,-0.609497,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.06564e+07,31489.9,225165,137170,44223.6,3.06564e+07,7939.12,27223.5,0,0,0,0,0,0,0,0,0,0,0,0,4.01044e+07,40502.5,254297,154294,73775.4,7.20381e+07,-6289.16,-34162.9,0,0,0,0,0,0,2.9038e+07,29038,200655,-4.03755,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11967e+07,31489.9,225165,92946.9,0,3.11967e+07,-3465.09,-227.308,0,0,0,0,0,0,0,0,0,0,0,0,2.87121e+07,29098.3,226846,206092,108800,6.12087e+07,1986.53,13132.5,0,0,0,0,0,0,3.26767e+07,32676.7,235668,-16.1302,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.10134e+07,31489.9,225165,92946.9,0,3.10134e+07,256.972,9211.72,0,0,0,0,0,0,0,0,0,0,0,0,3.23376e+07,32820.3,236285,156688,49957.5,6.46433e+07,-7724.64,-49580.4,0,0,0,0,0,0,2.44208e+07,24420.8,176837,-4.03755,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.97561e+07,31489.9,225165,178503,85555.7,2.97561e+07,-10.6597,-3424.82,0,0,0,0,0,0,0,0,0,0,0,0,3.13341e+07,32552.7,223649,128010,119472,6.233e+07,4468.11,17061.7,0,0,0,0,0,0,3.7957e+07,37957,246355,-1.01483,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11967e+07,31489.9,225165,92946.9,0,3.11967e+07,-8076.41,-23212.4,0,0,0,0,0,0,0,0,0,0,0,0,2.4205e+07,24486.9,203861,150466,76159.2,5.67016e+07,-6237.66,-17677.5,0,0,0,0,0,0,2.40168e+07,24016.8,203027,-16.1302,0,0,
