z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-2.79576e+06,33735.4,246974,359814,359814,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,455514,31489.9,225165,-36778.6,230089,455514,800.186,-13732.1,0,0,0,0,0,0,0,0,0,0,0,0,193175,33363.5,213342,-16534.3,129768,667669,5018.71,23251.3,0,0,0,0,0,0,0.231695,40321.9,256652,-0.0317726,0,0,
,,,,,,,,,,,,,,,,,,,,,,,193626,31489.9,225165,-48164.4,218703,193626,-709.458,-17532.3,0,0,0,0,0,0,0,0,0,0,0,0,13795.1,31853.9,209541,-3198.04,135518,215489,4841.35,30584.4,0,0,0,0,0,0,-0.516049,39550.8,262403,0.447249,0,0,
,,,,,,,,,,,,,,,,,,,,,,,411073,31489.9,225165,-42322,224545,411073,-3838.14,-8255.78,0,0,0,0,0,0,0,0,0,0,0,0,445927,28725.2,218818,-80822.4,54459.9,874128,-4637.58,-42670.6,0,0,0,0,0,0,-1.8109,26764.4,181344,0.447249,0,0,
,,,,,,,,,,,,,,,,,,,,,,,202573,31489.9,225165,-30904.3,235963,202573,-749.324,3464.43,0,0,0,0,0,0,0,0,0,0,0,0,144502,31814,230538,-36863.6,98116.2,355515,-9005.53,-1210.57,0,0,0,0,0,0,-2.36553,23133.4,225001,0.447249,0,0,
,,,,,,,,,,,,,,,,,,,,,,,248919,31489.9,225165,-30376,236491,248919,-1156.24,3578.59,0,0,0,0,0,0,0,0,0,0,0,0,275611,31407.1,230652,-53986.5,81407.5,534901,-3197.81,-17192.5,0,0,0,0,0,0,-1.05162,28643.2,208292,0.447249,0,0,
,,,,,,,,,,,,,,,,,,,,,,,195301,31489.9,225165,-42322.9,224544,195301,4286.14,-21921.1,0,0,0,0,0,0,0,0,0,0,0,0,111718,36849.5,205153,-59629.7,89317,315156,1068.09,-25331.6,0,0,0,0,0,0,15.8083,39796.5,216197,-3.90427,0,0,
,,,,,,,,,,,,,,,,,,,,,,,262249,31489.9,225165,-34524.9,232342,262249,-807.856,-2416.24,0,0,0,0,0,0,0,0,0,0,0,0,360184,31755.5,224658,-44780.4,92459.4,633360,3813.91,-8318.45,0,0,0,0,0,0,-1.9417,36624.1,219344,0.447249,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-57983,31489.9,225165,11311.2,278178,-57983,17664.9,18873.8,0,0,0,0,0,0,0,0,0,0,0,0,77122.5,50228.3,245947,-25035.4,136751,16723.6,7053.21,9963.64,0,0,0,0,0,0,-2.36553,50181.1,263635,0.447249,0,0,
,,,,,,,,,,,,,,,,,,,,,,,113189,31489.9,225165,-35882.2,230985,113189,-2116.13,6538.96,0,0,0,0,0,0,0,0,0,0,0,0,115268,30447.2,233613,-44673.6,82253.7,233173,-872.45,-13926.4,0,0,0,0,0,0,18.1311,29940,209134,-3.90427,0,0,
,,,,,,,,,,,,,,,,,,,,,,,321442,31489.9,225165,-25953.5,240914,321442,-1377.14,6035.21,0,0,0,0,0,0,0,0,0,0,0,0,116170,31186.2,233109,-7299.66,130060,451005,9233.6,32485.8,0,0,0,0,0,0,1.83163,40622.9,256944,-0.143123,0,0,
