z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-73202.3,33735.4,246974,9421.14,9421.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84096e+07,29575.7,235789,94149.4,0,2.84096e+07,-15200.5,-33259.7,0,0,0,0,0,0,0,0,0,0,0,0,1.54136e+07,15708.8,183066,53511.3,0,4.5007e+07,1734.24,2388.84,0,0,0,0,0,0,2.93684e+07,29726.7,215383,88499.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.92943e+07,30285.4,231929,176814,86524.5,2.92943e+07,9538.68,27540.2,0,0,0,0,0,0,0,0,0,0,0,0,3.20313e+07,32310.4,245651,54665.2,25093.3,6.25462e+07,1636.41,14399.5,0,0,0,0,0,0,2.77255e+07,28055.1,222944,70966.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.72006e+07,27881.2,205006,103834,40467.7,2.72006e+07,-3381.35,7609.5,0,0,0,0,0,0,0,0,0,0,0,0,3.34064e+07,33611.2,236484,66460.8,0,6.17404e+07,129.156,-14442.7,0,0,0,0,0,0,3.43915e+07,34783.9,217270,90386.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.5214e+07,25816.1,209798,107416,39257.3,2.5214e+07,-8167.77,8041.76,0,0,0,0,0,0,0,0,0,0,0,0,1.69271e+07,17117,217246,48433.7,0,4.31917e+07,-200.972,-12501.9,0,0,0,0,0,0,3.55434e+07,35847.4,214138,87253.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.66874e+07,37210.4,224685,165806,82759.7,3.66874e+07,-8815.74,-23877.6,0,0,0,0,0,0,0,0,0,0,0,0,2.56245e+07,25473.2,169267,-43047.9,0,6.38405e+07,2229.25,-345.349,0,0,0,0,0,0,3.40335e+07,34507.6,205799,78914.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.98769e+07,30682.7,211899,143757,73497.5,2.98769e+07,6893.98,3317.35,0,0,0,0,0,0,0,0,0,0,0,0,4.08272e+07,40913.4,231039,27986.9,0,7.1949e+07,5710.2,4475.36,0,0,0,0,0,0,5.09708e+07,51386.3,268715,141831,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.63229e+07,26981.2,199469,100430,42600.6,2.63229e+07,-1246.56,5592.54,0,0,0,0,0,0,0,0,0,0,0,0,3.58665e+07,36147.5,252094,79938.4,0,6.32863e+07,-5573.37,-19609.8,0,0,0,0,0,0,3.18499e+07,31961.4,223513,96629.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.27745e+07,34076.5,230718,158885,69806.3,3.27745e+07,3606.17,10471.4,0,0,0,0,0,0,0,0,0,0,0,0,3.7615e+07,38128.7,244493,58865.8,13733.9,7.17551e+07,-3284,-13884.8,0,0,0,0,0,0,2.71689e+07,27533.6,187372,46754.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.78655e+07,40094.5,247022,179976,74593.2,3.78655e+07,3260.87,15630.2,0,0,0,0,0,0,0,0,0,0,0,0,3.97168e+07,41601.3,268309,118411,54250.1,7.916e+07,-3118.37,16278.7,0,0,0,0,0,0,3.80244e+07,41104.1,286063,104929,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.77139e+07,38746.7,220360,201470,122748,3.77139e+07,10336.8,25943.2,0,0,0,0,0,0,0,0,0,0,0,0,4.51157e+07,45554.7,276904,85992.3,61391.3,8.4401e+07,10427.9,36267.9,0,0,0,0,0,0,4.64965e+07,47140.2,288811,100535,0,0,
