z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-3.38342e+06,33735.4,246974,435447,435447,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218892,31720.4,230884,-39051.5,297729,218892,10328.8,4745.58,0,0,0,0,0,0,0,0,0,0,0,0,298926,44506.6,221500,-63518.4,142266,526939,3027.11,-8613.39,0,0,0,0,0,0,9993.66,55732.8,266034,-3115.88,0,0,
,,,,,,,,,,,,,,,,,,,,,,,784229,22239.2,204883,-95700.8,267081,784229,364.748,3361.87,0,0,0,0,0,0,0,0,0,0,0,0,317882,19487.9,198388,-49606.9,148641,1.13479e+06,13410.5,35732.1,0,0,0,0,0,0,193720,40862.2,236460,-39065,0,0,
,,,,,,,,,,,,,,,,,,,,,,,460724,44715.9,244441,-42699.7,280524,460724,-10797.9,-7444.33,0,0,0,0,0,0,0,0,0,0,0,0,835999,29614.7,247241,-38143.2,124695,1.31592e+06,1031.94,3882.55,0,0,0,0,0,0,400497,32619,223772,-27807.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,401232,29543.1,195449,-99806.3,272409,401232,-2776.06,-9114.06,0,0,0,0,0,0,0,0,0,0,0,0,112557,31487.6,201647,-60078.1,140239,530507,1262.46,6373.66,0,0,0,0,0,0,104022,40406.9,243163,-23960.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-13347.4,41478.8,245616,2892.46,324941,-13347.4,5824.72,28484.5,0,0,0,0,0,0,0,0,0,0,0,0,343423,37679.9,245065,-57725.3,151706,329519,3718.61,19709.8,0,0,0,0,0,0,61831.4,39982,268297,-10292.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,285532,35195.3,225021,-61876.6,280767,285532,-4494.47,2203.46,0,0,0,0,0,0,0,0,0,0,0,0,93331.9,32266.9,252601,-49816.3,107905,390761,-2683.91,-13853.1,0,0,0,0,0,0,154074,27582.7,196736,-38052.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,459224,29067.4,214511,-99516.8,253637,459224,-5667.72,-17213.2,0,0,0,0,0,0,0,0,0,0,0,0,392327,19675.4,193103,-71107.7,118981,870686,-1156.18,3960.73,0,0,0,0,0,0,159843,27900.7,219257,-26608.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,328643,31427.6,227982,-33835.4,305847,328643,5730.81,25287,0,0,0,0,0,0,0,0,0,0,0,0,487505,34356.7,245819,-76077.4,113506,829841,-4967.04,-12346.4,0,0,0,0,0,0,-122331,35536.1,255016,14626.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,377540,34266.3,243480,-49702.8,274482,377540,2294.2,-10296.3,0,0,0,0,0,0,0,0,0,0,0,0,105416,41738.8,233677,-29993.5,140366,498687,-2779.72,-2975.06,0,0,0,0,0,0,149631,32386.9,220598,-46653,0,0,
,,,,,,,,,,,,,,,,,,,,,,,189826,33571.8,242788,-47219.2,277657,189826,-1376.53,7142.25,0,0,0,0,0,0,0,0,0,0,0,0,249701,28163.1,225934,-81057.5,100221,447437,-1064.72,-21782.7,0,0,0,0,0,0,222845,26899.2,175774,-51330,0,0,
