z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-679920,33735.4,246974,87505.7,87505.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.14727e+07,31489.9,225165,5441.12,0,3.14727e+07,-524.482,-11366.6,0,0,0,0,0,0,0,0,0,0,0,0,3.18007e+07,32038.9,215707,127144,40992.3,6.45847e+07,-9606.14,-62640,0,0,0,0,0,0,2.44858e+07,24485.8,167869,-7.70297,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11058e+07,31489.9,225165,24333.7,18892.5,3.11058e+07,338.135,6528.6,0,0,0,0,0,0,0,0,0,0,0,0,2.99094e+07,32901.5,233602,188010,102856,6.23113e+07,8830.34,2475.56,0,0,0,0,0,0,4.13574e+07,41357.4,229740,0.593448,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.0755e+07,31489.9,225165,82726.9,77285.7,3.0755e+07,-10043.7,-35045.1,0,0,0,0,0,0,0,0,0,0,0,0,2.24865e+07,22519.7,192029,4121.73,18933.8,5.4523e+07,-22731.7,-74639.5,0,0,0,0,0,0,7.58235e+06,7582.36,145819,0.766465,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.0115e+07,31489.9,225165,127425,121984,3.0115e+07,6713.58,21227.9,0,0,0,0,0,0,0,0,0,0,0,0,3.76409e+07,39276.9,248302,102805,106042,6.90106e+07,4189.74,-1374.69,0,0,0,0,0,0,3.93874e+07,39387.4,232927,0.593448,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.04802e+07,31489.9,225165,113665,108224,3.04802e+07,3695.55,-24971.3,0,0,0,0,0,0,0,0,0,0,0,0,3.60976e+07,36258.9,202102,37404.1,73080.2,6.78478e+07,-17632.6,-41358.1,0,0,0,0,0,0,2.10528e+07,21052.8,199964,-0.144746,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.08986e+07,31489.9,225165,97305.8,91864.7,3.08986e+07,5492.74,-14630.9,0,0,0,0,0,0,0,0,0,0,0,0,3.70311e+07,38056.1,212443,117469,126445,6.92172e+07,-7572.95,11659.1,0,0,0,0,0,0,3.11149e+07,31114.9,253330,0.766465,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.10391e+07,31489.9,225165,74194.9,68753.8,3.10391e+07,-1150.1,-30575.4,0,0,0,0,0,0,0,0,0,0,0,0,3.11823e+07,31413.3,196498,89528.1,91338.5,6.35146e+07,-1501.14,-16280.7,0,0,0,0,0,0,3.44802e+07,34480.2,218224,1.53414,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.08309e+07,31489.9,225165,67842.6,62401.5,3.08309e+07,-11678,-35936.3,0,0,0,0,0,0,0,0,0,0,0,0,2.0397e+07,20885.4,191137,76211.6,77030.7,5.25126e+07,-3258.3,-13982,0,0,0,0,0,0,2.60228e+07,26022.8,203913,-1.33837,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.00359e+07,31489.9,225165,163686,158245,3.00359e+07,9755.33,28881.7,0,0,0,0,0,0,0,0,0,0,0,0,4.17938e+07,42318.7,255955,65263.1,97107.3,7.30811e+07,5278.85,-13498.1,0,0,0,0,0,0,4.16731e+07,41673.1,223992,0.766465,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.14225e+07,31489.9,225165,5441.12,0,3.14225e+07,-20322.9,-44985.8,0,0,0,0,0,0,0,0,0,0,0,0,1.09829e+07,12240.5,182088,132104,79570.6,4.37147e+07,-4064.63,972.944,0,0,0,0,0,0,2.02773e+07,20277.3,206455,0.766465,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09458e+07,31489.9,225165,66398.6,60957.5,3.09458e+07,-13441.8,-51025.7,0,0,0,0,0,0,0,0,0,0,0,0,1.83479e+07,19121.5,176048,58042.1,72506.6,5.0583e+07,-6936.62,-19464.9,0,0,0,0,0,0,2.29404e+07,22940.5,199391,0.766465,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.05922e+07,31489.9,225165,136954,131513,3.05922e+07,345.881,34096.3,0,0,0,0,0,0,0,0,0,0,0,0,3.26746e+07,32909.2,261170,49853.8,49752.1,6.45415e+07,-8686.7,-43370.8,0,0,0,0,0,0,2.05073e+07,20507.3,176635,-1.33837,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.03006e+07,31489.9,225165,145131,139690,3.03006e+07,3331,16914.3,0,0,0,0,0,0,0,0,0,0,0,0,3.52956e+07,35894.4,243988,108527,133784,6.68587e+07,5803.22,31018.4,0,0,0,0,0,0,3.91619e+07,39161.9,260667,-1.33837,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09937e+07,31489.9,225165,75696.5,70255.4,3.09937e+07,-9987.98,-25081,0,0,0,0,0,0,0,0,0,0,0,0,2.22648e+07,22575.4,201993,79231.1,77048.8,5.45499e+07,639.577,-13992.3,0,0,0,0,0,0,2.97859e+07,29785.9,203933,-0.144746,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.0437e+07,31489.9,225165,149206,143765,3.0437e+07,5914.69,20507.8,0,0,0,0,0,0,0,0,0,0,0,0,3.79979e+07,38478,247582,111302,137041,6.97032e+07,4863.82,30800.4,0,0,0,0,0,0,3.9591e+07,39590.9,263924,-0.144746,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.13797e+07,31489.9,225165,23880.3,18439.2,3.13797e+07,1188.11,-22128.3,0,0,0,0,0,0,0,0,0,0,0,0,3.2635e+07,33751.5,204945,187668,130716,6.53222e+07,-445.624,21319.5,0,0,0,0,0,0,3.61451e+07,36145.1,257599,-1.33837,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.14727e+07,31489.9,225165,5441.12,0,3.14727e+07,-2875.19,1306.62,0,0,0,0,0,0,0,0,0,0,0,0,2.93224e+07,29688.2,228380,195218,96392.7,6.21065e+07,2658.06,127.996,0,0,0,0,0,0,3.35743e+07,33574.2,223269,-7.70297,0,0,
