z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-365511,33735.4,246974,0,0,0,0,0,48750.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.58355e+07,36282.8,243003,62035,0,3.58355e+07,2326.4,1723.08,0,86197.1,0,86197.1,0,0,0,0,0,0,0,0,2.7703e+07,27860.9,213797,84242.2,0,6.50317e+07,2979.42,-470.968,86197.1,0,0,0,0,0,3.85702e+07,38599,227290,14208.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.26148e+07,32822.7,226037,45069,0,3.26148e+07,-5910.46,-23511,0,0,0,0,0,0,0,0,0,0,0,0,3.73951e+07,37650.2,228444,98888.6,0,7.13688e+07,-5622.97,-27100,0,0,0,0,0,0,4.26978e+07,42896.4,246039,119155,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.23105e+07,32893.5,223987,43019.1,0,3.23105e+07,-227.043,-4379.79,63237.9,0,63237.9,0,0,0,0,0,0,0,0,0,2.62015e+07,26276.1,211821,19028,0,5.98582e+07,-6197.56,-17887.7,0,0,0,0,0,0,2.76743e+07,27939.1,226967,100083,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.7212e+07,28646.1,233778,52809.5,0,2.7212e+07,-4680.96,9558.98,0,164032,0,164032,0,0,0,0,0,0,0,0,2.54851e+07,25835.3,203954,74398.7,0,5.3831e+07,-204.598,-9321.1,164032,0,0,0,0,0,3.24021e+07,32092.4,219569,-71347,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.59945e+07,26101.8,214926,33958.1,0,2.59945e+07,-313.928,9763.57,0,63.188,0,63.188,0,0,0,0,0,0,0,0,2.44104e+07,24795.2,239047,109492,0,5.1488e+07,2526.7,5181.58,63.188,0,0,0,0,0,2.88987e+07,29119.7,202391,75443.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.27169e+07,24640.8,211069,30100.3,0,2.27169e+07,1569.16,-11638.2,154115,0,154115,0,0,0,0,0,0,0,0,0,2.74398e+07,27199.2,227890,-55779.5,0,5.11032e+07,-3354.77,-29913.5,0,0,0,0,0,0,3.11904e+07,31434,202839,75955.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.83236e+07,28560.9,220013,39044.9,0,2.83236e+07,-475.015,9579.63,0,0,0,0,0,0,0,0,0,0,0,0,3.54485e+07,35983,253456,123901,0,6.49523e+07,7233.23,23169.8,0,0,0,0,0,0,3.99227e+07,40346.7,248571,121687,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.98481e+07,32637.6,222045,41076.8,0,2.98481e+07,5563.43,34852.6,226184,0,226184,0,0,0,0,0,0,0,0,0,4.61316e+07,45361.6,274853,-80886.6,0,7.72234e+07,12968.1,40809.7,0,0,0,0,0,0,4.81223e+07,49433.1,261756,134872,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.63448e+07,26524.9,216118,35149.4,0,2.63448e+07,-2295.89,415.447,0,0,0,0,0,0,0,0,0,0,0,0,3.06092e+07,31096.9,242611,113056,0,5.80517e+07,-2981.15,-1407.71,0,0,0,0,0,0,3.43603e+07,35135.6,240413,113529,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.57465e+07,28041.2,224559,43591.1,0,2.57465e+07,-2922.71,-4480.4,0,368338,0,368338,0,0,0,0,0,0,0,0,2.50598e+07,26019.2,221139,91584.4,0,5.18791e+07,-411.696,1850.09,368338,0,0,0,0,0,2.25899e+07,21440.4,211309,-283912,0,0,
