z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.08572e+06,33735.4,246974,0,0,0,0,0,88040.8,58682.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20885e+07,32986.2,233632,13373.4,0,3.20885e+07,5945.41,23176.6,66960.5,106772,8278.32,106772,0,0,0,0,0,0,0,0,3.81401e+07,38265.7,245226,48710.6,0,7.15656e+07,-2475.8,-1757.12,106772,0,0,0,0,0,2.24985e+07,22458,213752,-19903.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.84856e+07,29304.6,249295,29035.8,0,2.84856e+07,-8695.3,-14193.4,112421,87432.1,53738.9,87432.1,0,0,0,0,0,0,0,0,1.22632e+07,12107,202133,-39843.5,0,4.19357e+07,-1987.69,-4394.18,87432.1,0,0,0,0,0,2.49811e+07,24960.4,205533,-8782.79,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.29667e+07,23705,195240,-25018.4,0,2.29667e+07,3038.8,-668.074,325611,0,266929,0,0,0,0,0,0,0,0,0,2.8551e+07,27400.4,184701,-270465,0,5.24746e+07,1385,-7989.55,79783,79783,0,0,0,0,4.12072e+07,41356,240938,34270.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.93387e+07,29920.5,210074,-10184.8,0,2.93387e+07,-3075.91,-7789.75,58682.1,76663.6,0,76663.6,0,0,0,0,0,0,0,0,2.80533e+07,28542.5,230110,41872.9,0,5.86145e+07,-9195.62,-33142.9,76663.6,0,0,0,0,0,2.22324e+07,21646.3,168359,-35188.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.1753e+07,22372.8,196582,-23677.1,0,2.1753e+07,-11528,-22626.2,285832,0,227150,0,0,0,0,0,0,0,0,0,1.08953e+07,10007.6,176792,-238595,0,3.35547e+07,-5873.04,-3890.75,33611.8,33611.8,0,0,0,0,1.79357e+07,18065,184941,24445,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.19808e+07,32638.4,209679,-10579.8,0,3.19808e+07,-17.397,-11684,217009,0,158327,0,0,0,0,0,0,0,0,0,3.75809e+07,37320.4,211355,-135209,0,7.08943e+07,-10864.7,-25703.2,82873.7,82873.7,0,0,0,0,2.69598e+07,26892,200456,-9301.84,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.36687e+07,34547.8,241232,20973.1,0,3.36687e+07,3516.6,-3567.45,223912,40914.7,165230,40914.7,0,0,0,0,0,0,0,0,3.13371e+07,30779,194681,-158786,0,6.64086e+07,-6124.8,-8731.93,40914.7,0,0,0,0,0,3.14169e+07,31740,218270,50471.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.46489e+07,25017.8,190342,-29917.2,0,2.46489e+07,-3186.68,-19738.8,171576,0,112894,0,0,0,0,0,0,0,0,0,3.20935e+07,32130.8,208132,-92998.5,0,5.77694e+07,-7198.42,-22865.9,109577,109577,0,0,0,0,2.97284e+07,29705.6,216687,-19774,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.37479e+07,24368.6,195895,-24363.6,0,2.37479e+07,-3529,-19515.3,135264,114942,76582.3,114942,0,0,0,0,0,0,0,0,2.52933e+07,24641.5,183783,-81036.9,0,5.00308e+07,-939.955,-19646.6,114942,0,0,0,0,0,3.41097e+07,33995.4,213602,-28224.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.5944e+07,36718.5,232989,12730.4,0,3.5944e+07,-2889.13,-27078.3,147768,22037.9,89085.6,22037.9,0,0,0,0,0,0,0,0,4.15728e+07,41723.7,212934,-64388.3,0,7.90145e+07,1006.87,-11394.3,126094,104056,0,0,0,0,3.79452e+07,37826.1,230452,-22525.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.00618e+07,20710.2,192488,-27770.6,0,2.00618e+07,3411.94,-1016.5,111653,114119,52971.1,114119,0,0,0,0,0,0,0,0,3.14147e+07,31227,193313,-47895.1,0,5.23124e+07,-2010.63,-563.458,114119,0,0,0,0,0,3.30182e+07,32969.1,227965,-13038.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.00987e+07,20451.2,194223,-26036.1,0,2.00987e+07,-8382.44,-14633,157022,0,98339.5,0,0,0,0,0,0,0,0,0,1.73937e+07,17408.3,209241,-77335.6,0,3.83298e+07,11262.6,34930.4,84656.8,84656.8,0,0,0,0,3.29548e+07,33132.8,252549,41008.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.20695e+07,33053.6,241215,20956.1,0,3.20695e+07,3565.26,28140.8,193130,0,134448,0,0,0,0,0,0,0,0,0,3.80746e+07,37717.2,250701,-71984.8,0,7.14804e+07,-10311.2,-34315.4,28277.5,28277.5,0,0,0,0,2.25968e+07,22867.8,194841,39679.1,0,0,
