z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-3.17566e+06,33735.4,246974,0,0,0,0,0,264210,164721,8.52655e-12,0,0,0,0,0,0,0,0,0,0,0,0,61568.3,36385.3,233303,-163125,0,61568.3,14270.3,11455.7,164721,154989,0,154989,0,0,0,0,0,0,0,0,261610,45741,230735,-63540.6,0,325744,-5674.66,15665.5,167677,12687.9,0,0,0,0,87444.7,34244.3,272964,-21596.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,242339,32559.5,222782,-173646,0,242339,-800.009,-14665.1,264230,8.52655e-12,99509,0,0,0,0,0,0,0,0,0,293131,31787.7,188432,-205353,0,545567,-2841.64,-5425.88,134500,134500,0,0,0,0,37274.2,40831.8,250686,-10697.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,427866,43863.2,252932,-143496,0,427866,-12536.2,-38378.1,164721,88061.3,0,88061.3,0,0,0,0,0,0,0,0,647395,28039,189586,-104690,0,1.09309e+06,-881.154,-24134.4,106128,18066.4,0,0,0,0,307888,28666.2,178396,-54615.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,132947,43516.6,243073,-153355,0,132947,1320.61,4111.86,303061,8.52655e-12,138340,0,0,0,0,0,0,0,0,0,263763,32334.5,259170,-173446,0,402249,3094.54,12899.7,134441,134441,0,0,0,0,96515.5,27452.8,240542,-20783.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.41626e+06,26639.9,205971,-190457,0,1.41626e+06,-8115.76,-20808.1,164721,82053.4,0,82053.4,0,0,0,0,0,0,0,0,405957,19677.4,214117,-80158.6,0,1.88123e+06,9373.81,22022.6,133313,51259.7,0,0,0,0,124478,41052.7,248408,-11789.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,730283,27188.6,209479,-186949,0,730283,-2776.91,25559.3,167131,123707,2410.71,123707,0,0,0,0,0,0,0,0,498097,16904.1,219310,-77376.1,0,1.25881e+06,-5280.97,-2446.82,123707,0,0,0,14667.4,0,1.40554e+06,14562.2,181440,-54483.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,289341,27475,198144,-198285,0,289341,4218.82,-7756.29,164721,117640,0,117640,0,0,0,0,0,0,0,0,491063,33842.6,200432,-93843.7,0,792459,2146.19,8642.56,146295,28654.4,0,0,0,0,116063,39426.8,251235,-21944,0,0,
,,,,,,,,,,,,,,,,,,,,,,,851427,29782.7,215379,-181049,0,851427,-2530.96,-14890.7,261738,8.52655e-12,97017.1,0,0,0,0,0,0,0,0,0,248044,33424.2,210943,-180350,0,1.13495e+06,1568.79,-4092.02,132836,132836,0,0,0,0,240462,26808.4,207940,-51779.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,912779,31912.3,224941,-171487,0,912779,-6733.62,-15951,164721,94889.5,0,94889.5,0,0,0,0,0,0,0,0,607288,24563.7,191147,-103129,0,1.5581e+06,-12831.1,-14984.2,110684,15794.7,0,0,0,0,147708,23756.3,203545,-34022.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,174808,41762.6,249135,-147293,0,174808,1281.56,-3821.47,291238,8.52655e-12,126517,0,0,0,0,0,0,0,0,0,472342,33795.4,220257,-200536,0,654434,255.199,4144.01,137938,137938,0,0,0,0,188165,27437.7,224304,-40518.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,559193,34299.7,245999,-150429,0,559193,-7804.68,-24046.4,244056,8.52655e-12,79335.5,0,0,0,0,0,0,0,0,0,301769,20846.8,189713,-183899,0,884261,6622.04,17742.8,136694,136694,0,0,0,0,59375.6,38983.7,249901,-13676.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,645415,26216.4,215717,-180712,0,645415,-3296.51,-15464.7,249120,8.52655e-12,84399.1,0,0,0,0,0,0,0,0,0,288593,21888.7,160538,-218136,0,960900,5937.01,24833.4,154405,154405,0,0,0,0,61661.6,40790.6,270351,-10938.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,366745,27823.4,215403,-181026,0,366745,8870.57,22973.8,304379,8.52655e-12,139658,0,0,0,0,0,0,0,0,0,395296,34662.6,235728,-198206,0,777321,1848.57,-13814.3,118595,118595,0,0,0,0,172840,35423.8,202792,-42687.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,483262,33764.9,222909,-173519,0,483262,-1027.55,-24328.3,164721,102444,0,102444,0,0,0,0,0,0,0,0,1.15479e+06,20089.4,161348,-132928,0,1.65819e+06,3177.62,406.043,126140,23695.4,0,0,0,0,733961,32032.7,195672,-57351.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,361475,40412.7,213036,-183393,0,361475,3522.32,4875.59,313479,8.52655e-12,148758,0,0,0,0,0,0,0,0,0,801987,44071.4,251056,-191979,0,1.17852e+06,-6994.3,-22765.6,119661,119661,0,0,0,0,105848,34482.1,216168,-30376.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.57421e+06,26045.8,195745,-200684,0,1.57421e+06,2680.93,-10972.2,164721,113171,0,113171,0,0,0,0,0,0,0,0,356062,42849.9,238625,-55650.6,0,1.99586e+06,-2091.15,6525.67,154526,41355,0,0,0,0,47561.2,42091.7,279790,-1620.49,0,0,
,,,,,,,,,,,,,,,,,,,,,,,342743,34816.4,262714,-133714,0,342743,-5562.64,-10150,164721,89542.3,0,89542.3,0,0,0,0,0,0,0,0,146664,26110.3,219397,-74878.9,0,503689,8497.44,6357.91,127888,38345.2,0,0,0,0,224410,29219.2,212342,-42429.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,771063,32513.6,225854,-170574,0,771063,-7420.1,-20431.1,232453,18871.5,67732.4,18871.5,0,0,0,0,0,0,0,0,859145,16120.2,183274,-178734,0,1.66234e+06,1702.41,-2075.4,109491,90619.8,0,0,0,0,199959,23873,205145,-31229.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,559193,34299.7,245999,-150429,0,559193,-7804.68,-24046.4,244056,8.52655e-12,79335.5,0,0,0,0,0,0,0,0,0,95546.1,32347.9,220886,-152725,0,678038,-8027.41,-3065.91,129257,129257,0,0,0,0,49249.7,16636.8,213457,-42683.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,298512,32392.7,233604,-162825,0,298512,7652.38,25550.8,307883,8.52655e-12,143162,0,0,0,0,0,0,0,0,0,1.67742e+06,46169.1,242977,-194461,0,1.98837e+06,-4557.17,-29292.1,122036,122036,0,0,0,0,431400,37383.1,227696,-21224.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,206139,29707,201215,-195213,0,206139,12126,26434.5,321274,8.52655e-12,156553,0,0,0,0,0,0,0,0,0,54254.4,52026.4,291462,-159367,0,268983,-1819.5,-4101.09,143575,143575,0,0,0,0,62473.9,36224,246850,-23609.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,117923,34201.5,256942,-139487,0,117923,10809.1,16217.8,203478,100414,38757.1,100414,0,0,0,0,0,0,0,0,1.234e+06,36452.6,228475,-104558,0,1.35683e+06,-1657.86,-9054.87,127958,27544.1,0,0,0,0,185554,34732.9,231055,-23787.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,555330,26249.6,200598,-195830,0,555330,-3425.46,-15654.1,254375,8.52655e-12,89654.3,0,0,0,0,0,0,0,0,0,110525,28166.2,212201,-171729,0,688994,1566.09,14437.2,142339,142339,0,0,0,0,20949.9,38786.7,262071,-7151.77,0,0,
,,,,,,,,,,,,,,,,,,,,,,,337011,32875.5,227727,-168702,0,337011,6981.22,12130.4,300246,8.52655e-12,135526,0,0,0,0,0,0,0,0,0,231934,46126.8,251701,-178101,0,582987,820.352,5837.23,151188,151188,0,0,0,0,378257,35089.7,239151,-38920.6,0,0,
