z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.25715e+06,33735.4,246974,0,0,0,0,0,167627,48.2561,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36608e+07,24177.1,216984,-82861,0,2.36608e+07,0,0,257546,0,257497,0,0,0,0,0,0,0,0,0,2.81295e+07,27579.9,223890,-163210,0,5.27761e+07,0,0,7039.12,7039.12,0,0,0,0,4.53242e+07,45780.7,255182,121259,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.82905e+07,38396.9,206420,-93425.4,0,3.82905e+07,0,0,48.2561,125959,0,125959,0,0,0,0,0,0,0,0,5.32867e+07,54164.6,277174,147571,0,9.31726e+07,0,0,125959,0,0,0,0,0,4.00909e+07,40102.6,256192,3348.58,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.80366e+07,39105.6,267772,-32073.7,0,3.80366e+07,0,0,123036,0,122988,0,0,0,0,0,0,0,0,0,2.29805e+07,22827.4,215072,-37518.7,0,6.2602e+07,0,0,21941,21941,0,0,0,0,3.09775e+07,31431.2,215261,66435.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.28465e+07,32920.8,229190,-70655.5,0,3.28465e+07,0,0,48.2561,91088.9,0,91088.9,0,0,0,0,0,0,0,0,4.58393e+07,46720.4,263104,133501,0,8.00545e+07,0,0,118362,27273,0,0,0,0,3.78041e+07,37785.4,241207,-4039.44,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.80409e+07,38199.7,261553,-38291.9,0,3.80409e+07,0,0,50197,9603.88,50148.7,9603.88,0,0,0,0,0,0,0,0,4.44015e+07,45375.8,250498,70745.6,0,8.40275e+07,0,0,71534.7,61930.8,0,0,0,0,4.26684e+07,42983.9,254392,55973.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.23181e+07,42958.5,245668,-54177.3,0,4.23181e+07,0,0,188828,0,188779,0,0,0,0,0,0,0,0,0,4.10519e+07,40888,265158,-53225,0,8.51332e+07,0,0,0,0,0,0,0,0,3.59768e+07,36199.8,236586,109702,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.13448e+07,21081.8,233503,-66342.5,0,2.13448e+07,0,0,30230.2,0,30181.9,0,0,0,0,0,0,0,0,0,2.93299e+07,29981.6,228248,68463.3,0,5.1564e+07,0,0,0,0,0,0,0,0,3.21598e+07,32754.1,219710,92825.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.24277e+07,22095.9,219023,-80821.9,0,2.24277e+07,0,0,35796.1,12376.3,35747.9,12376.3,0,0,0,0,0,0,0,0,2.66983e+07,27283.5,197042,31690.7,0,5.00605e+07,0,0,54719.6,42343.4,0,0,0,0,4.1582e+07,41944.2,231279,49675.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.64038e+07,26788.7,195567,-104279,0,2.64038e+07,0,0,235545,0,235496,0,0,0,0,0,0,0,0,0,2.8586e+07,28160.1,200028,-165071,0,5.609e+07,0,0,0,0,0,0,0,0,2.45753e+07,24745.1,210432,83548.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,5.50267e+07,56067.7,316233,16387.4,0,5.50267e+07,0,0,93272.8,0,93224.5,0,0,0,0,0,0,0,0,0,3.02111e+07,30719.3,219143,-3685.25,0,8.75306e+07,0,0,48809.6,48809.6,0,0,0,0,3.553e+07,35959.3,219875,44181.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.33637e+07,33362.8,233703,-66142.4,0,3.33637e+07,0,0,22591.5,47886.7,22543.2,47886.7,0,0,0,0,0,0,0,0,2.99986e+07,30472.1,215272,63125.3,0,6.47525e+07,0,0,58961.7,11075,0,0,0,0,4.25614e+07,42897.4,275093,89246.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.75261e+07,17281.1,197480,-102366,0,1.75261e+07,0,0,48.2561,80082.2,0,80082.2,0,0,0,0,0,0,0,0,3.43063e+07,34794.5,202961,73357.4,0,5.25627e+07,0,0,111688,31606.2,0,0,0,0,3.24912e+07,32410.5,219982,-18590.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.25391e+07,22311.7,234099,-65746.2,0,2.25391e+07,0,0,26128.1,0,26079.8,0,0,0,0,0,0,0,0,0,3.63977e+07,37482.9,271487,115804,0,5.98759e+07,0,0,142810,142810,0,0,0,0,3.90811e+07,39054.8,258531,-11163.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.49359e+07,24892.4,210614,-89231.5,0,2.49359e+07,0,0,45104.1,44757.8,45055.8,44757.8,0,0,0,0,0,0,0,0,3.07713e+07,31711.4,264406,89747.2,0,5.67462e+07,0,0,44757.8,0,0,0,0,0,1.91131e+07,19180.3,176892,5250.27,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.46995e+07,24609.9,192674,-107171,0,2.46995e+07,0,0,45929.1,59990,45880.9,59990,0,0,0,0,0,0,0,0,3.81052e+07,39181.1,243092,67608.3,0,6.38338e+07,0,0,59990,0,0,0,0,0,3.5112e+07,36379.7,230067,43192.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.72035e+07,38774,238311,-61533.9,0,3.72035e+07,0,0,166798,0,166750,0,0,0,0,0,0,0,0,0,2.19693e+07,20557.2,194206,-102147,0,6.07229e+07,0,0,13659.4,13659.4,0,0,0,0,2.13049e+07,22131.6,212058,71515,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.35085e+07,33362.2,232355,-67490.8,0,3.35085e+07,0,0,48316.2,0,48267.9,0,0,0,0,0,0,0,0,0,3.32882e+07,34766.7,214961,37089.5,0,6.81929e+07,0,0,94093.8,94093.8,0,0,0,0,4.13482e+07,41636.2,257895,36917.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.90791e+07,28875.6,216511,-83334.5,0,2.90791e+07,0,0,48.2561,61284.2,0,61284.2,0,0,0,0,0,0,0,0,2.324e+07,23699.2,195110,65506.3,0,5.35307e+07,0,0,86642.7,25358.5,0,0,0,0,3.42973e+07,34317.5,221154,7627.14,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09717e+07,30895,250155,-49690.1,0,3.09717e+07,0,0,48.2561,35382.6,0,35382.6,0,0,0,0,0,0,0,0,3.64062e+07,37317.6,270583,140980,0,6.86684e+07,0,0,36649.5,1266.89,0,0,0,0,2.63756e+07,26576.2,201468,37934.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.50521e+07,46369.1,262149,-37696.3,0,4.50521e+07,0,0,71702.6,82800.1,71654.3,82800.1,0,0,0,0,0,0,0,0,3.36421e+07,34322.2,232286,31028.2,0,8.05714e+07,0,0,82800.1,0,0,0,0,0,2.53996e+07,25373,206729,-2954.65,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.45646e+07,24558.3,199668,-100178,0,2.45646e+07,0,0,102755,0,102707,0,0,0,0,0,0,0,0,0,2.7834e+07,27754.6,206518,-25792,0,5.34222e+07,0,0,0,0,0,0,0,0,3.77557e+07,38060.5,230944,104060,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.31113e+07,43932.3,263748,-36097.4,0,4.31113e+07,0,0,207757,0,207709,0,0,0,0,0,0,0,0,0,2.99401e+07,29569.9,227889,-109423,0,7.48477e+07,0,0,24075.5,24075.5,0,0,0,0,4.27453e+07,43355,282242,131282,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.51234e+07,45585.9,238658,-61186.9,0,4.51234e+07,0,0,214415,0,214367,0,0,0,0,0,0,0,0,0,4.13275e+07,41051.7,230241,-113729,0,8.83311e+07,0,0,36289.3,36289.3,0,0,0,0,4.00691e+07,40636.7,241016,77842.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.29553e+07,22780.1,215761,-84084.3,0,2.29553e+07,0,0,65198,0,65149.8,0,0,0,0,0,0,0,0,0,2.72353e+07,27894,210121,15368,0,5.1147e+07,0,0,49167.8,49167.8,0,0,0,0,3.44253e+07,35125.3,224651,48598.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.78122e+07,37822.2,238330,-61515.6,0,3.78122e+07,0,0,48.2561,68735.2,0,68735.2,0,0,0,0,0,0,0,0,3.31926e+07,33812.3,226305,96702,0,7.25803e+07,0,0,68735.2,0,0,0,0,0,3.73079e+07,37318.5,197754,2135.18,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.24622e+07,12348.8,192796,-107049,0,1.24622e+07,0,0,48.2561,98450.6,0,98450.6,0,0,0,0,0,0,0,0,1.36744e+07,14073.2,187375,57771.6,0,2.66559e+07,0,0,98450.6,0,0,0,0,0,3.30916e+07,33334.4,256464,31129.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.57349e+07,25568.2,224204,-75641.6,0,2.57349e+07,0,0,44761.1,0,44712.9,0,0,0,0,0,0,0,0,0,2.18766e+07,22021.2,203694,29377.9,0,4.86838e+07,0,0,4210.42,4210.42,0,0,0,0,2.51932e+07,25452.9,205619,74524.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.75757e+07,37460.4,223845,-76000.2,0,3.75757e+07,0,0,48.2561,62966.3,0,62966.3,0,0,0,0,0,0,0,0,3.35026e+07,34486.2,251215,121612,0,7.2644e+07,0,0,63664.1,697.735,0,0,0,0,4.85649e+07,49104.8,250556,60007.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.69487e+07,37108.1,220063,-79782.7,0,3.69487e+07,0,0,48.2561,119673,0,119673,0,0,0,0,0,0,0,0,2.87915e+07,29010.8,191986,62382.3,0,6.72797e+07,0,0,119673,0,0,0,0,0,3.38135e+07,33772.4,221925,-24632.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.13197e+07,21223.2,175587,-124258,0,2.13197e+07,0,0,121094,0,121045,0,0,0,0,0,0,0,0,0,2.91569e+07,29243.7,226878,-23770.4,0,5.13649e+07,0,0,31939.3,31939.3,0,0,0,0,2.74614e+07,28440,206967,48144.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.24137e+07,32386,228192,-71653.6,0,3.24137e+07,0,0,70652,0,70603.7,0,0,0,0,0,0,0,0,0,3.57811e+07,36561.3,256330,56123.5,0,6.95454e+07,0,0,41929.9,41929.9,0,0,0,0,2.83324e+07,28514.8,208095,39281,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.76647e+07,38324.9,238370,-61475.9,0,3.76647e+07,0,0,283558,0,283510,0,0,0,0,0,0,0,0,0,2.82413e+07,27823.8,190297,-222816,0,6.74753e+07,0,0,0,0,0,0,0,0,1.81456e+07,18218.2,170459,43574.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.26097e+07,32757.9,209261,-90584.1,0,3.26097e+07,0,0,117456,0,117407,0,0,0,0,0,0,0,0,0,4.45186e+07,45069.4,254845,7834.03,0,7.8487e+07,0,0,51264.1,51264.1,0,0,0,0,1.93807e+07,19776.7,222160,44011.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.44846e+07,24314.7,246409,-53436.5,0,2.44846e+07,0,0,13412.7,15731.2,13364.4,15731.2,0,0,0,0,0,0,0,0,3.08243e+07,31686.4,239706,96738.5,0,5.63292e+07,0,0,54594.6,38863.5,0,0,0,0,3.00152e+07,30422.5,226752,45273.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.4157e+07,44291,252821,-47024.5,0,4.4157e+07,0,0,78704.5,0,78656.2,0,0,0,0,0,0,0,0,0,3.82016e+07,38350.8,266062,57802.5,0,8.41985e+07,0,0,0,0,0,0,0,0,2.84201e+07,28519.5,213058,86173.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.91898e+07,39680.6,274807,-25037.9,0,3.91898e+07,0,0,88479.2,0,88430.9,0,0,0,0,0,0,0,0,0,2.53193e+07,25525,208582,-9452.19,0,6.6142e+07,0,0,47958.1,47958.1,0,0,0,0,3.21454e+07,32357.1,227122,52280,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.28266e+07,32775.6,233618,-66226.9,0,3.28266e+07,0,0,48.2561,60943.1,0,60943.1,0,0,0,0,0,0,0,0,3.20138e+07,32418,223309,93706.2,0,6.62082e+07,0,0,60943.1,0,0,0,0,0,4.08576e+07,41087.1,266179,78352.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.93242e+07,29241.2,224612,-75233.3,0,2.93242e+07,0,0,34704.3,29305,34656.1,29305,0,0,0,0,0,0,0,0,2.90748e+07,29525.5,195001,30741.5,0,5.96208e+07,0,0,88892.7,59587.7,0,0,0,0,3.85425e+07,38650.2,240578,24801.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.36682e+07,23529.5,235279,-64566,0,2.36682e+07,0,0,46769.8,0,46721.5,0,0,0,0,0,0,0,0,0,2.7334e+07,27839.4,177348,1023.34,0,5.19884e+07,0,0,69134.2,69134.2,0,0,0,0,3.36654e+07,33878.2,231432,35413.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.43514e+07,34353.4,201269,-98576.4,0,3.43514e+07,0,0,101491,0,101443,0,0,0,0,0,0,0,0,0,2.91482e+07,29101.4,212891,-18155.3,0,6.4931e+07,0,0,0,0,0,0,0,0,1.3258e+07,13389.6,182829,55944.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.51082e+07,45595.8,267794,-32051.8,0,4.51082e+07,0,0,55788.8,35046.3,55740.5,35046.3,0,0,0,0,0,0,0,0,3.17007e+07,32418.6,211404,26060.7,0,7.86884e+07,0,0,155612,120566,0,0,0,0,3.52574e+07,35102.9,224135,-58361.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.95791e+07,29910.1,228861,-70984.8,0,2.95791e+07,0,0,105711,0,105662,0,0,0,0,0,0,0,0,0,2.32626e+07,23216.4,190008,-45257,0,5.40742e+07,0,0,42704.9,42704.9,0,0,0,0,2.9629e+07,30030.5,236435,66846.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.29406e+07,33020,217918,-81927.5,0,3.29406e+07,0,0,102993,0,102945,0,0,0,0,0,0,0,0,0,4.0644e+07,41443.2,257654,25105.6,0,7.49571e+07,0,0,114207,114207,0,0,0,0,2.74725e+07,27289.1,195799,-45292.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.71334e+07,26996.6,227299,-72546.1,0,2.71334e+07,0,0,31984.6,29214.5,31936.3,29214.5,0,0,0,0,0,0,0,0,6.51408e+06,6488.4,156100,-5439.56,0,3.4778e+07,0,0,32875.1,3660.63,0,0,0,0,1.22676e+07,12419.8,182045,22286.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.15781e+07,21426.4,191032,-108813,0,2.15781e+07,0,0,48.2561,92629.1,0,92629.1,0,0,0,0,0,0,0,0,2.84448e+07,28907,220135,90532,0,5.09219e+07,0,0,92629.1,0,0,0,0,0,3.82409e+07,38267.4,227108,7594.39,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.39952e+07,34593.3,238450,-61395.3,0,3.39952e+07,0,0,113150,0,113102,0,0,0,0,0,0,0,0,0,3.45537e+07,34950.6,216569,-26136.4,0,6.99654e+07,0,0,53016.2,53016.2,0,0,0,0,4.30531e+07,44721,261960,82060.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.06291e+07,41075.4,241633,-58212.3,0,4.06291e+07,0,0,206301,1.61285,206253,1.61285,0,0,0,0,0,0,0,0,4.10905e+07,40912.6,240929,-94927.1,0,8.34125e+07,0,0,1.61285,0,0,0,0,0,4.75372e+07,47852.4,245999,119114,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.08947e+07,30874.5,229872,-69973.2,0,3.08947e+07,0,0,30289.5,36272.6,30241.2,36272.6,0,0,0,0,0,0,0,0,2.91271e+07,29267.9,235000,75155.1,0,6.13091e+07,0,0,36272.6,0,0,0,0,0,3.12496e+07,31407.9,258193,95036.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.93533e+07,29282.1,215680,-84165.6,0,2.93533e+07,0,0,37365.8,43361.9,37317.5,43361.9,0,0,0,0,0,0,0,0,2.41568e+07,24292.4,178533,11611.9,0,5.47331e+07,0,0,43361.9,0,0,0,0,0,2.92721e+07,29953.6,223496,53249.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.21107e+07,21720.2,196594,-103251,0,2.21107e+07,0,0,57608.5,0,57560.2,0,0,0,0,0,0,0,0,0,1.64125e+07,16970,202633,15469.8,0,3.94445e+07,0,0,27255.2,27255.2,0,0,0,0,1.67496e+07,16837.8,163946,9806.38,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.29762e+07,22894.6,225564,-74281.4,0,2.29762e+07,0,0,48.2561,70480.1,0,70480.1,0,0,0,0,0,0,0,0,2.7175e+07,27745,227950,98346.9,0,5.11085e+07,0,0,75619.9,5139.75,0,0,0,0,2.88857e+07,28896.8,207955,5451.45,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.75518e+07,17076.6,195526,-104320,0,1.75518e+07,0,0,27073,0,27024.7,0,0,0,0,0,0,0,0,0,2.13023e+07,21917.9,203584,46955.5,0,3.95854e+07,0,0,66814.4,66814.4,0,0,0,0,3.24501e+07,32621.7,239308,45609.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,5.04744e+07,51379,285473,-14372.8,0,5.04744e+07,0,0,34948.7,80243.2,34900.4,80243.2,0,0,0,0,0,0,0,0,3.57405e+07,36787.9,243083,78579.8,0,8.8318e+07,0,0,80243.2,0,0,0,0,0,2.1789e+07,21950.9,215094,7966.78,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.28694e+07,32824.7,245204,-54641,0,3.28694e+07,0,0,45294.7,3922.45,45246.4,3922.45,0,0,0,0,0,0,0,0,3.38907e+07,34286.9,200519,25669.8,0,6.81296e+07,0,0,45595.8,41673.3,0,0,0,0,3.41961e+07,34511.2,236032,63551.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.80311e+07,17993.8,232982,-66862.9,0,1.80311e+07,0,0,45056.5,21613.6,45008.2,21613.6,0,0,0,0,0,0,0,0,3.27995e+07,34186.4,211585,36973.8,0,5.15819e+07,0,0,74395.1,52781.6,0,0,0,0,2.60768e+07,26249.5,220475,19195.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.56324e+07,36006.5,237684,-62161,0,3.56324e+07,0,0,54489.5,52339.8,54441.2,52339.8,0,0,0,0,0,0,0,0,1.8457e+07,18653.5,169321,-14723.6,0,5.55741e+07,0,0,102284,49944,0,0,0,0,3.97782e+07,39869.7,247629,18461.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.88838e+07,28958.3,239507,-60338,0,2.88838e+07,0,0,48.2561,76064.9,0,76064.9,0,0,0,0,0,0,0,0,3.82874e+07,38931.5,230119,100516,0,6.83747e+07,0,0,76064.9,0,0,0,0,0,4.54519e+07,45871.1,287489,84539.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.42772e+07,23951.8,195794,-104052,0,2.42772e+07,0,0,52530.9,0,52482.7,0,0,0,0,0,0,0,0,0,2.21681e+07,22509.4,220062,37976.4,0,4.74568e+07,0,0,24376.9,24376.9,0,0,0,0,3.07279e+07,30854.5,194501,43240.3,0,0,
