z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-2.81079e+06,33735.4,246974,0,0,0,0,0,234897,144717,0,0,0,0,0,0,0,0,0,0,0,0,0,238452,31489.9,225165,-141950,0,238452,-2960.33,11095.3,144717,95248,0,95248,0,0,0,0,0,0,0,0,34193,29603,238169,-36103.3,0,282581,3820.35,30896.3,124426,29178,0,0,0,0,4.04928,33491.7,251309,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,539992,31489.9,225165,-141950,0,539992,-772.958,12048.6,240528,0,95810.7,0,0,0,0,0,0,0,0,0,399523,31790.4,239122,-130961,0,962014,-5556.33,-47486.8,49536.1,49536.1,0,0,0,0,5.41137,25526.6,176419,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,143637,31489.9,225165,-141950,0,143637,4046.95,30106.6,262613,0,117895,0,0,0,0,0,0,0,0,0,411002,36610.3,257180,-134987,0,560624,-5563.97,-61856,38655,38655,0,0,0,0,5.41137,26696.9,165538,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,849539,31489.9,225165,-141950,0,849539,-4812.23,-54612.1,186072,0,41354.3,0,0,0,0,0,0,0,0,0,412997,27751.1,172462,-143165,0,1.29793e+06,4721.94,-1933.64,105758,105758,0,0,0.0429707,0,-4.73332,41057.6,232642,0.559264,0,0,
,,,,,,,,,,,,,,,,,,,,,,,268515,31489.9,225165,-141950,0,268515,7034.88,-9270.3,144717,97075.4,0,97075.4,0,0,0,0,0,0,0,0,175772,39598.2,217803,-56468.8,0,455475,-4926.99,-3569.48,112444,15369.1,0,0,0,0,2.0867,34188.3,239328,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,192660,31489.9,225165,-141950,0,192660,-602.108,37522.9,144717,121514,0,121514,0,0,0,0,0,0,0,0,-109540,31961.2,264597,-9675.66,0,91148.3,921.873,-19474.8,121514,0,0,0,50393.3,0,403150,29039.1,198004,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,515880,31489.9,225165,-141950,0,515880,-11008.4,-56890.7,172478,0,27760.7,0,0,0,0,0,0,0,0,0,304059,21555,170183,-131850,0,841434,-14253.3,-20174.4,77510.4,77510.4,0,0,0,0,-1.54488,18032.8,204395,0.540313,0,0,
,,,,,,,,,,,,,,,,,,,,,,,115822,31489.9,225165,-141950,0,115822,9141.24,22496.1,144717,124352,0,124352,0,0,0,0,0,0,0,0,33670,41704.6,249570,-24702.4,0,154318,11713.6,30251.8,141492,17139.7,0,0,0,0,2.69581,48452.4,268375,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,776292,31489.9,225165,-141950,0,776292,698.067,8801.86,144717,94127.8,0,94127.8,0,0,0,0,0,0,0,0,360928,33261.4,235876,-38396.7,0,1.16956e+06,11029.7,14343.8,114740,20612.7,0,0,0,0,-7.20518,43532.7,241625,0.516293,0,0,
,,,,,,,,,,,,,,,,,,,,,,,555101,31489.9,225165,-141950,0,555101,-9112.96,-7570.78,215032,0,70315,0,0,0,0,0,0,0,0,0,205051,23450.4,219503,-125084,0,783281,-11739.5,-2293.32,85627.2,85627.2,0,0,0,0,1.77097,15897.1,212510,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,503155,31489.9,225165,-141950,0,503155,-9152.63,-36140.7,193026,0,48308.4,0,0,0,0,0,0,0,0,0,439689,23410.7,190933,-131648,0,963808,-6335.31,-19683.2,75704.9,75704.9,0,0.0256441,0,0,-3.00688,24733.5,202589,0.516293,0,0,
,,,,,,,,,,,,,,,,,,,,,,,143637,31489.9,225165,-141950,0,143637,4046.95,30106.6,262613,0,117895,0,0,0,0,0,0,0,0,0,206186,36610.3,257180,-134987,0,355808,-760.99,7751.45,108261,108261,0,0.0256441,0,0,-9.23362,31499.9,235146,0.516293,0,0,
,,,,,,,,,,,,,,,,,,,,,,,200626,31489.9,225165,-141950,0,200626,11248,15466,144717,124270,0,124270,0,0,0,0,0,0,0,0,251637,43811.4,242540,-31732.6,0,460622,-9156.81,-28753.2,124270,0,0,0,36326,0,430202,29904.1,214831,3.68724,0,0,
,,,,,,,,,,,,,,,,,,,,,,,654874,31489.9,225165,-141950,0,654874,-1284.92,-16532.7,219723,0,75006.2,0,0,0,0,0,0,0,0,0,84242.3,31278.4,210541,-138737,0,766403,0.862593,24161.6,127847,127847,0,0.0256441,0,0,-9.23362,34187.6,254731,0.516293,0,0,
,,,,,,,,,,,,,,,,,,,,,,,246582,31489.9,225165,-141950,0,246582,-5097.85,-8175.06,144717,73663.6,0,73663.6,0,0,0,0,0,0,0,0,180156,27465.5,218899,-55373.6,0,437013,-8514.41,-15472.1,79481.7,5818.05,0,0,0,0,3.33321,21998.4,206365,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,267787,31489.9,225165,-141950,0,267787,-1570.83,-659.824,144717,87505.6,0,87505.6,0,0,0,0,0,0,0,0,82461.1,30992.5,226414,-47858.4,0,361406,-6329.04,-2765.01,96244.5,8738.93,0,0,0,0,0.956878,25735.9,223128,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,849539,31489.9,225165,-141950,0,849539,-4812.23,-54612.1,186072,0,41354.3,0,0,0,0,0,0,0,0,0,490606,27751.1,172462,-143165,0,1.37554e+06,-4502.1,-3979.22,103712,103712,0,0,0.0429707,0,-7.20518,31833.6,230597,0.559264,0,0,
,,,,,,,,,,,,,,,,,,,,,,,552929,31489.9,225165,-141950,0,552929,-10175.4,-29869.5,195194,0,50477.2,0,0,0,0,0,0,0,0,0,181904,22387.9,197204,-127545,0,757872,5488.17,17755.5,109738,109738,0,0,0.0429707,0,-4.73332,35083.5,236623,0.559264,0,0,
,,,,,,,,,,,,,,,,,,,,,,,297621,31489.9,225165,-141950,0,297621,-9914.72,-19160.9,144717,59099.5,0,59099.5,0,0,0,0,0,0,0,0,303102,22648.6,207913,-66359.4,0,613124,-8921.96,-13618.6,75985.5,16886,0,0,0,0,-3.29782,19558.5,202870,0.540313,0,0,
,,,,,,,,,,,,,,,,,,,,,,,397959,31489.9,225165,-141950,0,397959,-5658.62,-4087.29,144717,78839.3,0,78839.3,0,0,0,0,0,0,0,0,-38169.2,26904.7,222986,-51285.8,0,376371,9127.74,43534.6,136449,57609.5,0,0,0.0429707,0,-3.06973,38754,263333,0.559264,0,0,
,,,,,,,,,,,,,,,,,,,,,,,255964,31489.9,225165,-141950,0,255964,-3839.23,-16125.1,215035,0,70317.4,0,0,0,0,0,0,0,0,0,62497.4,28724.1,210949,-133641,0,329127,8414.48,20896.7,120102,120102,0,0,0,0,3.33321,40768.7,246986,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,538234,31489.9,225165,-141950,0,538234,-4159.8,-40195.5,144717,58318.1,0,58318.1,0,0,0,0,0,0,0,0,172088,28403.6,186878,-87394.1,0,732749,-6361.93,-5273.21,99733.5,41415.4,0,0,0,0,2.0867,28683.4,226617,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,768380,31489.9,225165,-141950,0,768380,-5642.66,-40298.9,144717,53702.3,0,53702.3,0,0,0,0,0,0,0,0,837184,26920.7,186775,-87497.4,0,1.63758e+06,-16475.6,-58329.3,53702.3,0,0,0,9540.7,0,246329,17547,171049,3.68724,0,0,
,,,,,,,,,,,,,,,,,,,,,,,298647,31489.9,225165,-141950,0,298647,-345.661,-893.952,144717,90743.9,0,90743.9,0,0,0,0,0,0,0,0,122633,32217.7,226180,-48092.5,0,433724,3036.59,12644.3,113813,23069.2,0,0,0,0,3.33321,35985.1,240696,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,306492,31489.9,225165,-141950,0,306492,-12379.7,-17355.2,144717,55657.7,0,55657.7,0,0,0,0,0,0,0,0,2307.53,20183.7,209719,-64553.7,0,321570,5358.29,36739.5,121649,65990.8,0,0,0,0,1.77097,31899.3,248532,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,226726,31489.9,225165,-141950,0,226726,9336.67,-2568.53,247470,0,102753,0,0,0,0,0,0,0,0,0,204410,41900,224505,-152520,0,440582,-9894.93,-31939.8,86246.9,86246.9,0,0,0,0,1.77097,30015.6,213130,-0.729811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,468617,31489.9,225165,-141950,0,468617,-5945.72,-33904.9,144717,56675.4,0,56675.4,0,0,0,0,0,0,0,0,569009,26617.6,193169,-81103.4,0,1.05715e+06,10174.4,-1504.98,98783.5,42108.1,0,0,0,0,-13.3352,43211.2,225668,0.516293,0,0,
,,,,,,,,,,,,,,,,,,,,,,,482288,31489.9,225165,-141950,0,482288,1882.44,-9390.75,144717,89668.1,0,89668.1,0,0,0,0,0,0,0,0,-124123,34445.8,217683,-56589.3,0,378261,13376.2,57561.9,164785,75117.2,0,0,0.0429707,0,-4.73332,48909.2,291670,0.559264,0,0,
,,,,,,,,,,,,,,,,,,,,,,,6175.62,31489.9,225165,-141950,0,6175.62,18374.4,35061.2,144717,150557,0,150557,0,0,0,0,0,0,0,0,167443,50937.8,262135,-12137.3,0,173876,2680.08,26878.1,150609,52.5636,0,0,0,0,-5.33615,44342.9,277494,0.516293,0,0,
,,,,,,,,,,,,,,,,,,,,,,,282564,31489.9,225165,-141950,0,282564,-1425.62,14152.1,144717,102759,0,102759,0,0,0,0,0,0,0,0,123419,31137.7,241226,-33046.5,0,417756,-7660.04,3441.33,102759,0,0,0,3966.54,0,31734.4,22712.5,225675,-0.729811,0,0,
