z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.09251e+07,31489.9,225165,92946.9,0,3.09251e+07,9542.95,28835.6,0,0,0,0,0,0,0,0,0,0,0,0,4.15613e+07,42106.3,255909,126354,0,7.37749e+07,-14836.3,-33900.5,0,0,0,0,0,0,2.1288e+07,21415.2,203238,76354.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.00228e+07,31489.9,225165,92946.9,0,3.00228e+07,-8879.78,-23595.5,0,0,0,0,0,0,0,0,0,0,0,0,2.20634e+07,23683.6,203478,73923.3,0,5.33371e+07,-14122.5,-47175.2,0,0,0,0,0,0,1.42859e+07,15617.5,172255,45371.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.06642e+07,31489.9,225165,92946.9,0,3.06642e+07,15177.8,51129.3,0,0,0,0,0,0,0,0,0,0,0,0,4.71584e+07,47741.1,278203,148648,0,7.91004e+07,-817.825,2808.59,0,0,0,0,0,0,3.62605e+07,36667.6,243713,116829,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11967e+07,31489.9,225165,92946.9,0,3.11967e+07,-2759.49,15327.4,0,0,0,0,0,0,0,0,0,0,0,0,2.95127e+07,29803.9,242401,112846,0,6.20092e+07,5521.38,-7389.13,0,0,0,0,0,0,3.4523e+07,34820.4,212251,85367.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.08806e+07,31489.9,225165,92946.9,0,3.08806e+07,6380.16,10876,0,0,0,0,0,0,0,0,0,0,0,0,3.79117e+07,38943.5,237950,108395,0,7.0079e+07,14175.5,46701.3,0,0,0,0,0,0,4.72175e+07,50394,283163,156279,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.07282e+07,31489.9,225165,92946.9,0,3.07282e+07,5083.58,-13516.2,0,0,0,0,0,0,0,0,0,0,0,0,3.6914e+07,37646.9,213558,84002.6,0,6.89225e+07,-6126.76,-11187,0,0,0,0,0,0,3.14835e+07,32140.5,229490,102606,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.07282e+07,31489.9,225165,92946.9,0,3.07282e+07,-6402.37,-71105.6,0,0,0,0,0,0,0,0,0,0,0,0,2.58089e+07,26161,155968,26413.1,0,5.78175e+07,5780.46,31336.9,0,0,0,0,0,0,4.1738e+07,43003.4,267542,140658,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09251e+07,31489.9,225165,92946.9,0,3.09251e+07,-1797.68,-26004.7,0,0,0,0,0,0,0,0,0,0,0,0,3.03074e+07,30765.7,201069,71514.1,0,6.25211e+07,-10561.8,-24901.4,0,0,0,0,0,0,2.39607e+07,24414,207289,80405,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.10134e+07,31489.9,225165,92946.9,0,3.10134e+07,-11758.1,-20441.2,0,0,0,0,0,0,0,0,0,0,0,0,2.02316e+07,20805.3,206632,77077.5,0,5.25373e+07,-10188.2,-30508.8,0,0,0,0,0,0,1.68814e+07,17160.5,183162,56277.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11162e+07,31489.9,225165,92946.9,0,3.11162e+07,8546.72,-1440.32,0,0,0,0,0,0,0,0,0,0,0,0,4.07335e+07,41110.1,225633,96078.4,0,7.31462e+07,10690.2,-11811.1,0,0,0,0,0,0,4.94263e+07,49912.6,231609,104725,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.07839e+07,31489.9,225165,92946.9,0,3.07839e+07,3945.29,-203.299,0,0,0,0,0,0,0,0,0,0,0,0,3.60889e+07,36508.6,226870,97315.4,0,6.81554e+07,3005.66,-5525.83,0,0,0,0,0,0,3.83563e+07,38866.1,229690,102806,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.00228e+07,31489.9,225165,92946.9,0,3.00228e+07,9094.86,29267,0,0,0,0,0,0,0,0,0,0,0,0,4.0552e+07,41658.2,256341,126786,0,7.18257e+07,-4810.93,-20069.3,0,0,0,0,0,0,3.01326e+07,31075.5,216188,89304.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.10134e+07,31489.9,225165,92946.9,0,3.10134e+07,-13828.4,-38694.3,0,0,0,0,0,0,0,0,0,0,0,0,1.84582e+07,18735,188379,58824.4,0,5.07638e+07,-11282.6,-57955,0,0,0,0,0,0,1.65387e+07,16831.3,156986,30102.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.10134e+07,31489.9,225165,92946.9,0,3.10134e+07,12467.1,19431.9,0,0,0,0,0,0,0,0,0,0,0,0,4.46702e+07,45030.4,246506,116951,0,7.69758e+07,-9475.49,-73917.7,0,0,0,0,0,0,2.97912e+07,29956.2,170708,43823.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.1061e+07,31489.9,225165,92946.9,0,3.1061e+07,3934.83,-5229.88,0,0,0,0,0,0,0,0,0,0,0,0,3.63253e+07,36498.2,221844,92288.9,0,6.86805e+07,-4616.44,26246.5,0,0,0,0,0,0,3.1619e+07,31845.4,262771,135887,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.06642e+07,31489.9,225165,92946.9,0,3.06642e+07,-3375.03,18797.2,0,0,0,0,0,0,0,0,0,0,0,0,2.76379e+07,29188.3,245871,116316,0,5.95798e+07,-2181.77,848.139,0,0,0,0,0,0,2.5208e+07,26267.4,218519,91635.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11162e+07,31489.9,225165,92946.9,0,3.11162e+07,73.3269,1676.45,0,0,0,0,0,0,0,0,0,0,0,0,3.23807e+07,32636.7,228750,99195.2,0,6.47935e+07,-1124.55,4874.89,0,0,0,0,0,0,3.15895e+07,31805.2,232966,106082,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09689e+07,31489.9,225165,92946.9,0,3.09689e+07,-3642.92,-22628.4,0,0,0,0,0,0,0,0,0,0,0,0,2.86572e+07,28920.4,204445,74890.3,0,6.09165e+07,16327.1,48612.7,0,0,0,0,0,0,4.93562e+07,49605.9,276753,149869,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.06642e+07,31489.9,225165,92946.9,0,3.06642e+07,10546,6321.61,0,0,0,0,0,0,0,0,0,0,0,0,4.22033e+07,43109.3,233395,103840,0,7.41452e+07,-8814.13,-40496.1,0,0,0,0,0,0,2.99691e+07,30864.1,204299,77415,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09689e+07,31489.9,225165,92946.9,0,3.09689e+07,-443.822,-57194.1,0,0,0,0,0,0,0,0,0,0,0,0,3.1582e+07,32119.5,169880,40324.6,0,6.38413e+07,1006.72,14365.9,0,0,0,0,0,0,3.80579e+07,40704.7,257102,130218,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.07839e+07,31489.9,225165,92946.9,0,3.07839e+07,4541.61,12684.9,0,0,0,0,0,0,0,0,0,0,0,0,3.53511e+07,37105,239759,110204,0,6.74177e+07,-1629.17,10141.6,0,0,0,0,0,0,2.96794e+07,33086.8,242979,116095,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09689e+07,31489.9,225165,92946.9,0,3.09689e+07,9581.15,40053.2,0,0,0,0,0,0,0,0,0,0,0,0,4.13261e+07,42144.5,267127,137572,0,7.35853e+07,7758.21,12413.6,0,0,0,0,0,0,4.19584e+07,42678,246658,119774,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09689e+07,31489.9,225165,92946.9,0,3.09689e+07,1501.14,23573.2,0,0,0,0,0,0,0,0,0,0,0,0,3.33441e+07,34064.5,250647,121092,0,6.56033e+07,-2487.37,22342.7,0,0,0,0,0,0,2.84019e+07,28787.4,247102,120218,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.00228e+07,31489.9,225165,92946.9,0,3.00228e+07,11470.1,42156.6,0,0,0,0,0,0,0,0,0,0,0,0,4.09722e+07,44033.5,269230,139675,0,7.22459e+07,-4697.18,-5634.58,0,0,0,0,0,0,2.91644e+07,31286.5,231289,104405,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.10134e+07,31489.9,225165,92946.9,0,3.10134e+07,-11372,-40009,0,0,0,0,0,0,0,0,0,0,0,0,2.06896e+07,21191.4,187065,57509.8,0,5.29952e+07,9175.74,-70.545,0,0,0,0,0,0,3.83311e+07,39163.6,219423,92539,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09689e+07,31489.9,225165,92946.9,0,3.09689e+07,-13239.7,-43146.8,0,0,0,0,0,0,0,0,0,0,0,0,1.87541e+07,19323.6,183927,54372,0,5.10133e+07,-10027.6,-30149.9,0,0,0,0,0,0,1.86516e+07,19036.4,186974,60089.8,0,0,
