z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-406206,27330.2,211460,79241.8,0,-406206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-706237,41965.6,267892,138337,0,-1.12937e+06,0,0,0,0,0,0,0,0,-980847,44178.4,244157,117273,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-812727,34192.3,239213,106995,0,-812727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-621399,30598.4,219585,90029.9,0,-1.46799e+06,0,0,0,0,0,0,0,0,-479691,29097.3,223617,96733.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-904017,20458.2,233989,101771,0,-904017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-712458,29537.1,225284,95729.3,0,-1.65414e+06,0,0,0,0,0,0,0,0,-431858,23069.7,213971,87087.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-659263,24582.9,200092,67874.4,0,-659263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-550351,38192.9,257140,127585,0,-1.23708e+06,0,0,0,0,0,0,0,0,-322531,25263.9,187865,60980.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-397872,31534,231189,98970.5,0,-397872,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-278609,35302.5,237534,107979,0,-693059,0,0,0,0,0,0,0,0,-227022,24032.1,212676,85792.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-947372,38418.7,220020,87801.9,0,-947372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.1153e+06,40325.7,271694,142139,0,-4.10215e+06,0,0,0,0,0,0,0,0,-2.51687e+06,35982.2,250711,123827,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-664293,38755,250731,118513,0,-664293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-290447,45203.8,223839,94284.2,0,-982419,0,0,0,0,0,0,0,0,-441959,40747,277757,150873,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-687755,26193.5,229686,97467.8,0,-687755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.00644e+06,52275.5,264785,135230,0,-1.72285e+06,0,0,0,0,0,0,0,0,-559779,34882.6,239768,112884,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-833064,42280.6,226001,93783.5,0,-833064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-613550,35009.9,232685,103130,0,-1.48132e+06,0,0,0,0,0,0,0,0,-591490,28174.2,207996,81111.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-653736,33969.5,205813,73595.4,0,-653736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-818756,33834.7,239567,110012,0,-1.49973e+06,0,0,0,0,0,0,0,0,-243548,24658.1,202819,75934.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-842784,34248.6,251656,119438,0,-842784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-848359,22884.4,226784,97229.4,0,-1.72626e+06,0,0,0,0,0,0,0,0,-981290,24023.9,185799,58914.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.36318e+06,31850.9,258557,126339,0,-1.36318e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-863325,26754.5,220247,90691.7,0,-2.2833e+06,0,0,0,0,0,0,0,0,-682199,34790.8,226780,99895.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.17523e+06,39446.3,253214,120996,0,-1.17523e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-729978,40516.3,235316,105761,0,-1.95417e+06,0,0,0,0,0,0,0,0,-563452,41499.7,220680,93795.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-324755,26597.7,235169,102951,0,-324755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-295376,35792.9,244032,114477,0,-633663,0,0,0,0,0,0,0,0,-184117,49732.6,286454,159570,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-186147,23433.2,158599,26380.6,0,-186147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-175776,29752.3,186615,57060.1,0,-369680,0,0,0,0,0,0,0,0,-117612,26914.3,184730,57846.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.04001e+06,38598.1,249298,117080,0,-1.04001e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.27913e+06,36647.5,251662,122107,0,-2.36246e+06,0,0,0,0,0,0,0,0,-695846,31019.2,242719,115835,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-615392,21028.7,195576,63357.7,0,-615392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34231e+06,37219.7,230256,100701,0,-1.98334e+06,0,0,0,0,0,0,0,0,-1.04213e+06,36931.8,234113,107229,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-925082,43704,263320,131102,0,-925082,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-328246,37635.5,256771,127216,0,-1.29187e+06,0,0,0,0,0,0,0,0,-312075,22998.3,189816,62932.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-560764,47894.3,253739,121521,0,-560764,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-907393,45016.6,271158,141603,0,-1.49152e+06,0,0,0,0,0,0,0,0,-1.28652e+06,50657.4,248729,121845,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-334076,35797.8,191819,59601,0,-334076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.35311e+06,47194,271699,142144,0,-1.70111e+06,0,0,0,0,0,0,0,0,-718004,24987.7,194886,68001.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-856906,31910.6,211636,79417.6,0,-856906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.34305e+06,41694.8,230311,100756,0,-2.23566e+06,0,0,0,0,0,0,0,0,-2.12532e+06,28578.9,254484,127600,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-829189,40099.9,249730,117512,0,-829189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-448724,34503.5,233580,104025,0,-1.31246e+06,0,0,0,0,0,0,0,0,-217025,22299.7,219184,92300.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.57589e+06,43653.3,259457,127239,0,-1.57589e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.22365e+06,38418.1,246367,116812,0,-2.86521e+06,0,0,0,0,0,0,0,0,-2.13079e+06,40553.5,274829,147945,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-298477,19465.1,226838,94620.2,0,-298477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-263307,31653.4,231603,102048,0,-574220,0,0,0,0,0,0,0,0,-469878,33944.7,221638,94754.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-338936,35308.3,239664,107446,0,-338936,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-386346,25801.5,228115,98559.9,0,-739404,0,0,0,0,0,0,0,0,-618841,30716.7,229900,103016,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-556164,30126.5,217066,84847.7,0,-556164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.05669e+06,51686.5,294456,164901,0,-1.63603e+06,0,0,0,0,0,0,0,0,-247561,28756.8,232171,105287,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-527219,35735.3,235067,102849,0,-527219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.99168e+06,35251.2,254705,125150,0,-2.54087e+06,0,0,0,0,0,0,0,0,-872133,18320,179245,52361.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.02527e+06,37448.5,214999,82781,0,-1.02527e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-686768,37656,244993,115438,0,-1.75476e+06,0,0,0,0,0,0,0,0,-373881,24764.9,193206,66322.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.09491e+06,40702.4,265832,133614,0,-1.09491e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-580058,45570.5,252811,123256,0,-1.72059e+06,0,0,0,0,0,0,0,0,-359798,31665.3,239064,112180,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-903834,33511.8,233969,101751,0,-903834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49569e+06,40351.5,241762,112207,0,-2.43718e+06,0,0,0,0,0,0,0,0,-1.16265e+06,42137.8,236998,110114,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.60427e+06,29405,233857,101639,0,-1.60427e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.73996e+06,44398.4,300194,170639,0,-5.41107e+06,0,0,0,0,0,0,0,0,-1.09976e+06,37638.7,222014,95129.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-964375,45036.5,279342,147124,0,-964375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-436372,32979.8,197653,68097.9,0,-1.44093e+06,0,0,0,0,0,0,0,0,-462972,37216,249879,122995,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-511363,40337.1,223448,91229.8,0,-511363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-715982,32168.4,241287,111732,0,-1.24865e+06,0,0,0,0,0,0,0,0,-469298,41040.3,227940,101056,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-226716,26176,204089,71871.2,0,-226716,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-234766,25025.6,205764,76209.3,0,-470929,0,0,0,0,0,0,0,0,-314252,43785.3,281446,154562,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.02207e+06,35122.8,237445,105227,0,-1.02207e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-950164,33127.7,220259,90704.3,0,-2.01482e+06,0,0,0,0,0,0,0,0,-880229,38867.1,232126,105242,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-540698,20820.3,208845,76627.1,0,-540698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-255536,23876.6,175870,46314.8,0,-818763,0,0,0,0,0,0,0,0,-349127,37717,246067,119183,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-843653,28501.5,235170,102952,0,-843653,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-726034,33727.2,242856,113301,0,-1.60484e+06,0,0,0,0,0,0,0,0,-395063,29136.1,224455,97571.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-700247,27889.4,224405,92186.9,0,-700247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-401732,20859.8,187759,58203.9,0,-1.13116e+06,0,0,0,0,0,0,0,0,-1.34473e+06,40294.6,231960,105076,0,0,
