z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78745e+07,28702.8,217490,85271.9,0,2.78745e+07,-494.461,4590.4,0,0,0,0,0,0,0,0,0,0,0,0,2.77246e+07,29290.3,227942,98387.4,0,5.67605e+07,79.152,13618.5,0,0,0,0,0,0,2.52258e+07,26141.9,206134,79250.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.68844e+07,37743.6,263283,131065,0,3.68844e+07,-701.169,-4977.1,0,0,0,0,0,0,0,0,0,0,0,0,3.83712e+07,39017.6,246715,117160,0,7.67924e+07,2749.04,4138.57,0,0,0,0,0,0,3.82326e+07,38528.9,238865,111981,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.69822e+07,28080.2,233979,101761,0,2.69822e+07,4257.66,2408.68,0,0,0,0,0,0,0,0,0,0,0,0,3.40159e+07,35000.1,232947,103392,0,6.21224e+07,-5994.24,-14395.8,0,0,0,0,0,0,2.57964e+07,26167.4,225456,98572.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.21761e+07,22633,187978,55759.8,0,2.21761e+07,3520.01,2826.44,0,0,0,0,0,0,0,0,0,0,0,0,3.0716e+07,31449.4,228096,98540.7,0,5.38161e+07,-3942.36,-15915.5,0,0,0,0,0,0,2.73173e+07,28003.1,208870,81985.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.16997e+07,42343.3,247037,114819,0,4.16997e+07,4405.62,-1044.62,0,0,0,0,0,0,0,0,0,0,0,0,3.26402e+07,33291.5,210529,80974.2,0,7.60774e+07,2696.84,-5882.04,0,0,0,0,0,0,3.38544e+07,34287.5,220146,93262.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.6202e+07,37644.3,248671,116453,0,3.6202e+07,1002.22,11850.6,0,0,0,0,0,0,0,0,0,0,0,0,2.61447e+07,27579.6,237205,107650,0,6.38551e+07,-6091.16,-6003.72,0,0,0,0,0,0,1.78312e+07,18583.8,191981,65097.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.60541e+07,36299.3,209945,77726.6,0,3.60541e+07,-16039,-51367.4,0,0,0,0,0,0,0,0,0,0,0,0,1.62501e+07,16352.1,183985,54430.2,0,5.38065e+07,6434.71,6745.28,0,0,0,0,0,0,2.94362e+07,29616.5,203572,76688.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.90157e+07,29738.9,220470,88252,0,2.90157e+07,-846.689,-13314.4,0,0,0,0,0,0,0,0,0,0,0,0,2.90144e+07,29542.4,206054,76498.7,0,5.92391e+07,12106.5,29904.6,0,0,0,0,0,0,4.57319e+07,46451.3,239240,112356,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.69925e+07,37458.4,233177,100959,0,3.69925e+07,5942.02,16726.7,0,0,0,0,0,0,0,0,0,0,0,0,4.20874e+07,42633.7,256183,126628,0,8.06213e+07,3036.88,2179.89,0,0,0,0,0,0,4.29686e+07,43590,291946,165062,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.35145e+07,34204.7,230043,97824.5,0,3.35145e+07,-1391.6,10.1769,0,0,0,0,0,0,0,0,0,0,0,0,2.28722e+07,23519.3,210000,80444.7,0,5.77831e+07,2844.6,6981.02,0,0,0,0,0,0,3.21997e+07,33528.6,241840,114956,0,0,
