z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-628893,34835.2,221344,89126,0,-628893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-239806,23706.5,176528,46973.1,0,-894902,0,0,0,0,0,0,0,0,-457358,34448.5,219114,92229.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-486871,34724,227196,94977.8,0,-486871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-280033,34060.8,220459,90903.6,0,-787190,0,0,0,0,0,0,0,0,-400835,24985.6,207715,80831.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-695449,23380.5,217085,84866.8,0,-695449,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-376251,17901.8,165473,35917.6,0,-1.10068e+06,0,0,0,0,0,0,0,0,-812676,29010.7,210504,83619.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-663280,21061.4,219538,87320.2,0,-663280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-330671,23001.1,213912,84356.9,0,-1.02159e+06,0,0,0,0,0,0,0,0,-533639,31171.8,215717,88832.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-622976,30217,227259,95040.6,0,-622976,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-335670,35462.1,225061,95506.3,0,-984603,0,0,0,0,0,0,0,0,-285063,28350.7,234610,107726,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-234264,29318.7,206482,74264.1,0,-234264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-273069,25540.6,235387,105832,0,-517094,0,0,0,0,0,0,0,0,-442384,42407.8,277903,151019,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-738966,30487.6,191883,59664.7,0,-738966,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.31926e+06,42001.6,280754,151199,0,-2.08902e+06,0,0,0,0,0,0,0,0,-1.18099e+06,31229.5,229040,102156,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-916533,21891,217162,84943.9,0,-916533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-527908,21269.3,206040,76484.6,0,-1.48263e+06,0,0,0,0,0,0,0,0,-659011,40616.1,259778,132894,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-681021,37385.7,265070,132852,0,-681021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-189204,37145.6,202884,73328.9,0,-898602,0,0,0,0,0,0,0,0,-294142,45944.6,271555,144671,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-414351,17172.6,195431,63212.9,0,-414351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-411756,37822.8,198766,69211.2,0,-843371,0,0,0,0,0,0,0,0,-397419,29470.9,232464,105580,0,0,
