z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.05871e+07,31489.9,225165,92946.9,0,3.05871e+07,-5914.15,-29789.8,0,0,0,0,0,0,0,0,0,0,0,0,2.59397e+07,26649.2,197284,67728.9,0,5.78013e+07,2582.47,-11307.3,0,0,0,0,0,0,3.25616e+07,35142.9,214834,87950.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.0487e+07,31489.9,225165,92946.9,0,3.0487e+07,909.638,-9519.05,0,0,0,0,0,0,0,0,0,0,0,0,3.29495e+07,33473,217555,87999.7,0,6.47067e+07,2622.91,-5482.17,0,0,0,0,0,0,3.63349e+07,37492.3,226994,100110,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09251e+07,31489.9,225165,92946.9,0,3.09251e+07,9202.85,34131.8,0,0,0,0,0,0,0,0,0,0,0,0,4.10941e+07,41766.2,261206,131651,0,7.33078e+07,9534.4,37152,0,0,0,0,0,0,4.43183e+07,44907.1,272311,145427,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.03387e+07,31489.9,225165,92946.9,0,3.03387e+07,1872.08,-32701.8,0,0,0,0,0,0,0,0,0,0,0,0,3.30148e+07,34435.4,194372,64816.9,0,6.46176e+07,1110.85,14628.7,0,0,0,0,0,0,3.57032e+07,39459.5,254868,127984,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.10134e+07,31489.9,225165,92946.9,0,3.10134e+07,5343.12,8084.77,0,0,0,0,0,0,0,0,0,0,0,0,3.74509e+07,37906.5,235159,105604,0,6.97566e+07,-2848.44,4081.66,0,0,0,0,0,0,3.21056e+07,32984.1,239504,112620,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11162e+07,31489.9,225165,92946.9,0,3.11162e+07,11584.1,23490.7,0,0,0,0,0,0,0,0,0,0,0,0,4.34275e+07,44147.5,250564,121009,0,7.58403e+07,-19430.1,-30755.8,0,0,0,0,0,0,1.85519e+07,18893.7,211287,84403.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09689e+07,31489.9,225165,92946.9,0,3.09689e+07,5326.98,3575.17,0,0,0,0,0,0,0,0,0,0,0,0,3.72425e+07,37890.3,230649,101094,0,6.95018e+07,-9254.7,-13949.8,0,0,0,0,0,0,2.66063e+07,27112.7,222635,95750.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.05871e+07,31489.9,225165,92946.9,0,3.05871e+07,12803.7,40926.2,0,0,0,0,0,0,0,0,0,0,0,0,4.35216e+07,45367.1,268000,138445,0,7.53832e+07,6887.6,-9008.33,0,0,0,0,0,0,4.22251e+07,43951.3,230523,103639,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11162e+07,31489.9,225165,92946.9,0,3.11162e+07,-1614,8480.55,0,0,0,0,0,0,0,0,0,0,0,0,3.06228e+07,30949.4,235554,105999,0,6.30356e+07,496.497,10836,0,0,0,0,0,0,3.10202e+07,31424.4,234244,107360,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.10134e+07,31489.9,225165,92946.9,0,3.10134e+07,-2768.35,13355.3,0,0,0,0,0,0,0,0,0,0,0,0,2.90297e+07,29795,240429,110874,0,6.13354e+07,8743.01,-7356.05,0,0,0,0,0,0,3.76046e+07,38274.7,212789,85905.4,0,0,
