z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-3.03231e+06,33735.4,246974,390259,390259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,398085,31209.1,236581,-44815,241080,398085,-2220.12,-14429.9,0,0,0,0,0,0,0,0,0,0,0,0,517251,33375.8,218174,-54336.9,98124.9,931923,3064.12,-30389.2,0,0,0,0,0,0,361840,36207.5,178621,-46387.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,148775,30425.5,225255,-37007.7,260214,148775,2208.89,1759.7,0,0,0,0,0,0,0,0,0,0,0,0,115915,30801.3,216069,-61870.1,111830,270889,-5749.43,-15546.3,0,0,0,0,0,0,33525.3,26777.7,224456,-14258.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,134416,40848.5,231334,-22122.6,269020,134416,3472.31,-22936.8,0,0,0,0,0,0,0,0,0,0,0,0,126786,39399.6,224355,-19785.5,154435,266803,8252.85,16705.9,0,0,0,0,0,0,-33122.4,51657.9,290118,8799.44,0,0,
,,,,,,,,,,,,,,,,,,,,,,,259750,36039.1,247166,-46340.8,228970,259750,-6468.51,-29582.7,0,0,0,0,0,0,0,0,0,0,0,0,498440,26743.5,191322,-57125.6,110078,769013,-3401.84,-14191.1,0,0,0,0,0,0,34548.8,35562,227783,-9178.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-96852.6,29401,221258,12750.6,313969,-96852.6,14727.8,43202.9,0,0,0,0,0,0,0,0,0,0,0,0,325730,46971.1,267309,-43766.6,132448,224842,-80.3221,-6470.9,0,0,0,0,0,0,-5629.49,42397.6,261087,1755.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,103353,37646.6,237264,-17010,268203,103353,1813.94,-6276.41,0,0,0,0,0,0,0,0,0,0,0,0,80345.2,29793.6,217550,-20496.7,159711,188004,7842.68,34600.6,0,0,0,0,0,0,80406.2,34351.7,238336,-48259.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,321538,31200.2,229417,-52919.4,240141,321538,-9381.39,-1138.6,0,0,0,0,0,0,0,0,0,0,0,0,116237,29866.6,227584,-21067.4,121044,451172,-5925.34,-1291.55,0,0,0,0,0,0,48447.1,28747.5,218850,-29078,0,0,
,,,,,,,,,,,,,,,,,,,,,,,103242,32697.2,234531,-32728.6,255217,103242,325.334,-188.207,0,0,0,0,0,0,0,0,0,0,0,0,86255,29919.6,212088,-46039,126644,193798,2686.73,-272.849,0,0,0,0,0,0,37376.5,28642,221135,-32393.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,253837,33435.7,234476,-38725.2,249275,253837,-580.956,-13962.1,0,0,0,0,0,0,0,0,0,0,0,0,80320.6,36501.1,215307,-22853.2,140670,344735,-347.15,3135.45,0,0,0,0,0,0,44820.8,43230.9,248492,-19062.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,535553,32967.3,236033,-33930.1,252514,535553,-820.265,-6589.27,0,0,0,0,0,0,0,0,0,0,0,0,-411480,37728.8,250501,39280.6,170848,146388,9660.93,42844.9,0,0,0,0,0,0,899419,43232.7,267088,-30644.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,370500,31828.6,229891,-48776,243810,370500,-720.375,-19560.8,0,0,0,0,0,0,0,0,0,0,0,0,583909,25911.3,188364,-84598.3,100403,969846,-9090.73,-23404.6,0,0,0,0,0,0,123128,31328,215625,-11661.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,308628,30467.4,235020,-43738.4,243718,308628,-3997.37,-4147.63,0,0,0,0,0,0,0,0,0,0,0,0,149989,32844.9,238725,-23406.5,111142,471477,-3528.59,-11574.6,0,0,0,0,0,0,34408.1,24230.7,217374,-20651.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,323768,33764.9,222909,-53286.5,246281,323768,-1027.55,-24328.3,0,0,0,0,0,0,0,0,0,0,0,0,107605,38212.3,227083,-22864.9,125888,444864,862.871,-10964.5,0,0,0,0,0,0,-7674.61,43608.2,253625,853.048,0,0,
,,,,,,,,,,,,,,,,,,,,,,,279524,36354.7,236090,-17709.3,268678,279524,1857.8,-2128.64,0,0,0,0,0,0,0,0,0,0,0,0,300768,35833,226389,-18899.1,152944,591939,5649.63,19841.5,0,0,0,0,0,0,445919,42541,248867,-30960.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,415228,32174.3,219820,-42749.8,259907,415228,-2458.04,-1359.9,0,0,0,0,0,0,0,0,0,0,0,0,358673,30219.5,216819,-51965.5,120677,791202,-1786.44,-2999.57,0,0,0,0,0,0,45958.4,34576.1,242066,-5494.91,0,0,
,,,,,,,,,,,,,,,,,,,,,,,214534,28210.6,231799,-68009.4,222668,214534,-4514.11,-19671.3,0,0,0,0,0,0,0,0,0,0,0,0,-93867.9,34219.4,229676,30471.2,153018,129605,10661.1,23443.6,0,0,0,0,0,0,76802.7,45576.5,242127,-37774.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,926564,25841.9,209175,-74811.5,238490,926564,-2821.49,-14939.9,0,0,0,0,0,0,0,0,0,0,0,0,364312,30273.3,206026,-56852.6,105167,1.32948e+06,-6392.19,-21772.7,0,0,0,0,0,0,73382.4,31018.5,219034,-13017.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,677105,29962.6,201439,-76226.2,244811,677105,-4703.45,-18596.3,0,0,0,0,0,0,0,0,0,0,0,0,104622,33141,230754,-11990.6,131622,809940,3850.65,6802.5,0,0,0,0,0,0,215327,39484.4,234571,-23934.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,600336,41439.9,270076,-38034.4,214366,600336,-12143.7,-41766.1,0,0,0,0,0,0,0,0,0,0,0,0,529520,18073.3,186933,-33273,123715,1.15487e+06,1231.75,10608.4,0,0,0,0,0,0,178564,30974.8,224452,-26147.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-54607.9,37549.8,236638,6147.57,291986,-54607.9,3248.09,20883.2,0,0,0,0,0,0,0,0,0,0,0,0,441894,40385.3,226176,-68959.6,126405,385011,1726.8,-12530.7,0,0,0,0,0,0,112901,45158.6,228977,-24311.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.05474e+06,29538.6,213232,-66823.6,242421,1.05474e+06,-3565.36,-14914.3,0,0,0,0,0,0,0,0,0,0,0,0,240636,31509.9,202377,-37552.3,132047,1.33933e+06,951.698,2028.05,0,0,0,0,0,0,62309.4,36714.3,237661,-21270.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,359841,30278,230660,-47372.7,244444,359841,-2311.23,-9408.32,0,0,0,0,0,0,0,0,0,0,0,0,1.34133e+06,27398.7,207872,-84284.1,81842.9,1.71617e+06,-4061.77,-41705.1,0,0,0,0,0,0,646099,20032.2,163867,-44859.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,99096.1,38829,254972,-9184.18,258320,99096.1,1513.08,-15808.3,0,0,0,0,0,0,0,0,0,0,0,0,369724,38696.6,208711,-42373.6,136791,472949,6871.25,-3354.32,0,0,0,0,0,0,268469,42838.5,226860,-36815.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,627431,33676.8,209149,-88918.9,224409,627431,-9391.05,-42648.2,0,0,0,0,0,0,0,0,0,0,0,0,81815.7,32083.9,208752,-13752.3,131460,735390,-3200.47,1256.83,0,0,0,0,0,0,194565,24988.1,221557,-36786.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,38187.3,28960.4,221236,-6284.95,294955,38187.3,11798.2,27074.3,0,0,0,0,0,0,0,0,0,0,0,0,201106,45191.2,249231,-31383.5,143896,240884,5345.15,2814.59,0,0,0,0,0,0,193627,49971.5,245958,-24822.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,220205,29005.6,205794,-69807.3,246875,220205,-4295.46,-4133.94,0,0,0,0,0,0,0,0,0,0,0,0,103330,23963.8,220525,-55153,100752,332711,-7712.6,-13743.2,0,0,0,0,0,0,-5852.99,23235.5,231149,3512.97,0,0,
,,,,,,,,,,,,,,,,,,,,,,,304333,28686,211026,-43129.8,268321,304333,969.312,10576,0,0,0,0,0,0,0,0,0,0,0,0,541242,24900.1,206101,-84463.3,107312,858255,-805.126,-10409.1,0,0,0,0,0,0,94829,26239.4,209003,-25192.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,538682,31417.8,231066,-49924.8,241485,538682,-3080.26,-16313,0,0,0,0,0,0,0,0,0,0,0,0,-1476.07,36344.3,218998,183.516,152226,559651,2953.54,18844.2,0,0,0,0,0,0,102080,41367.8,259810,-19300.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,646358,24702.5,219506,-59904.1,243067,646358,643.211,-6730.99,0,0,0,0,0,0,0,0,0,0,0,0,25054.8,37299.1,248785,-3114.99,120722,698344,-3498.18,-6436.56,0,0,0,0,0,0,116426,31933.4,229422,-18183.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-106064,41026.1,253068,17456.3,286865,-106064,2888.92,13920.6,0,0,0,0,0,0,0,0,0,0,0,0,241720,39529.6,232723,-51362.6,132334,131236,-2498.76,-5285.47,0,0,0,0,0,0,44124.5,35928.4,251391,-7827.17,0,0,
,,,,,,,,,,,,,,,,,,,,,,,983400,28729.7,219098,-62303.5,241075,983400,-3015.96,-12123,0,0,0,0,0,0,0,0,0,0,0,0,3518.43,27605.8,218682,-221.085,151727,1.02789e+06,9487.81,30676.1,0,0,0,0,0,0,217814,47309.5,265534,-13077.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,298176,32035.6,230202,-74171.1,218103,298176,-16051.5,-15649,0,0,0,0,0,0,0,0,0,0,0,0,436165,14856.4,211994,-45818.8,89844.9,746765,-1151.06,-8593.96,0,0,0,0,0,0,160483,29133.9,202847,-13881.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,120339,38782.4,230715,-15842.6,275919,120339,1080.88,-2879.1,0,0,0,0,0,0,0,0,0,0,0,0,198732,37092.4,234513,-36019.3,134942,324085,2726.6,2063.49,0,0,0,0,0,0,89211.9,47188.7,246001,-15825.2,0,0,
