z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-752652,33735.4,246974,96866.5,96866.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.151e+07,31489.9,225165,-3919.6,0,3.151e+07,-5794.08,-23001.2,0,0,0,0,0,0,0,0,0,0,0,0,2.56281e+07,26769.3,204073,165336,90818.8,5.8451e+07,-1966.95,-6853.54,0,0,0,0,0,0,2.98552e+07,29855.2,217703,-0.112439,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.12859e+07,31489.9,225165,31117.1,35036.7,3.12859e+07,10186.9,16942.7,0,0,0,0,0,0,0,0,0,0,0,0,4.15519e+07,42750.3,244016,187016,107592,7.41414e+07,371.406,-6903.06,0,0,0,0,0,0,3.85127e+07,38512.7,234475,-0.0583459,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.15022e+07,31489.9,225165,-3919.6,0,3.15022e+07,-562.183,-15969.2,0,0,0,0,0,0,0,0,0,0,0,0,3.17275e+07,32001.2,211105,146090,64540.2,6.45423e+07,-4203.12,-40235.3,0,0,0,0,0,0,3.04199e+07,30419.9,191423,-1.2604,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.1508e+07,31489.9,225165,-3919.6,0,3.1508e+07,8257.78,28009.3,0,0,0,0,0,0,0,0,0,0,0,0,4.00735e+07,40821.1,255083,212708,87180.1,7.28943e+07,-11086.1,-21092.1,0,0,0,0,0,0,2.43683e+07,24368.3,214064,0.265562,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.15247e+07,31489.9,225165,-3919.6,0,3.15247e+07,-9302.71,-36763.2,0,0,0,0,0,0,0,0,0,0,0,0,2.24257e+07,23260.6,190311,151333,90577,5.52639e+07,6641.93,-4718.76,0,0,0,0,0,0,3.76813e+07,37681.3,217461,0.0601371,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.15279e+07,31489.9,225165,-3919.6,0,3.15279e+07,-4159.52,-12229.4,0,0,0,0,0,0,0,0,0,0,0,0,2.70642e+07,28403.8,214844,153538,68248.3,5.99058e+07,-7880.78,-29380.9,0,0,0,0,0,0,2.3778e+07,23778,195132,-0.172556,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.12245e+07,31489.9,225165,47348.7,51268.3,3.12245e+07,12307.7,40145.5,0,0,0,0,0,0,0,0,0,0,0,0,4.40421e+07,44871.1,267219,192189,105793,7.65676e+07,-10143.1,-6211.6,0,0,0,0,0,0,2.66689e+07,26668.9,232677,0.167023,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.15247e+07,31489.9,225165,-3919.6,0,3.15247e+07,-16940.5,-18514.9,0,0,0,0,0,0,0,0,0,0,0,0,1.39003e+07,15622.9,208559,147440,68436.2,4.67385e+07,1897.87,-8970.01,0,0,0,0,0,0,2.53954e+07,25395.4,195320,-0.172556,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.12861e+07,31489.9,225165,31091.9,35011.5,3.12861e+07,-368.779,41455.4,0,0,0,0,0,0,0,0,0,0,0,0,3.16354e+07,32194.6,268529,181518,77555.3,6.42251e+07,212.033,-12401.1,0,0,0,0,0,0,2.80159e+07,28015.9,204440,0.265562,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.15279e+07,31489.9,225165,-3919.6,0,3.15279e+07,3857.1,10166.8,0,0,0,0,0,0,0,0,0,0,0,0,3.40485e+07,36420.5,237241,226427,118742,6.68901e+07,8326.94,13296.3,0,0,0,0,0,0,4.287e+07,42870,245626,-0.172556,0,0,
