z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3325e+07,34156.7,233714,101496,0,3.3325e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65021e+07,38097.5,281854,152299,0,7.12156e+07,0,0,0,0,0,0,0,0,1.66068e+07,17154.3,201967,75082.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.56827e+07,36155.2,243819,149806,38204.8,3.56827e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.01338e+07,30400.5,219999,52239,0,6.73032e+07,0,0,0,0,0,0,0,0,3.36306e+07,34369.6,242305,115421,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.22493e+07,32681.3,236385,136937,32770.6,3.22493e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.49451e+07,25000.1,191712,29386.6,0,5.85381e+07,0,0,0,0,0,0,0,0,2.69018e+07,27093.3,241783,114899,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.99418e+07,40549.2,224882,92664.2,0,3.99418e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.25878e+07,43802.7,268785,139230,0,8.41939e+07,0,0,0,0,0,0,0,0,3.67972e+07,37272.9,236446,109562,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.06196e+07,31489,246674,114456,0,3.06196e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.27489e+07,33233,189736,60180.9,0,6.46444e+07,0,0,0,0,0,0,0,0,3.76931e+07,38719.5,267642,140758,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.20312e+07,32811.6,234957,102739,0,3.20312e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67692e+07,37498.4,213130,83575.5,0,7.0135e+07,0,0,0,0,0,0,0,0,3.96689e+07,39999.3,239665,112781,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.54016e+07,36587.6,233349,231351,130220,3.54016e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.57455e+07,35707.6,234520,-9676.31,15578.1,7.26222e+07,0,0,0,0,0,0,0,0,3.26089e+07,33167.2,224222,81760.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.0412e+07,21496.8,219801,87582.5,0,2.0412e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.08449e+06,5224.69,151435,21879.6,0,2.6347e+07,0,0,0,0,0,0,0,0,2.53007e+07,25638.7,216686,89801.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.35022e+07,34365.2,237528,105310,0,3.35022e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.38295e+07,24169.5,191168,61613.1,0,5.87276e+07,0,0,0,0,0,0,0,0,2.21327e+07,22544.2,187138,60254.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.7508e+07,38402.5,258989,126771,0,3.7508e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.16384e+07,42227,244840,115285,0,8.07093e+07,0,0,0,0,0,0,0,0,2.42465e+07,24532.7,209009,82124.8,0,0,
