z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-3.56528e+06,33735.4,246974,458852,458852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297469,41390.9,225762,-45381.6,319927,297469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,523673,48136.3,256951,-32905.6,159625,833536,0,0,0,0,0,0,0,0,913688,38835.4,241556,-44952.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,740205,24037.6,209650,-97447.3,283973,740205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,342975,27810.1,181022,-87495.6,145011,1.11402e+06,0,0,0,0,0,0,0,0,-68401.9,49787.1,279498,7603.01,0,0,
,,,,,,,,,,,,,,,,,,,,,,,303333,36455.6,238639,-49923.3,302508,303333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356228,33439.4,239730,-55591,136742,672200,0,0,0,0,0,0,0,0,105847,32992,235506,-28119.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,279118,40209.7,240013,-39556.4,311501,279118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,602881,35804.8,222172,-74954.3,143930,893630,0,0,0,0,0,0,0,0,55858.4,39044.6,264605,-6208.77,0,0,
,,,,,,,,,,,,,,,,,,,,,,,889903,19186.5,181636,-126116,283318,889903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.6401e+06,9140.72,177305,-123042,112526,2.56709e+06,0,0,0,0,0,0,0,0,179277,17550.6,214826,-24584.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,916620,21489.4,195273,-111857,283941,916620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128094,27374.7,260580,-29695.3,123221,1.08291e+06,0,0,0,0,0,0,0,0,117750,20528.2,200026,-50078.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,315775,40755.7,245766,-32510.6,312793,315775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.25803e+06,30233.3,226216,-79049.8,137083,1.58696e+06,0,0,0,0,0,0,0,0,346232,24355.9,213267,-50699.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,963844,30547.2,232892,-61064.5,297114,963844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,747326,35118.7,226611,-56064.9,143994,1.75133e+06,0,0,0,0,0,0,0,0,518897,19750.7,189836,-81042.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,513784,31122.8,245478,-57840.1,287753,513784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,478170,27044,224230,-64249.2,128828,1.01336e+06,0,0,0,0,0,0,0,0,27695.9,31437.8,248355,-7357.82,0,0,
,,,,,,,,,,,,,,,,,,,,,,,328126,26151.3,229063,-81621.2,280386,328126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147503,32750.6,206448,-57166.8,146327,489301,0,0,0,0,0,0,0,0,61310.3,29887.2,243056,-30154.9,0,0,
