z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-5.81874e+07,33735.4,246974,0,0,0,0,0,7.62216e+06,143322,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.31649e+07,36838.8,263300,-7.49108e+06,0,-5.31649e+07,5537.89,-2475.76,1.34615e+07,0,1.33181e+07,0,0,0,0,0,0,0,0,0,6.77417e+07,38349.5,217898,-1.33731e+07,0,1.23616e+07,640.753,-14619.1,105010,105010,0,0,0,0,-119514,44814.2,261412,29517.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.35455e+07,22988.5,200926,-7.55345e+06,0,1.35455e+07,1216.46,4778.47,5.82257e+06,0,5.67925e+06,0,0,0,0,0,0,0,0,0,1.73065e+07,33154.8,233721,-5.71841e+06,0,3.14164e+07,-3575.02,-13472.4,102105,102105,0,0,0,0,-38181.2,41289.1,243417,14428.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.41984e+07,31138.2,232106,-7.52227e+06,0,3.41984e+07,6612.82,151.146,143322,119000,0,119000,0,0,0,0,0,0,0,0,164361,33649.8,225150,-47726.9,0,3.57877e+07,1620.41,4287.49,128878,9877.88,0,0,0,0,81814.6,34063.7,235556,-20206.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.33279e+07,31476,233756,-7.52062e+06,0,2.33279e+07,7606.99,10011.9,143322,137180,0,137180,0,0,0,0,0,0,0,0,112489,43426.8,248974,-23902.6,0,2.44123e+07,-4018.98,-24815,137180,0,0,0,0,0,92445.4,32885.4,242770,-21293.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-5.16345e+07,33344.6,232624,-7.52175e+06,0,-5.16345e+07,2136.1,22569,1.3764e+07,0,1.36207e+07,0,0,0,0,0,0,0,0,0,1.00722e+08,27134.1,248839,-1.36447e+07,0,4.69365e+07,-2874.6,9372.64,113837,113837,0,0,0,0,-71207,28748.1,251148,10427,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.33403e+07,31202,233475,-7.5209e+06,0,2.33403e+07,8637.77,14743.4,143322,132074,0,132074,0,0,0,0,0,0,0,0,29042,39774.6,232813,-40063.9,0,2.43419e+07,-3391.12,20028.4,162099,30025.6,0,0,0,0,141532,34737.3,240668,-48315.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-6.28544e+07,32554.2,206057,-7.54832e+06,0,-6.28544e+07,-2340.24,-24412.3,1.40377e+07,0,1.38944e+07,0,0,0,0,0,0,0,0,0,2.2019e+08,33543.5,199399,-1.39678e+07,0,1.54716e+08,-5979.47,-3433.48,137589,137589,0,0,0,0,338126,39458.9,247838,-16635.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-6.42345e+07,32880.6,240323,-7.51405e+06,0,-6.42345e+07,2321.99,-12383.8,1.35799e+07,150524,1.34366e+07,150524,0,0,0,0,0,0,0,0,9.29832e+07,37684.4,237798,-1.34716e+07,0,2.60722e+07,-7174.09,-21690.2,150524,0,0,0,0,0,657800,23235.2,193079,-84329.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-6.36151e+07,32377.3,240044,-7.51433e+06,0,-6.36151e+07,-1155.46,-18291.2,1.39126e+07,121403,1.37693e+07,121403,0,0,0,0,0,0,0,0,1.61371e+08,30346.4,199758,-1.38424e+07,0,9.51053e+07,11668.4,24856,152715,31312.1,0,0,0,0,106648,46028.7,274352,-5246.96,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.47249e+07,32602.7,247480,-7.5069e+06,0,4.47249e+07,2765.17,7804.79,159117,141914,15795.3,141914,0,0,0,0,0,0,0,0,397179,37279.8,231128,-57544.4,0,4.69856e+07,-10216.8,-21652.7,141914,0,0,0,0,0,445380,21072.4,189793,-79005.3,0,0,
