z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.34244e+06,31489.9,225165,92946.9,0,-4.34244e+06,2097.04,5073.22,70897.7,120774,70897.7,120774,0,0,0,0,0,0,0,0,-812451,34660.4,232147,31694.3,0,-5.33583e+06,10311.4,36601.3,140377,19603,0,0,0,0,-3.35895,44242.6,267261,0.262466,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.68869e+06,31489.9,225165,92946.9,0,-1.68869e+06,6698.85,31448,286600,0,286600,0,0,0,0,0,0,0,0,0,195335,39262.2,258522,-157634,0,-1.56372e+06,10881.2,21369.3,126065,126065,0,0,0,0,-1.54522,44830.9,252950,0.355925,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.64578e+06,31489.9,225165,92946.9,0,-1.64578e+06,-560.821,-17490.1,114603,95780.3,114603,95780.3,0,0,0,0,0,0,0,0,135527,32002.5,209584,-34573.9,0,-1.57882e+06,226.128,-17781.5,95780.3,0,0,0,0,0,29214.1,35034.3,214280,-8383.99,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.83332e+06,31489.9,225165,92946.9,0,-1.83332e+06,-5058.36,-12322.9,156262,62509.8,156262,62509.8,0,0,0,0,0,0,0,0,219326,27505,214751,-71065.9,0,-1.69038e+06,7034.65,9620.54,105735,43225.2,0,0,0,0,-4.1147,38077.3,232619,0.355925,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.69671e+06,31489.9,225165,92946.9,0,-2.69671e+06,-1975.46,28322.7,242153,0,242153,0,0,0,0,0,0,0,0,0,535375,30587.9,255396,-116312,0,-2.2737e+06,-8019.27,-45127,45543.1,45543.1,0,0,0,0,-3.75806,20253.4,172427,0.355925,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.27544e+06,31489.9,225165,92946.9,0,-1.27544e+06,188.022,18185.6,127975,108612,127975,108612,0,0,0,0,0,0,0,0,31661.3,32751.4,245259,-12270.8,0,-1.29692e+06,-6027.76,-2640.35,108612,0,0,0,0,0,23665.3,24982.8,221292,-14203.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-3.06412e+06,31489.9,225165,92946.9,0,-3.06412e+06,-2643.97,-3281.6,162113,72732,162113,72732,0,0,0,0,0,0,0,0,142227,29919.4,223792,-67875.4,0,-3.04957e+06,8360.52,7416.84,105281,32548.6,0,0,0,0,2.11357,39993.8,232164,-0.5615,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.50249e+06,31489.9,225165,92946.9,0,-1.50249e+06,289.505,-1915.27,243470,0,243470,0,0,0,0,0,0,0,0,0,190067,32852.9,225158,-147867,0,-1.37502e+06,11158.4,15642.5,118167,118167,0,0,0,0,-2.47027,44674,245051,0.438198,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.07442e+06,31489.9,225165,92946.9,0,-1.07442e+06,-2654.84,16523.1,256139,0,256139,0,0,0,0,0,0,0,0,0,181525,29908.5,243597,-142097,0,-937661,-2885.26,1088.37,93709,93709,0,0,0,0,1.32025,26342,220592,-0.5615,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-5.19692e+06,31489.9,225165,92946.9,0,-5.19692e+06,780.015,24196.7,158946,88732.4,158946,88732.4,0,0,0,0,0,0,0,0,556624,33343.4,251270,-37230.8,0,-4.85683e+06,3180.18,4592.09,101068,12335.8,0,0,0,0,-2.99033,33876.1,227952,0.179533,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-4.02016e+06,31489.9,225165,92946.9,0,-4.02016e+06,12541.1,47645.7,287847,0,287847,0,0,0,0,0,0,0,0,0,-16053.7,45104.5,274719,-142682,0,-4.20372e+06,11247.6,38137.5,148563,148563,0,0,0,0,0.175985,47314.3,275447,-0.074846,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-3.33918e+06,31489.9,225165,92946.9,0,-3.33918e+06,-9593.63,-38814.5,90224.2,97787.1,90224.2,97787.1,0,0,0,0,0,0,0,0,-461560,22969.7,188259,-31520,0,-3.93987e+06,12892.4,64732.9,160072,62284.6,0,0,0,0,-2.58575,43977.1,286956,0.179533,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.48805e+06,31489.9,225165,92946.9,0,-2.48805e+06,-17539,-43873.9,72641.8,101655,72641.8,101655,0,0,0,0,0,0,0,0,253223,15024.3,183200,-18996.9,0,-2.3385e+06,-11118.2,-12218,101655,0,0,0,0,0,356088,15032.5,197737,-30801.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.93487e+06,31489.9,225165,92946.9,0,-1.93487e+06,18456.2,41438.5,295656,0,295656,0,0,0,0,0,0,0,0,0,91386.2,51019.5,268512,-156699,0,-1.9241e+06,-3682.88,16321.9,138512,138512,0,0,0,0,5.05163,37264.7,265395,-0.5615,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-3.536e+06,31489.9,225165,92946.9,0,-3.536e+06,2034.09,8750.91,243054,0,243054,0,0,0,0,0,0,0,0,0,-120827,34597.4,235825,-136784,0,-3.80416e+06,14823.6,59056.4,161754,161754,0,0,0,0,-1.13948,48265.4,288638,0.262466,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.53532e+06,31489.9,225165,92946.9,0,-1.53532e+06,6236.76,-3770.28,176380,76198,176380,76198,0,0,0,0,0,0,0,0,342702,38800.1,223303,-82631.6,0,-1.25659e+06,7212.37,-15762.2,97433.4,21235.3,0,0,0,0,-0.593009,45104.4,224318,0.355925,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.38078e+06,31489.9,225165,92946.9,0,-1.38078e+06,-7159.97,-6004.57,213009,0,213009,0,0,0,0,0,0,0,0,0,287465,25403.4,221069,-121494,0,-1.15085e+06,-9740.43,-29411.3,61438.5,61438.5,0,0,0,0,-2.04819,19069.9,188323,0.319889,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.2538e+06,31489.9,225165,92946.9,0,-2.2538e+06,3642.16,3029.55,126963,113424,126963,113424,0,0,0,0,0,0,0,0,169263,36205.5,230103,-26414.3,0,-2.17844e+06,-11344.2,-38381.7,113424,0,0,0,0,0,287136,23913.1,195462,-44845.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.6164e+06,31489.9,225165,92946.9,0,-2.6164e+06,8250.04,30428.1,181577,78794.3,181577,78794.3,0,0,0,0,0,0,0,0,-33499.4,40813.4,257502,-53630.2,0,-2.75892e+06,11504.2,32399.2,140020,61225.7,0,0,0,0,-1.14157,46660.3,266904,0.355925,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.58835e+06,31489.9,225165,92946.9,0,-1.58835e+06,4852.57,41182.3,160404,104246,160404,104246,0,0,0,0,0,0,0,0,40660.3,37415.9,268256,-21702.6,0,-1.61387e+06,-3974.43,-19228,104246,0,0,0,0,0,64848.1,27507.6,206624,-24506.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.29571e+06,31489.9,225165,92946.9,0,-2.29571e+06,-3845.36,-2790.78,136491,82915.1,136491,82915.1,0,0,0,0,0,0,0,0,98684.1,28718,224283,-41763.1,0,-2.29268e+06,5978.4,4191.57,99869.1,16954,0,0,0,0,1.48583,36713.5,226753,-0.5615,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.0713e+06,31489.9,225165,92946.9,0,-2.0713e+06,-5153.45,-23078.7,208370,0,208370,0,0,0,0,0,0,0,0,0,270306,27409.9,203995,-133930,0,-1.8873e+06,-4148.51,4455.44,103245,103245,0,0,0,0,-1.8825,28130.3,230129,0.355925,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-3.33918e+06,31489.9,225165,92946.9,0,-3.33918e+06,-9593.63,-38814.5,90224.2,97787.1,90224.2,97787.1,0,0,0,0,0,0,0,0,-16892.3,22969.7,188259,-31520,0,-3.4952e+06,20466,36599.4,131938,34151,0,0,0,0,-1.91398,51550.7,258822,0.262466,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.77897e+06,31489.9,225165,92946.9,0,-2.77897e+06,-6730.62,-14113.6,128652,71367.8,128652,71367.8,0,0,0,0,0,0,0,0,243456,25832.7,212960,-45247.1,0,-2.6513e+06,-10871,-17891.9,75832.1,4464.25,0,0,0,0,-2.97689,19221.1,202716,0.355925,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.10529e+06,31489.9,225165,92946.9,0,-2.10529e+06,-8773.32,-7248.12,212507,0,212507,0,0,0,0,0,0,0,0,0,193766,23790,219826,-122236,0,-1.99924e+06,4391.3,13382.6,101798,101798,0,0,0,0,-2.97689,32226,228683,0.355925,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.28704e+06,31489.9,225165,92946.9,0,-2.28704e+06,-1764.31,-9010.19,113948,105641,113948,105641,0,0,0,0,0,0,0,0,100963,30799,218064,-25439.2,0,-2.28137e+06,-393.454,12077.2,112957,7316,0,0,0,0,-7.29866,32547.6,239842,0.438198,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.61987e+06,31489.9,225165,92946.9,0,-2.61987e+06,2290.06,-5072.28,236189,0,236189,0,0,0,0,0,0,0,0,0,415236,34853.4,222001,-143743,0,-2.3138e+06,7142.16,-3740.83,103042,103042,0,0,0,0,-2.04734,42436.7,229926,0.262466,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.15469e+06,31489.9,225165,92946.9,0,-2.15469e+06,-1409,-6690.81,152829,67839.3,152829,67839.3,0,0,0,0,0,0,0,0,87940,31154.4,220383,-62000.9,0,-2.15653e+06,1542.42,16869.8,117747,49907.9,0,0,0,0,2.9698,34450.6,244631,-0.5615,0,0,
