z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-2.51903e+06,33735.4,246974,0,0,0,0,0,297774,39492.1,0,0,0,0,0,0,0,0,0,0,0,0,0,3.26799e+07,31489.9,225165,-204828,0,3.26799e+07,7586.37,24246,137406,0,97913.9,0,0,0,0,0,0,0,0,0,3.96423e+07,40149.7,251320,-15641.2,0,7.36839e+07,-9566.06,-42003.6,66111.8,66111.8,0,0,0,0,2.58754e+07,25875.4,192996,0.349385,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.24597e+07,31489.9,225165,-204828,0,3.24597e+07,-7210.52,17000.2,83256.8,38693.1,43764.8,38693.1,0,0,0,0,0,0,0,0,2.51544e+07,25352.8,244074,31262.2,0,5.89666e+07,-9418.61,-25591.3,59104.7,20411.6,0,0,0,0,1.65706e+07,16570.6,185988,-1.08325,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.39129e+07,31489.9,225165,-204828,0,3.39129e+07,-268.622,18217.6,92088.6,0,52596.6,0,0,0,0,0,0,0,0,0,3.09938e+07,32294.7,245291,23647.7,0,6.63198e+07,10210.7,30226.2,126484,126484,0,0,0,0,4.08986e+07,40898.6,253368,0.349385,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.13138e+07,31489.9,225165,-204828,0,3.13138e+07,-1959.94,-14134.1,293319,0,253827,0,0,0,0,0,0,0,0,0,3.16846e+07,30603.4,212940,-209934,0,6.43032e+07,226.573,9282.92,111180,111180,0,0,0,0,3.36516e+07,33651.6,238064,0.349385,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.30351e+07,31489.9,225165,-204828,0,3.30351e+07,-158.274,5063.07,102959,0,63467.4,0,0,0,0,0,0,0,0,0,3.13591e+07,32405.1,232137,-377.67,0,6.57707e+07,2039.01,2118.01,102035,102035,0,0,0,0,3.4397e+07,34397,228919,0.349385,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.21876e+07,31489.9,225165,-204828,0,3.21876e+07,-112.955,1803.54,170893,0,131401,0,0,0,0,0,0,0,0,0,3.18221e+07,32450.4,228877,-71570.8,0,6.53508e+07,6160.7,20686.9,121541,121541,0,0,0,0,3.8945e+07,38945,248426,0.349385,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.12727e+07,31489.9,225165,-204828,0,3.12727e+07,4657.46,-7452.22,286123,0,246631,0,0,0,0,0,0,0,0,0,3.73642e+07,37220.8,219622,-196056,0,6.994e+07,-1675.27,10303.4,121768,121768,0,0,0,0,3.55601e+07,35560.1,248651,-1.44545,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.2276e+07,31489.9,225165,-204828,0,3.2276e+07,3354.02,-7396.01,94355.6,11636.2,54863.6,11636.2,0,0,0,0,0,0,0,0,3.5546e+07,35917.4,219678,-4232.89,0,6.91668e+07,-8996.94,-24545.9,84672.4,73036.2,0,0,0,0,2.73218e+07,27321.7,211555,-1.08325,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.25463e+07,31489.9,225165,-204828,0,3.25463e+07,-2846.67,-49619.1,66597.6,54624.8,27105.6,54624.8,0,0,0,0,0,0,0,0,2.94684e+07,29716.7,177455,-18698,0,6.33709e+07,9556.36,14699,124440,69815.3,0,0,0,0,4.66596e+07,46659.6,251323,-1.08325,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.16635e+07,31489.9,225165,-204828,0,3.16635e+07,278.822,661.615,229950,0,190458,0,0,0,0,0,0,0,0,0,3.29907e+07,32842.2,227735,-131769,0,6.59736e+07,2762.7,-9098.58,92729.3,92729.3,0,0,0,0,3.59588e+07,35958.8,219612,-1.08325,0,0,
