z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-2.83662e+06,33735.4,246974,0,0,0,0,0,237754,145324,0,0,0,0,0,0,0,0,0,0,0,0,0,645248,31489.9,225165,-144807,0,645248,-5709.5,17600.4,145324,101046,0,101046,0,0,0,0,0,0,0,0,662019,26853.9,244674,-30205.2,0,1.33415e+06,-3107.76,-7016,101046,0,0,0,0,0,143106,23856.6,206974,-20955.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,360289,31489.9,225165,-144807,0,360289,-4034.84,12949.6,237386,0,92061.7,0,0,0,0,0,0,0,0,0,96611.5,28528.5,240023,-126918,0,471912,13299.3,21209,112409,112409,0,0,0,0,-1.13347,41995.9,239293,0.261081,0,0,
,,,,,,,,,,,,,,,,,,,,,,,585514,31489.9,225165,-144807,0,585514,-2005.62,-22644.4,145324,71908.1,0,71908.1,0,0,0,0,0,0,0,0,258780,30557.7,204429,-70450,0,868691,-1783.19,-21289.2,82774.5,10866.4,0,0,0,0,-0.837374,32640.5,209659,0.261081,0,0,
,,,,,,,,,,,,,,,,,,,,,,,978198,31489.9,225165,-144807,0,978198,-5432.58,1180.89,230659,0,85334.8,0,0,0,0,0,0,0,0,0,1.87696e+06,27130.8,228255,-131960,0,2.89592e+06,-26277.8,-43891.9,48019.6,48019.6,0,0,0,0,-10.9702,2868.29,174904,0.373773,0,0,
,,,,,,,,,,,,,,,,,,,,,,,271790,31489.9,225165,-144807,0,271790,-6881.9,4750.23,223821,0,78496.7,0,0,0,0,0,0,0,0,0,197643,25681.5,231824,-121552,0,480758,6815.07,-7016.07,81472.7,81472.7,0,0,0,0,-0.837374,34517.1,208357,0.261081,0,0,
,,,,,,,,,,,,,,,,,,,,,,,533337,31489.9,225165,-144807,0,533337,-4661.97,-21870.4,210426,0,65101.4,0,0,0,0,0,0,0,0,0,272859,27901.4,205203,-134777,0,828419,-8922.32,-10463.3,88848.6,88848.6,0,0,0,0,-0.837374,23553.2,215733,0.261081,0,0,
,,,,,,,,,,,,,,,,,,,,,,,125500,31489.9,225165,-144807,0,125500,6901.94,24917,264687,0,119362,0,0,0,0,0,0,0,0,0,102886,39465.3,251991,-142251,0,233616,-645.474,-1049.7,105720,105720,0,0,0,0,18.7144,34236.9,232601,-3.11531,0,0,
,,,,,,,,,,,,,,,,,,,,,,,241818,31489.9,225165,-144807,0,241818,10274.5,-12983.9,145324,100709,0,100709,0,0,0,0,0,0,0,0,126795,42837.9,214090,-60789.5,0,378688,-4019.82,3798.33,126337,25628.2,0,0,0,0,-0.61388,37806.7,253221,0.261081,0,0,
,,,,,,,,,,,,,,,,,,,,,,,196903,31489.9,225165,-144807,0,196903,17131.8,9753.35,145324,132563,0,132563,0,0,0,0,0,0,0,0,91305.8,49695.1,236827,-38052.2,0,296413,-9325.4,-25990.5,132563,0,0,0,30271.7,1.93437,242181,34534.7,229174,0.976045,0,0,
,,,,,,,,,,,,,,,,,,,,,,,988618,31489.9,225165,-144807,0,988618,-246.011,-10710.3,145324,88379,0,88379,0,0,0,0,0,0,0,0,133173,32317.3,216363,-58515.9,0,1.16298e+06,10872.3,36693.4,140621,52242.3,0,0,0,0,-2.57823,45079.1,267506,0.377536,0,0,
,,,,,,,,,,,,,,,,,,,,,,,938728,31489.9,225165,-144807,0,938728,-10163.4,-32242.5,145324,51355.8,0,51355.8,0,0,0,0,0,0,0,0,194738,22400,194831,-80048.1,0,1.17258e+06,-3572.38,7700.43,100330,48974.2,0,0,0,0,-1.29468,26318.7,227214,0.261081,0,0,
,,,,,,,,,,,,,,,,,,,,,,,157675,31489.9,225165,-144807,0,157675,1140,36481.6,157285,110493,11960.9,110493,0,0,0,0,0,0,0,0,-86456.6,33703.4,263555,-23284.9,0,77788.6,-3760.12,-15381.9,110493,0,0,0,0,32017.9,192116,25699.4,205354,-5.3784,0,0,
,,,,,,,,,,,,,,,,,,,,,,,615300,31489.9,225165,-144807,0,615300,-7176.61,-24543.1,204559,0,59234.5,0,0,0,0,0,0,0,0,0,21633,25386.7,202531,-131583,0,662570,3171.51,29722.2,125437,125437,0,0,0,0,5.19044,34215.3,252318,-3.11531,0,0,
,,,,,,,,,,,,,,,,,,,,,,,409814,31489.9,225165,-144807,0,409814,4149.97,4861.83,245360,0,100035,0,0,0,0,0,0,0,0,0,89298.1,36713.3,231936,-142979,0,516188,4948.45,12685.9,120032,120032,0,0,0,0,-0.764795,40338.4,246916,0.261081,0,0,
