z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.27193e+08,33735.4,246974,0,0,0,0,0,1.6576e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.51757e+08,35573.5,242830,-1.64653e+07,0,1.51757e+08,880.689,1927.33,0,0,0,0,0,0,0,0,0,0,0,0,2.96832e+07,30256.8,195290,65734.9,0,1.84143e+08,1727.67,12623.4,0,0,0,0,0,0,3.67755e+07,37647,262997,136113,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.34455e+08,26904.3,207331,-1.65008e+07,0,1.34455e+08,1323.5,-2820,0,96793.9,0,96793.9,0,0,0,0,0,0,0,0,2.82451e+07,28426.6,199887,70331.9,0,1.65095e+08,3302.26,10784.3,96793.9,0,0,0,0,0,4.20569e+07,42156,261143,37464.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.57507e+08,32263.3,219986,-1.64882e+07,0,1.57507e+08,-3196.5,16476.3,0,0,0,0,0,0,0,0,0,0,0,0,4.06104e+07,41853.4,272009,142454,0,2.00923e+08,7778.25,3267.1,0,0,0,0,0,0,4.49585e+07,46207.9,245214,118330,0,0,
,,,,,,,,,,,,,,,,,,,,,,,9.96e+07,34933.5,225608,-1.64826e+07,0,9.96e+07,4416.9,2616.02,401746,0,401746,0,0,0,0,0,0,0,0,0,3.87369e+07,37786.6,222810,-308491,0,1.40111e+08,9310.86,16796.5,0,0,0,0,0,0,4.42981e+07,44735.8,263352,136468,0,0,
,,,,,,,,,,,,,,,,,,,,,,,7.69262e+07,24873.6,206958,-1.65012e+07,0,7.69262e+07,3471.38,-21148.1,0,0,0,0,0,0,0,0,0,0,0,0,3.49556e+07,35198.4,208395,78840.3,0,1.13252e+08,437.325,-13802.1,0,0,0,0,0,0,3.6694e+07,37001.9,243234,116350,0,0,
,,,,,,,,,,,,,,,,,,,,,,,7.33565e+07,21235.2,185201,-1.6523e+07,0,7.33565e+07,2251.73,3214.67,0,0,0,0,0,0,0,0,0,0,0,0,2.37393e+07,24962.5,209123,79567.9,0,9.84024e+07,2423.68,9577.09,323590,323590,0,0,0,0,3.97113e+07,39202.5,258207,-192268,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.62282e+08,27109.4,212837,-1.64953e+07,0,1.62282e+08,-7028.61,-12248.1,0,0,0,0,0,0,0,0,0,0,0,0,2.58666e+07,26738.2,237926,108371,0,1.91039e+08,-4149.5,-7931.27,0,0,0,0,0,0,2.29988e+07,23760.8,205288,78403.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.86225e+08,25967.2,208807,-1.64994e+07,0,1.86225e+08,1037.87,-2421.68,0,0,0,0,0,0,0,0,0,0,0,0,3.10171e+07,31334.8,203216,73661.3,0,2.20559e+08,2867.86,6897.74,0,0,0,0,0,0,3.3169e+07,34083.3,244103,117219,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.21002e+08,32710.4,222798,-1.64854e+07,0,1.21002e+08,5896.66,5899.69,752117,0,752117,0,0,0,0,0,0,0,0,0,3.7558e+07,36253.4,217667,-664004,0,1.60716e+08,-373.053,16179,244241,244241,0,0,0,0,3.84941e+07,38118.6,254056,-117069,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.07254e+08,29252.1,211060,-1.64971e+07,0,2.07254e+08,901.765,4546.79,0,0,0,0,0,0,0,0,0,0,0,0,4.34291e+07,44826.9,242355,112800,0,2.54375e+08,655.189,-16092.7,34543.6,34543.6,0,0,0,0,4.06817e+07,41462.4,248204,86776.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.41988e+08,33961,227650,-1.64805e+07,0,1.41988e+08,-1918.39,-19474.7,0,0,0,0,0,0,0,0,0,0,0,0,3.22848e+07,33921.5,213191,83636.3,0,1.76802e+08,9189.14,7758.08,457814,457814,0,0,0,0,3.80315e+07,37624.9,232273,-352425,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.64327e+08,39350,255080,-1.64531e+07,0,1.64327e+08,-4109.52,5215.86,0,0,0,0,0,0,0,0,0,0,0,0,3.64306e+07,37872,252926,123371,0,2.03684e+08,-5593.37,10068.3,0,0,0,0,0,0,2.31233e+07,24383.6,235908,109024,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.04387e+08,30764.4,223641,-1.64845e+07,0,1.04387e+08,-624.522,-2494.32,539136,0,539136,0,0,0,0,0,0,0,0,0,2.55247e+07,23432.2,183591,-485100,0,1.31771e+08,-1803.61,-16327.6,0,0,0,0,0,0,3.00506e+07,30404.3,208356,81471.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.74323e+08,31307.3,248935,-1.64592e+07,0,1.74323e+08,-4570.47,-29621.2,0,384322,0,384322,0,0,0,0,0,0,0,0,2.61777e+07,27148.4,190545,60990.5,0,2.03606e+08,-6162.2,-42757.9,384322,0,0,0,0,0,3.80354e+07,34337,222218,-288988,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.57405e+08,32255.4,229789,-1.64784e+07,0,1.57405e+08,2419.84,12217.1,2607.93,0,2607.93,0,0,0,0,0,0,0,0,0,2.82391e+07,29081.2,228671,96508.5,0,1.88448e+08,-3112.07,13819.9,0,0,0,0,0,0,2.51247e+07,26710.8,250820,123936,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.96157e+08,37159.7,236159,-1.6472e+07,0,1.96157e+08,9377.11,33866.7,0,107199,0,107199,0,0,0,0,0,0,0,0,3.99185e+07,41717.9,264546,134991,0,2.39569e+08,1831.33,16510.5,107199,0,0,0,0,0,4.10666e+07,41310,257134,23051.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,7.99572e+07,28119.6,221746,-1.64864e+07,0,7.99572e+07,-4901.1,-8223.12,53679.6,0,53679.6,0,0,0,0,0,0,0,0,0,2.3867e+07,25184.3,193164,9929.42,0,1.05248e+08,1262.46,6373.66,0,0,0,0,216166,0,3.34648e+07,32113,237974,327256,0,0,
,,,,,,,,,,,,,,,,,,,,,,,8.1668e+07,29601.7,202637,-1.65055e+07,0,8.1668e+07,7582.71,19493.5,0,0,0,0,0,0,0,0,0,0,0,0,3.62732e+07,37701.5,248000,118445,0,1.19396e+08,4854.7,5528.37,351969,351969,0,0,0,0,3.40621e+07,33767.1,223210,-255643,0,0,
,,,,,,,,,,,,,,,,,,,,,,,9.23573e+07,26116,230692,-1.64775e+07,0,9.23573e+07,-501.662,-12397.2,0,0,0,0,0,0,0,0,0,0,0,0,3.21576e+07,32535,212996,83440.7,0,1.2616e+08,3588.95,17211.6,24187,24187,0,0,0,0,4.29608e+07,43216.8,276979,125908,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.36683e+08,28746,241485,-1.64667e+07,0,1.36683e+08,14870.9,44815.7,0,0,0,0,0,0,0,0,0,0,0,0,3.49773e+07,36111.2,260901,131346,0,1.74094e+08,4795.29,20684.4,21290.3,21290.3,0,0,0,0,3.57467e+07,36446.5,257469,109294,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.54732e+08,29659,195136,-1.6513e+07,0,1.54732e+08,-1247.56,-6371.16,0,49203.5,0,49203.5,0,0,0,0,0,0,0,0,3.89609e+07,39694,243953,114398,0,1.96449e+08,2073.68,2637.49,49203.5,0,0,0,0,0,3.59336e+07,36276.4,220039,43951.1,0,0,
