z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.75342e+08,33735.4,246974,0,0,0,0,0,2.28508e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.11962e+07,30747.7,213689,-2.27693e+07,0,7.11962e+07,-133.033,-6384.63,0,0,0,0,0,0,0,0,4.89852e+06,0,0,0,1.90853e+07,41167.7,220647,4.98961e+06,0,9.15496e+07,1069.89,-1924.21,139639,139639,0,0,0,0,88073,40560.8,236457,-30065.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.26319e+08,33552.8,226160,-2.27569e+07,0,1.26319e+08,-11890,-37866.3,224223,0,224223,0,0,0,0,0,0,0,0,0,238056,23061.2,192017,-161762,0,1.28807e+08,632.414,-11210.7,113222,113222,0,0,0,0,113218,28069.3,212144,-27962.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.06484e+08,34979.9,241698,-2.27413e+07,0,1.06484e+08,72.3476,25427.1,1.29804e+07,0,1.29804e+07,0,0,0,0,0,0,0,0,0,1.48721e+08,36263.2,247085,-1.27293e+07,133587,2.57102e+08,-2382.03,12975.6,0,0,0,0,0,0,140484,41673.2,247166,-13305.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.19083e+08,37920.3,252896,-2.27301e+07,0,1.19083e+08,-2173.11,2448.26,1.31466e+07,116382,1.31466e+07,116382,0,0,0,0,0,0,0,0,2.85773e+08,24309.7,186060,-1.30901e+07,0,4.06977e+08,12755.3,47967.8,168079,51696.3,0,0,0,0,680087,37347,261503,-33459.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.17751e+08,33533.6,242838,-9.6276e+06,1.31126e+07,1.17751e+08,-803.314,-13113,0,121958,0,121958,0,0,0,0,0,0,0,0,9.71669e+07,19112.7,186019,-1.30561e+07,0,2.17015e+08,-1688.98,5378.53,122280,322.123,0,0,0,0,22274.4,30620.9,245456,-3707.93,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.38081e+08,30533.5,238442,-2.27446e+07,0,1.38081e+08,9800.52,35513.5,1.43417e+07,0,1.43417e+07,0,0,0,0,0,0,0,0,0,3.08814e+08,34932.2,263261,-1.4208e+07,0,4.49354e+08,-633.889,-7603.75,120096,120096,0,0,0,0,452914,21906.8,196637,-50342.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.26127e+08,33339.6,210920,-2.27721e+07,0,1.26127e+08,-1432.29,19917.6,271606,0,271606,0,0,0,0,0,0,0,0,0,46370,36170.4,274197,-126965,0,1.2842e+08,1963.42,1364.19,121030,121030,0,0,0,0,176703,31835.8,216569,-31345,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.06301e+08,36444.7,218109,-2.27649e+07,0,1.06301e+08,-4857.15,-33957.9,1.27865e+07,149336,1.27865e+07,149336,0,0,0,0,0,0,0,0,1.32904e+08,28224,205424,-1.27107e+07,0,2.41098e+08,10483.4,51566.4,172920,23584.3,0,0,0,0,27044.6,52917.1,296337,-3467.09,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.24363e+08,25399.7,208597,-2.27744e+07,0,1.24363e+08,-5648.02,-6985.67,6.35157e+06,115448,6.35157e+06,115448,0,0,0,0,0,0,0,0,2.9427e+07,28976.6,228211,-6.25291e+06,0,1.56005e+08,-4018.98,-24815,115448,0,0,0,0,0,269033,17463.7,175887,-66445,0,0,
,,,,,,,,,,,,,,,,,,,,,,,8.58294e+07,29936.6,228454,-2.27546e+07,0,8.58294e+07,2634.94,-2135.68,1.22874e+07,111771,1.22874e+07,111771,0,0,0,0,0,0,0,0,3.74267e+07,38834.8,244389,-1.21725e+07,0,1.24785e+08,840.122,3938.68,135070,23298.4,0,0,0,0,105009,36263,237766,-24187.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.01067e+08,39791,209868,-2.27732e+07,0,1.01067e+08,-890.837,-8663.53,6.25504e+06,0,6.25504e+06,0,0,0,0,0,0,0,0,0,3.86309e+07,33677.2,228430,-6.15617e+06,0,1.41498e+08,-1069.62,4564.24,128213,128213,0,0,0,0,115630,33676.2,231779,-23317.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.70949e+07,33994.9,239601,-2.27434e+07,0,4.70949e+07,-1913.67,-7285.26,0,0,0,0,0,0,0,0,5.08572e+06,0,0,0,-7.8425e+12,25304.6,202096,5.15827e+06,0,-7.84245e+12,-769.761,-1527.03,1e+12,1e+12,0,0,1e+12,0,8e+12,33749.5,220460,-27069.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.01237e+08,26355.2,213425,-2.27696e+07,0,1.01237e+08,6299.83,-2348.19,1.26891e+07,0,1.26891e+07,0,0,0,0,0,0,0,0,0,1.18467e+08,42267.2,228605,-1.25901e+07,0,2.21507e+08,2803.56,1646.53,148033,148033,0,0,0,0,325877,39268.6,220670,-54247.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.26241e+08,33434.8,213099,-2.27699e+07,0,1.26241e+08,-4090.39,-7495.28,249652,0,249652,0,0,0,0,0,0,0,0,0,304721,21112,200131,-179076,0,1.28794e+08,21.3731,23742.5,136311,136311,0,0,0,0,425926,16038.1,208592,-54603.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,8.50786e+07,39171.2,249187,-2.27338e+07,0,8.50786e+07,-2028.71,11285.3,1.22309e+07,184302,1.22309e+07,184302,0,0,0,0,0,0,0,0,1.05873e+08,28455.9,226449,-1.2134e+07,0,1.92467e+08,7059.23,2225.28,184302,0,0,0,0,0,601688,38044.8,228676,-82510,0,0,
,,,,,,,,,,,,,,,,,,,,,,,9.50431e+07,35177.8,230526,-2.27525e+07,0,9.50431e+07,-1993.87,17652.3,1.24326e+07,0,1.24326e+07,0,0,0,0,0,0,0,0,0,6.75766e+07,23238.9,235395,-1.23267e+07,0,1.64313e+08,-3702.82,-29690.1,79680.9,79680.9,0,0,0,0,275260,20489.2,151057,-55508.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.44812e+08,37636.4,232906,-9.31914e+06,1.3431e+07,1.44812e+08,2449.08,-3716.21,0,146670,0,146670,0,0,0,0,0,0,0,0,1.77744e+08,33405.4,226077,-1.33345e+07,0,3.25135e+08,1605.59,13883.2,146670,0,0,0,0,0,700762,31323.3,239077,-34476.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.20079e+08,36291.8,243187,-2.27398e+07,0,1.20079e+08,2898.06,-16997.6,1.32566e+07,0,1.32566e+07,0,0,0,0,0,0,0,0,0,9.01251e+07,28944.1,197605,-1.31885e+07,0,2.12343e+08,-4362.07,179.485,133840,133840,0,0,0,0,159207,29363.4,232483,-28241.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.18854e+08,37905.2,256348,-2.27267e+07,0,1.18854e+08,2995.8,9063.17,1.312e+07,154558,1.312e+07,154558,0,0,0,0,0,0,0,0,2.85053e+08,30458.2,243778,-1.30058e+07,0,4.06023e+08,-1256.69,402.798,154558,0,0,0,0,0,1.22717e+06,30145.1,239630,-41811.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.25847e+08,39678,236398,-2.27466e+07,0,1.25847e+08,-3181.81,-6864.34,302379,0,302379,0,0,0,0,0,0,0,0,0,-7.84409e+12,34298.1,224906,-207029,0,-7.84397e+12,3407.32,4839.38,1e+12,1e+12,0,0,1e+12,0,8e+12,38289,252280,-10995.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.15908e+08,30895,204194,-2.27788e+07,0,1.15908e+08,-213.147,1266.22,18888.5,157105,18888.5,157105,0,0,0,0,0,0,0,0,-938868,31579.2,228803,80359.6,0,1.17034e+08,-7671.91,-14340.7,157105,0,0,0,0,0,547353,21321,223149,-60839.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.24387e+08,34670,237588,-2.27454e+07,0,1.24387e+08,1488.92,14975.7,6.4929e+06,0,6.4929e+06,0,0,0,0,0,0,0,0,0,9.91072e+07,39108.3,262478,-6.35998e+06,0,2.2571e+08,6160.36,5683.73,133065,133065,0,0,0,0,-51450.1,50870.7,262480,2531.28,0,0,
,,,,,,,,,,,,,,,,,,,,,,,9.82917e+07,22133.8,209036,-1.02504e+07,1.25236e+07,9.82917e+07,449.642,-9747.14,0,133927,0,133927,0,0,0,0,0,0,0,0,9.99752e+07,34959.5,223579,-1.24296e+07,0,2.00018e+08,-6659.93,-18601.8,133927,0,0,0,0,0,196225,30399.4,233903,-26908.5,0,0,
