z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.29869e+08,33735.4,246974,0,0,0,0,0,1.69247e+07,3.6848,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01896e+08,53420.1,248530,-1.68084e+07,0,1.01896e+08,0,0,1.47747e+06,76.2701,1.47746e+06,76.2701,0,0,0,0,0,0,0,0,4.44545e+07,39022,221165,-1.38586e+06,0,1.48165e+08,0,0,76.2701,0,0,0,0,0,3.27832e+07,33086.6,241601,114640,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.13833e+08,38895.2,227721,-1.68292e+07,0,1.13833e+08,0,0,3.6848,618431,0,618431,0,0,0,0,0,0,0,0,2.31258e+07,23381.5,183896,54337.1,0,1.38986e+08,0,0,618431,0,0,0,0,0,3.82977e+07,36190.5,224900,-520415,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.6942e+08,31425.3,217191,-1.68398e+07,0,1.6942e+08,0,0,3.6848,0,0,0,0,0,0,0,0,0,0,0,3.65591e+07,36862.7,228125,98566.6,0,2.08997e+08,0,0,0,0,0,0,0,0,4.06534e+07,41026.7,254311,127427,0,0,
,,,,,,,,,,,,,,,,,,,,,,,9.89106e+07,45999.1,283470,-1.67735e+07,0,9.89106e+07,0,0,3.6848,0,0,0,0,0,0,0,0,0,0,0,3.31365e+07,36352.3,247018,117459,0,1.33809e+08,0,0,722017,722017,0,0,0,0,3.39297e+07,31139.8,206279,-642622,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.21539e+08,37385.7,265070,-1.67919e+07,0,1.21539e+08,0,0,3.6848,391728,0,391728,0,0,0,0,0,0,0,0,2.61688e+07,26470.9,199577,70018.5,0,1.49872e+08,0,0,391728,0,0,0,0,0,3.09331e+07,29994.6,198226,-320386,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.44902e+08,17723.8,212242,-1.68447e+07,0,1.44902e+08,0,0,104047,0,104043,0,0,0,0,0,0,0,0,0,2.3171e+07,22918.3,199640,-33961.7,0,1.70654e+08,0,0,0,0,0,0,0,0,2.9901e+07,30665.3,231693,104809,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.27418e+08,18364.6,177828,-1.68791e+07,0,2.27418e+08,0,0,3.6848,0.840808,0,0.840808,0,0,0,0,0,0,0,0,1.99865e+07,21505.2,198848,69289.2,0,2.51455e+08,0,0,0.840808,0,0,0,0,0,2.74283e+07,29724.3,205116,78230.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,9.45512e+07,27718.3,237761,-1.68192e+07,0,9.45512e+07,0,0,196718,0,196714,0,0,0,0,0,0,0,0,0,4.44176e+07,45439,294985,-31287.4,0,1.40653e+08,0,0,327709,327709,0,0,0,0,4.03665e+07,39561.5,223556,-231037,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.12732e+08,20638.6,206527,-1.68504e+07,0,1.12732e+08,0,0,428809,0,428805,0,0,0,0,0,0,0,0,0,2.42505e+07,21702.4,215990,-342374,0,1.3899e+08,0,0,0,0,0,0,0,0,3.14107e+07,32823.9,224999,98114.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.25398e+08,31660.2,213446,-1.68435e+07,0,1.25398e+08,0,0,121877,0,121873,0,0,0,0,0,0,0,0,0,3.76165e+07,37404.1,215728,-35703.7,0,1.65248e+08,0,0,0,0,0,0,0,0,3.95162e+07,40564.4,270624,143740,0,0,
