z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.72013e+08,33735.4,246974,0,0,0,0,0,2.2417e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02981e+08,26818.7,232460,-2.23167e+07,0,1.02981e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.11788e+06,26205.9,220921,91366,0,1.03698e+08,0,0,128963,128963,0,0,0,0,152927,27930.6,238848,-16998.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,8.78305e+07,29456.9,244768,-2.23044e+07,0,8.78305e+07,0,0,1.2337e+07,180132,1.2337e+07,180132,0,0,0,0,0,0,0,0,1.16612e+08,26208,216585,-1.225e+07,0,2.06006e+08,0,0,180132,0,0,0,0,0,588880,38061.2,220785,-86231,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.13841e+08,35329.3,232063,-1.61335e+07,6.18367e+06,1.13841e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.34522e+07,30884.5,195353,-5.98285e+06,135030,1.39321e+08,0,0,0,0,0,0,0,0,-113025,51116.9,284706,22792.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.20373e+08,31763.5,223355,-2.23258e+07,0,1.20373e+08,0,0,1.5148e+07,172008,1.5148e+07,172008,0,0,0,0,0,0,0,0,1.43355e+08,37117.3,218257,-1.50593e+07,0,2.65871e+08,0,0,172008,0,0,0,0,0,663739,37087.9,213801,-85090.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,9.21915e+07,44445.2,265817,-2.22834e+07,0,9.21915e+07,0,0,1.26013e+07,216014,1.26013e+07,216014,0,0,0,0,0,0,0,0,1.00385e+08,35539.6,250248,-1.24806e+07,0,1.94219e+08,0,0,216014,0,0,0,0,0,1.3279e+06,31208.8,184131,-158767,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.33792e+08,36628.2,220152,-2.21613e+07,167727,1.33792e+08,0,0,0,143833,0,143833,0,0,0,0,0,0,0,0,144609,34698.8,263758,-33524,0,1.3632e+08,0,0,143833,0,0,0,0,0,352891,21979.9,169442,-101274,0,0,
,,,,,,,,,,,,,,,,,,,,,,,8.86259e+07,21844.8,176405,-2.23728e+07,0,8.86259e+07,0,0,1.25253e+07,0,1.25253e+07,0,0,0,0,0,0,0,0,0,7.28194e+07,38590.1,284190,-1.23707e+07,0,1.63024e+08,0,0,131980,131980,0,0,0,0,318145,23436.8,194708,-64156.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.56231e+07,47062.9,281416,-2.22678e+07,0,4.56231e+07,0,0,0,0,0,0,0,0,0,0,5.07982e+06,0,0,0,-7.83852e+12,59116.6,330154,5.28042e+06,0,-7.83848e+12,0,0,1e+12,1e+12,0,0,1e+12,0,8e+12,52771.9,274520,-9612.01,0,0,
,,,,,,,,,,,,,,,,,,,,,,,6.94305e+07,40853.5,244923,-2.23043e+07,0,6.94305e+07,0,0,0,0,0,0,0,0,0,0,4.8735e+06,0,0,0,861152,35333.3,233396,4.97734e+06,0,7.15283e+07,0,0,149092,149092,0,0,0,0,717195,12901.2,170956,-105021,0,0,
,,,,,,,,,,,,,,,,,,,,,,,8.96237e+07,25096.9,190859,-2.23583e+07,0,8.96237e+07,0,0,1.24038e+07,126415,1.24038e+07,126415,0,0,0,0,0,0,0,0,1.28816e+08,34027.3,228954,-1.23044e+07,0,2.20036e+08,0,0,133860,7445.14,0,0,0,0,164242,47852.9,242488,-18255.9,0,0,
