z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.05519e+07,51441,265315,133097,0,5.05519e+07,0,0,0,57.5658,0,57.5658,0,0,0,0,0,0,0,0,5.28182e+07,53317.7,267616,138061,0,1.05476e+08,0,0,57.5658,0,0,0,0,0,5.05915e+07,51147.7,277512,150571,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.1015e+07,31337.5,204266,72047.9,0,3.1015e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19935e+07,42251.5,252872,123317,0,7.43008e+07,0,0,0,0,0,0,0,0,4.39519e+07,44367.1,272091,145207,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.14493e+07,41950.9,244252,112034,0,4.14493e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.51281e+07,45941.4,263745,134190,0,8.83045e+07,0,0,0,0,0,0,0,0,3.44928e+07,34761.1,237437,110553,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.64262e+07,36950.3,249280,117062,0,3.64262e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.09776e+07,41393.6,244560,115005,0,7.89215e+07,0,0,0,0,0,0,0,0,4.47028e+07,45086.4,230730,103846,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.31001e+07,34441.4,224549,92330.8,0,3.31001e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.58767e+07,27278.8,201005,71449.7,0,6.0356e+07,0,0,0,0,0,0,0,0,2.26042e+07,24436.5,197824,70939.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.38953e+07,24343.9,232431,100213,0,2.38953e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.74035e+07,27707.3,201608,72052.9,0,5.22944e+07,0,0,0,0,0,0,0,0,2.39755e+07,24201.6,188086,61202.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.04873e+07,31299.3,253817,121599,0,3.04873e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.23041e+07,32763.6,225183,95628,0,6.40617e+07,0,0,0,0,0,0,0,0,3.07424e+07,31082.1,209309,82425.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.23959e+07,33082.7,263102,130884,0,3.23959e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.05294e+07,20762.1,208065,78510.1,0,5.42751e+07,0,0,0,0,0,0,0,0,3.11567e+07,31638.9,213793,86908.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.5307e+07,26130.9,188934,56715.5,0,2.5307e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50404e+07,35800.9,228885,99330,0,5.14019e+07,0,0,474838,474838,0,0,0,0,3.10931e+07,26710.3,231684,-370038,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.11368e+07,21518.5,189373,57155.2,0,2.11368e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.95288e+07,29956.3,230968,101413,0,5.15464e+07,0,0,0,0,0,0,0,0,3.80487e+07,38790.4,248403,121519,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.75278e+07,28284.7,200272,68054.1,0,2.75278e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.36268e+07,27240,210144,80588.8,0,5.23016e+07,0,0,107600,107600,0,0,0,0,2.98361e+07,29943.3,238637,4153.05,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.02422e+07,30929.4,234064,101846,0,3.02422e+07,0,0,30313.8,3.55435,30313.8,3.55435,0,0,0,0,0,0,0,0,2.51659e+07,31541.8,213005,53135.9,0,5.66681e+07,0,0,1.06352e+06,1.06352e+06,0,0,0,0,3.8149e+07,31923.5,263894,-926509,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.99051e+07,30311,209550,77331.8,0,2.99051e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68265e+07,17208,185873,56318.4,0,4.79777e+07,0,0,0,0,0,0,0,0,1.37466e+07,14066.6,170031,43146.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.37551e+07,24479.4,218884,86666.1,0,2.37551e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.28502e+07,33222.8,207112,77556.5,0,5.75951e+07,0,0,0,0,0,0,0,0,3.61945e+07,36372.3,218133,91249.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.74527e+07,28141.3,214615,82396.9,0,2.74527e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.10676e+07,51726.6,285875,156320,0,7.96642e+07,0,0,0,0,0,0,0,0,2.54245e+07,25850.5,220160,93275.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.08604e+07,23084.7,211858,79640.5,0,2.08604e+07,0,0,0,278927,0,278927,0,0,0,0,0,0,0,0,2.54786e+07,25788,233941,104386,0,4.72082e+07,0,0,278927,0,0,0,0,0,3.29937e+07,32482.9,267528,-138283,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.85607e+07,35416.3,251067,118849,0,2.85607e+07,0,0,524167,0,524167,0,0,0,0,0,0,0,0,0,4.04831e+07,38133,265982,-387740,0,7.02339e+07,0,0,0,0,0,0,0,0,2.93451e+07,29542.6,208274,81389.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.77871e+07,50261.1,269575,137357,0,4.77871e+07,0,0,243614,0,243614,0,0,0,0,0,0,0,0,0,4.38307e+07,42761.2,248019,-125150,0,9.3609e+07,0,0,0,0,0,0,0,0,3.73766e+07,38062.5,262980,136096,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.60271e+07,26390.3,201433,69215.4,0,2.60271e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6718e+07,27218.9,203490,73934.5,0,5.38296e+07,0,0,0,0,0,0,0,0,3.12754e+07,31888.8,201539,74655.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.34234e+07,24336.2,195053,62834.9,0,2.34234e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.43805e+07,46303.9,268389,138834,0,6.878e+07,0,0,0,0,0,0,0,0,4.58154e+07,49741.8,278899,152015,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.19154e+07,32831.2,214562,82343.7,0,3.19154e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.76788e+07,39187.1,238428,108873,0,7.0924e+07,0,0,0,0,0,0,0,0,3.30938e+07,34695.7,241668,114784,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.02063e+07,30796.7,244737,112519,0,3.02063e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3995e+07,34561.9,264044,134489,0,6.54598e+07,0,0,0,0,0,0,0,0,3.34137e+07,33704.9,215744,88860.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.59675e+07,40840.4,239480,107262,0,3.59675e+07,0,0,0,450507,0,450507,0,0,0,0,0,0,0,0,3.11592e+07,32850,251599,122044,0,6.86253e+07,0,0,450507,0,0,0,0,0,3.0108e+07,26520.8,230317,-347074,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.83359e+07,38958,236633,104415,0,3.83359e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.52998e+07,25509.6,187547,57991.5,0,6.5233e+07,0,0,0,0,0,0,0,0,4.01097e+07,40524.6,227556,100672,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.01054e+07,24508.1,167697,35478.6,0,2.01054e+07,0,0,0,293698,0,293698,0,0,0,0,0,0,0,0,2.57886e+07,26281.2,220576,91020.9,0,4.67317e+07,0,0,293698,0,0,0,0,0,4.18111e+07,41426,261878,-158704,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.433e+07,34823.1,214981,82763.2,0,3.433e+07,0,0,0,0.622702,0,0.622702,0,0,0,0,0,0,0,0,3.20155e+07,32319.1,232010,102455,0,6.77758e+07,0,0,0.622702,0,0,0,0,0,1.83023e+07,18448.2,201839,74954.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.37505e+07,24668.4,228969,96751,0,2.37505e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99195e+07,30301.3,208998,79442.8,0,5.46596e+07,0,0,0,0,0,0,0,0,3.3199e+07,34292.8,246186,119302,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.4152e+07,46408.6,249006,116788,0,4.4152e+07,0,0,0,167409,0,167409,0,0,0,0,0,0,0,0,3.9466e+07,40659.3,252069,122514,0,8.54576e+07,0,0,167409,0,0,0,0,0,2.92824e+07,28544.3,194743,-99549.5,0,0,
