z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-2.42997e+06,33735.4,246974,0,0,0,0,0,191506,137065,0,0,0,0,0,0,0,0,0,0,0,0,0,-76837.3,31489.9,225165,-98559.3,0,-76837.3,2660.28,23869.8,245140,0,108075,0,0,0,0,0,0,0,0,0,210784,35223.6,250944,-123752,0,130745,-3382.37,-11505.9,88275.7,88275.7,0,0,0,0,0.334313,28665.7,215160,-0.0731984,0,0,
,,,,,,,,,,,,,,,,,,,,,,,112520,31489.9,225165,-98559.3,0,112520,-4371.83,-26625.4,205502,0,68436.9,0,0,0,0,0,0,0,0,0,151161,28191.5,200448,-134609,0,268370,-4738.58,-13875.3,87189.6,87189.6,0,0,0,0,5.67779,28515.4,214072,-1.73285,0,0,
,,,,,,,,,,,,,,,,,,,,,,,440688,31489.9,225165,-98559.3,0,440688,-12646.6,-57684.8,137065,34930.5,0,34930.5,0,0,0,0,0,0,0,0,667914,19916.8,169389,-97231.2,0,1.12696e+06,2474.31,-40320,54770.3,19839.8,0,0,0,0,0.270384,33712.9,181654,-0.0731984,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-15019.7,31489.9,225165,-98559.3,0,-15019.7,-1022.55,14333.5,241237,0,104171,0,0,0,0,0,0,0,0,0,238952,31540.8,241407,-129384,0,223306,1190.56,-14023,81969.3,81969.3,0,0,0,0,0.756541,31822.5,208853,-0.0731984,0,0,
,,,,,,,,,,,,,,,,,,,,,,,107410,31489.9,225165,-98559.3,0,107410,660.397,-10315.2,138256,90361.3,1191.15,90361.3,0,0,0,0,0,0,0,0,70876.1,33223.8,216759,-51052.7,0,182761,-7086.33,2892.84,108270,17908.4,0,0,0,0,1.46417,27705.5,235153,-1.11672,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-71639.2,31489.9,225165,-98559.3,0,-71639.2,5879.39,15842.7,249592,0,112527,0,0,0,0,0,0,0,0,0,272382,38442.7,242916,-136230,0,197758,-3956.64,-33173.4,74238.6,74238.6,0,0,0,0,17.9099,31310.8,201121,-1.73285,0,0,
,,,,,,,,,,,,,,,,,,,,,,,175475,31489.9,225165,-98559.3,0,175475,-10451.2,-9424.68,208868,0,71803.2,0,0,0,0,0,0,0,0,0,8797.88,22112.2,217649,-120774,0,191585,14554,38344.5,124462,124462,0,0,0,0,0.334313,41480.9,251346,-0.0731984,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-96040.7,31489.9,225165,-98559.3,0,-96040.7,15571.9,6397.32,137065,113266,0,113266,0,0,0,0,0,0,0,0,588792,48135.2,233471,-33149,0,488749,-2108.18,-9980.59,116514,3248.74,0,0,0,0,-7.45183,41069.4,243399,0.533967,0,0,
,,,,,,,,,,,,,,,,,,,,,,,773008,31489.9,225165,-98559.3,0,773008,-9295.65,-29577.3,183863,0,46797.7,0,0,0,0,0,0,0,0,0,437442,23267.7,197496,-115921,0,1.24266e+06,-7832.91,-19856.2,73556.2,73556.2,0,0,0,0,0.756541,22341.2,200440,-0.0731984,0,0,
,,,,,,,,,,,,,,,,,,,,,,,117549,31489.9,225165,-98559.3,0,117549,-1714.44,-30305.9,137065,69097.3,0,69097.3,0,0,0,0,0,0,0,0,86500.6,30848.9,196768,-69852.2,0,208947,5434.32,-8093.03,98491.7,29394.3,0,0,0,0,3.19296,40989.1,225375,-1.11672,0,0,
,,,,,,,,,,,,,,,,,,,,,,,44002.4,31489.9,225165,-98559.3,0,44002.4,1751.1,-117.615,228572,0,91507.3,0,0,0,0,0,0,0,0,0,435765,34314.5,226956,-131171,0,481601,-14777.9,-63553.3,40999.5,40999.5,0,0,0,0,-0.288891,19540.4,167884,0.101038,0,0,
,,,,,,,,,,,,,,,,,,,,,,,72343.7,31489.9,225165,-98559.3,0,72343.7,4680.94,-16007.2,137065,98141.1,0,98141.1,0,0,0,0,0,0,0,0,376361,37244.3,211067,-55553.5,0,451719,-8459.83,-15919.4,98141.1,0,0,0,0,0,2225.05,29828,224725,-300.084,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-98236.8,31489.9,225165,-98559.3,0,-98236.8,8055.3,38640.9,217350,44070.1,80284.5,44070.1,0,0,0,0,0,0,0,0,106247,40618.7,265715,-81190,0,3917.04,-5343.14,-29702.8,75419.5,31349.4,0,0,0,0,2.17495,28682.4,202302,-1.11672,0,0,
,,,,,,,,,,,,,,,,,,,,,,,131091,31489.9,225165,-98559.3,0,131091,-10609.9,-17412.3,137065,77060.9,0,77060.9,0,0,0,0,0,0,0,0,126769,21953.5,209661,-56958.7,0,263322,4746.93,16675.5,104629,27567.9,0,0,0,0,0.270384,32530.4,231513,-0.0731984,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-85861.6,31489.9,225165,-98559.3,0,-85861.6,15514.2,24689,138790,126608,1724.71,126608,0,0,0,0,0,0,0,0,-25724.6,48077.6,251763,-16582.1,0,-115164,778.977,26969,148540,21932.4,0,0,0,0,0.334313,41701.2,275424,-0.0731984,0,0,
,,,,,,,,,,,,,,,,,,,,,,,272309,31489.9,225165,-98559.3,0,272309,2126.96,-25040.8,137065,79658.6,0,79658.6,0,0,0,0,0,0,0,0,380722,34690.3,202033,-64587.1,0,664377,-6807.89,-11038.9,100732,21073.7,0,0,0,0,0.542748,30791,227616,-0.0731984,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-260771,31489.9,225165,-98559.3,0,-260771,10020.6,32170.7,194954,79396.4,57888.6,79396.4,0,0,0,0,0,0,0,0,24788.1,42584,259244,-65264.2,0,-246849,11726,32910.6,143103,63706.9,0,0,0,0,0.334313,47907.1,269987,-0.0731984,0,0,
,,,,,,,,,,,,,,,,,,,,,,,34099.5,31489.9,225165,-98559.3,0,34099.5,1205.25,8452.43,137065,96277.4,0,96277.4,0,0,0,0,0,0,0,0,81576.8,33768.6,235526,-31093.9,0,117097,4319.06,-1324.03,100035,3757.96,0,0,0,0,10.5765,37218.4,226918,-1.73285,0,0,
,,,,,,,,,,,,,,,,,,,,,,,74699.1,31489.9,225165,-98559.3,0,74699.1,-2514.29,-10675.1,151062,68094.1,13997.4,68094.1,0,0,0,0,0,0,0,0,168746,30049.1,216399,-64218.8,0,246558,206.86,-14135.1,85900.6,17806.5,0,0,0,0,0.209291,32826,212785,-0.0731984,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-6767.84,31489.9,225165,-98559.3,0,-6767.84,6589.87,-913.114,152922,92054.5,15857.2,92054.5,0,0,0,0,0,0,0,0,132710,39153.2,226161,-56316.7,0,125660,-11138.5,4045.79,117092,25037.9,0,0,0,0,-0.132474,26654,243977,0.101038,0,0,
