z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.409e+07,34551,202545,70326.5,0,3.409e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.9877e+07,40373.7,270884,141329,0,7.53874e+07,0,0,0,0,0,0,0,0,3.14945e+07,32099.6,199229,72344.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.69005e+07,38937.3,261257,129039,0,3.69005e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.31879e+07,34249.1,220390,90834.8,0,7.16259e+07,0,0,0,0,0,0,0,0,3.87381e+07,39634.1,234012,107128,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.02546e+07,30572.6,233012,100794,0,3.02546e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77396e+07,27902.2,192556,63000.7,0,5.92548e+07,0,0,0,0,0,0,0,0,3.88119e+07,38929.4,228709,101825,0,0,
,,,,,,,,,,,,,,,,,,,,,,,5.30532e+07,53420.1,248530,116312,0,5.30532e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.15976e+07,41956.7,268742,139187,0,9.68614e+07,0,0,0,0,0,0,0,0,2.84896e+07,28932.2,222197,95312.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.69278e+07,17013.5,159378,27159.7,0,1.69278e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.45182e+07,24978.1,219636,90080.6,0,4.21514e+07,0,0,0,0,0,0,0,0,2.14849e+07,21645.3,187510,60626.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.17082e+07,22765.7,217601,85382.9,0,2.17082e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.441e+07,35553.2,249645,120090,0,5.70228e+07,0,0,0,0,0,0,0,0,4.56538e+07,46613.8,249951,123067,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.39435e+07,34282.9,188075,55857,0,3.39435e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07115e+07,30814.1,184337,54782,0,6.60693e+07,0,0,0,0,0,0,0,0,2.97805e+07,29894.6,195382,68498.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.4561e+07,25004.9,199944,67725.6,0,2.4561e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.13926e+07,31601.1,240832,111277,0,5.69769e+07,0,0,0,0,0,0,0,0,2.8274e+07,28457.5,237015,110131,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.87817e+07,29002.7,187189,54971,0,2.87817e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59084e+07,46392.1,252954,123399,0,7.58893e+07,0,0,0,0,0,0,0,0,3.99537e+07,40432.9,254193,127309,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.04755e+07,31281.5,255187,122969,0,3.04755e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8391e+07,28869.7,223315,93760.3,0,6.01363e+07,0,0,0,0,0,0,0,0,2.73274e+07,27691.9,210840,83956.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.60324e+07,36460.8,202728,70509.9,0,3.60324e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.13388e+07,41702.3,247564,118009,0,7.88725e+07,0,0,0,0,0,0,0,0,3.78915e+07,38347.3,257700,130816,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.31407e+07,33456.4,232292,100074,0,3.31407e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.85973e+07,28825.1,217839,88284,0,6.31188e+07,0,0,0,0,0,0,0,0,4.09481e+07,41506.9,232525,105641,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.82943e+07,39527.4,259169,126951,0,3.82943e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.90666e+07,40201.3,237871,108316,0,7.89565e+07,0,0,0,0,0,0,0,0,3.4851e+07,35852.8,264259,137375,0,0,
