z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-655854,31489.9,225165,92946.9,0,-655854,5689.86,20975.1,0,0,0,0,0,0,0,0,0,0,0,0,-416463,38253.2,248049,118494,0,-1.09964e+06,-15658.8,-43485.2,0,0,0,0,0,0,-146360,18854.7,189131,62246.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-706020,31489.9,225165,92946.9,0,-706020,-10009,-35846.8,0,0,0,0,0,0,0,0,0,0,0,0,-587076,22554.4,191227,61672,0,-1.32251e+06,-8831.36,-10109.8,0,0,0,0,0,0,-339041,21604,210619,83735.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.00288e+06,31489.9,225165,92946.9,0,-1.00288e+06,-10099,-62544.4,0,0,0,0,0,0,0,0,0,0,0,0,-408617,22464.3,164529,34974.4,0,-1.45329e+06,3413.22,23892,0,0,0,0,0,0,-972130,37018.8,251510,124626,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-902791,31489.9,225165,92946.9,0,-902791,3033.89,-18620.6,0,0,0,0,0,0,0,0,0,0,0,0,-751058,35597.2,208453,78898.2,0,-1.69147e+06,10550.1,25195.2,0,0,0,0,0,0,-1.06729e+06,48004.6,263709,136825,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-655854,31489.9,225165,92946.9,0,-655854,-1251.9,-1022.72,0,0,0,0,0,0,0,0,0,0,0,0,-339148,31311.5,226051,96496,0,-1.02233e+06,-6113.67,-17484.7,0,0,0,0,0,0,-286307,26217.8,209050,82165.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-520987,31489.9,225165,92946.9,0,-520987,-16815,-53551.1,0,0,0,0,0,0,0,0,0,0,0,0,-206918,15748.3,173523,43967.6,0,-749613,-3702.4,-11894.5,0,0,0,0,0,0,-240450,24125.7,201853,74968.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.00288e+06,31489.9,225165,92946.9,0,-1.00288e+06,-13063.8,-59252.5,0,0,0,0,0,0,0,0,0,0,0,0,-307788,19499.5,167821,38266.3,0,-1.35246e+06,-1150.1,-30575.4,0,0,0,0,0,0,-500896,29987.1,191098,64214.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.00288e+06,31489.9,225165,92946.9,0,-1.00288e+06,-5563.97,-61856,0,0,0,0,0,0,0,0,0,0,0,0,-416660,26999.4,165218,35662.8,0,-1.46133e+06,13788.4,33630.8,0,0,0,0,0,0,-1.18722e+06,50476.6,268831,141947,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-825632,31489.9,225165,92946.9,0,-825632,1802.05,24977.5,0,0,0,0,0,0,0,0,0,0,0,0,-1.2832e+06,34365.4,252051,122496,0,-2.14323e+06,8757.51,43285,0,0,0,0,0,0,-1.80837e+06,40072.3,268189,141305,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-706020,31489.9,225165,92946.9,0,-706020,-2281.34,5403.12,0,0,0,0,0,0,0,0,0,0,0,0,-1.07815e+06,30282,232477,102922,0,-1.81359e+06,-16789.4,-44557.5,0,0,0,0,0,0,-660812,14045.2,178519,51635.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-825632,31489.9,225165,92946.9,0,-825632,-7583.4,-29299.8,0,0,0,0,0,0,0,0,0,0,0,0,-797024,24980,197774,68218.9,0,-1.65706e+06,2780.31,-10645.1,0,0,0,0,0,0,-770345,34116.1,212509,85625.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.15118e+06,31489.9,225165,92946.9,0,-1.15118e+06,1235.94,54911.6,0,0,0,0,0,0,0,0,0,0,0,0,-1.78089e+06,33799.3,281985,152430,0,-2.98004e+06,-12330.4,-53164,0,0,0,0,0,0,-280738,14964.2,162874,35990.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-655854,31489.9,225165,92946.9,0,-655854,6561.84,10365.8,0,0,0,0,0,0,0,0,0,0,0,0,-1.26045e+06,39125.2,237440,107885,0,-1.94363e+06,-5342.07,-11216.9,0,0,0,0,0,0,-1.26449e+06,31065,225690,98806.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-902791,31489.9,225165,92946.9,0,-902791,-6364.68,-12345.6,0,0,0,0,0,0,0,0,0,0,0,0,-400837,26198.7,214728,85173.2,0,-1.34124e+06,-10888.4,-11058.6,0,0,0,0,0,0,-530318,19245,209710,82825.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-564744,31489.9,225165,92946.9,0,-564744,4728.8,2406.45,0,0,0,0,0,0,0,0,0,0,0,0,-951221,37292.2,229480,99925.2,0,-1.5395e+06,-537.238,16670.8,0,0,0,0,0,0,-754843,35554.1,252540,125656,0,0,
