z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84625e+07,28980.4,233257,101039,0,2.84625e+07,-1377.87,-8592.05,0,0,0,0,0,0,0,0,0,0,0,0,2.66183e+07,27037.1,211595,82040,0,5.62667e+07,4474.38,16401.3,0,0,0,0,0,0,2.64547e+07,26724.1,218878,91993.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.53274e+07,36274.5,256906,124688,0,3.53274e+07,6681.87,10311.1,0,0,0,0,0,0,0,0,0,0,0,0,3.47559e+07,35238.1,224005,94450.1,0,7.15553e+07,-3008.84,-19323.1,0,0,0,0,0,0,3.78092e+07,38205.3,240561,113677,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.10772e+07,21670.6,216317,84098.8,0,2.10772e+07,-584.868,-6992.43,0,0,0,0,0,0,0,0,0,0,0,0,3.01187e+07,30522.4,223151,93596.2,0,5.20741e+07,-5279.94,-13981.3,0,0,0,0,0,0,3.01461e+07,30440.3,211323,84439.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.0231e+07,30869.5,222700,90481.5,0,3.0231e+07,-4647.35,-10906.5,0,0,0,0,0,0,0,0,0,0,0,0,2.41846e+07,24557,235522,105967,0,5.56752e+07,1953.52,-6433.67,0,0,0,0,0,0,3.21316e+07,32530.9,232953,106069,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.81466e+07,28889,229954,97735.9,0,2.81466e+07,-341.226,2503.01,0,0,0,0,0,0,0,0,0,0,0,0,2.55441e+07,25938.1,230046,100491,0,5.48635e+07,9053.12,21304.9,0,0,0,0,0,0,4.25771e+07,43391.5,238561,111677,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.06989e+07,41510.1,247172,114954,0,4.06989e+07,-8323.93,-30117.1,0,0,0,0,0,0,0,0,0,0,0,0,2.43612e+07,24566.2,181844,52288.8,0,6.6756e+07,-7489.7,-8481.65,0,0,0,0,0,0,2.79702e+07,28713.8,235771,108887,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.55737e+07,26329.8,210065,77846.6,0,2.55737e+07,-645.191,15153.6,0,0,0,0,0,0,0,0,0,0,0,0,2.90487e+07,30244.6,243719,114164,0,5.56879e+07,-3067.75,-3304.89,0,0,0,0,0,0,2.88006e+07,29714.8,205962,79078.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.39673e+07,34448.1,251807,119589,0,3.39673e+07,2578.35,20358.4,0,0,0,0,0,0,0,0,0,0,0,0,3.13074e+07,31518.8,242370,112815,0,6.669e+07,-7492.12,-13609,0,0,0,0,0,0,2.0606e+07,20688.3,198228,71344,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.75061e+07,38900.7,244821,112603,0,3.75061e+07,-8394.39,-20214.9,0,0,0,0,0,0,0,0,0,0,0,0,2.33095e+07,24100.5,205062,75507.2,0,6.23783e+07,1390.06,-19208.4,0,0,0,0,0,0,2.82857e+07,28961.7,213543,86659.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.23693e+07,33344.6,232624,100406,0,3.23693e+07,2136.1,22569,0,0,0,0,0,0,0,0,0,0,0,0,3.31488e+07,36061.5,262448,132893,0,6.68668e+07,2659.02,4010.5,0,0,0,0,0,0,3.04351e+07,33617.4,235312,108428,0,0,
