z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-394310,26436.9,230302,98084.5,0,-394310,1238.21,-83.1663,0,0,0,0,0,0,0,0,0,0,0,0,-317763,26858.1,232706,103151,0,-728502,1288.9,532.714,0,0,0,0,0,0,-89945.2,28491.7,204838,77953.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-848377,24305.2,210845,78627.2,0,-848377,1430.92,-9855.66,0,0,0,0,0,0,0,0,0,0,0,0,-915644,29122.3,207927,78371.8,0,-1.79937e+06,-5359.45,-3586.54,0,0,0,0,0,0,-767681,25141.1,205874,78990.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-671917,42081.2,227441,95223.4,0,-671917,-1600.91,-6534.24,0,0,0,0,0,0,0,0,0,0,0,0,-539022,41888.5,235138,105583,0,-1.23894e+06,4647.77,3122.31,0,0,0,0,0,0,-415811,48232.5,268831,141947,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-429862,27781.9,197797,65579.3,0,-429862,3968.87,10510.5,0,0,0,0,0,0,0,0,0,0,0,0,-579000,41381.2,252586,123031,0,-1.02677e+06,-2930.07,-5061.61,0,0,0,0,0,0,-197240,20503.5,188381,61496.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-644308,36039.1,247166,114948,0,-644308,-6468.51,-29582.7,0,0,0,0,0,0,0,0,0,0,0,0,-363199,19550.2,164227,34671.6,0,-1.03435e+06,323.895,-231.215,0,0,0,0,0,0,-990678,31559.7,228819,101935,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.08941e+06,36953.8,254860,122642,0,-1.08941e+06,4998.32,3103.48,0,0,0,0,0,0,0,0,0,0,0,0,-191831,26133.1,203902,74346.8,0,-1.32663e+06,3234.85,31394.2,0,0,0,0,0,0,-712948,40845.6,291104,164220,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-318870,36385.3,233303,101085,0,-318870,14270.3,11455.7,0,0,0,0,0,0,0,0,0,0,0,0,-245885,56577.7,260797,131242,0,-578041,-2496.87,8379.19,0,0,0,0,0,0,-356903,45191.2,278674,151790,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-714240,27166.5,205753,73534.5,0,-714240,1239.31,17880.9,0,0,0,0,0,0,0,0,0,0,0,0,-1.3167e+06,30004.4,228335,98779.7,0,-2.0607e+06,-478.374,18775.7,0,0,0,0,0,0,-1.49052e+06,30728.1,216372,89488.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-999217,35642.9,235092,102874,0,-999217,12428.5,37079.1,0,0,0,0,0,0,0,0,0,0,0,0,-1.77061e+06,45947.4,262388,132833,0,-2.81147e+06,-7949.96,-1963.31,0,0,0,0,0,0,-962396,31879,218032,91148.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-610023,29921.6,212527,80309,0,-610023,531.663,4375.13,0,0,0,0,0,0,0,0,0,0,0,0,-574004,36586.6,241991,112436,0,-1.20944e+06,-8918.53,-18303.4,0,0,0,0,0,0,-802756,34411.1,236967,110083,0,0,
