z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-523414,37196.9,234325,102107,0,-523414,-9778.13,-27361,0,0,0,0,0,0,0,0,0,0,0,0,-679562,27954.3,200943,71387.5,0,-1.22478e+06,-147.293,8060.12,0,0,0,0,0,0,-2.46797e+06,36078.2,248305,121421,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-966041,32516.6,221750,89532.3,0,-966041,-470.85,-14249.8,0,0,0,0,0,0,0,0,0,0,0,0,-812643,35041.5,238746,109191,0,-1.81894e+06,-6382.39,-21755,0,0,0,0,0,0,-767087,26105.5,186824,59939.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-661754,28490.7,212973,80755,0,-661754,3018.11,24584.8,0,0,0,0,0,0,0,0,0,0,0,0,-742398,35225.4,264111,134556,0,-1.43172e+06,-2569.1,-21178.5,0,0,0,0,0,0,-234391,18942.6,168462,41578.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-477926,29659,195136,62918.5,0,-477926,-1247.56,-6371.16,0,0,0,0,0,0,0,0,0,0,0,0,-1.92545e+06,40438.3,250543,120988,0,-2.42329e+06,2338.6,24144.1,0,0,0,0,0,0,-798836,27784.7,251647,124763,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.01036e+06,21454.2,196230,64011.5,0,-1.01036e+06,-2103.45,-4048.82,0,0,0,0,0,0,0,0,0,0,0,0,-1.40326e+06,28480.1,217731,88175.7,0,-2.45572e+06,384.398,1386.39,0,0,0,0,0,0,-1.22522e+06,27151.6,200444,73559.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-660845,26410.9,225872,93654.2,0,-660845,-6217.61,-18980.3,0,0,0,0,0,0,0,0,0,0,0,0,-1.04794e+06,26578.7,208172,78617.5,0,-1.73632e+06,-2545.39,-6341.28,0,0,0,0,0,0,-2.11363e+06,35180.6,230872,103988,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-764854,32658.1,225554,93336.5,0,-764854,-6882.13,-36764.2,0,0,0,0,0,0,0,0,0,0,0,0,-511507,22419.9,188178,58623.1,0,-1.30823e+06,-8708.38,-12679.4,0,0,0,0,0,0,-1.55123e+06,28492.4,220017,93132.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-504961,29321.1,222306,90087.7,0,-504961,2918.99,9295.61,0,0,0,0,0,0,0,0,0,0,0,0,-477447,35706.7,251356,121801,0,-1.00345e+06,-2698.31,-12718.1,0,0,0,0,0,0,-513687,31261.5,218006,91122.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-691257,43436.3,255542,123324,0,-691257,-9718.53,-27507,0,0,0,0,0,0,0,0,0,0,0,0,-307026,26354.7,207880,78324.7,0,-1.02709e+06,878.432,3866.61,0,0,0,0,0,0,-352080,33089.4,220419,93535,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-853046,27290.9,228251,96033,0,-853046,1015.11,-5800.67,0,0,0,0,0,0,0,0,0,0,0,0,-791672,31882.4,205129,75574.3,0,-1.68026e+06,-789.148,6952.83,0,0,0,0,0,0,-2.17905e+06,36858.5,257710,130826,0,0,
