z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.55012e+07,15686.6,191005,58787.2,0,1.55012e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0056e+07,30221.1,217633,88077.6,0,4.62031e+07,0,0,0,0,0,0,0,0,2.25376e+07,22698.2,205884,79000.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.45893e+07,35020.9,239577,107359,0,3.45893e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.00385e+07,30187.5,187305,57749.7,0,6.60689e+07,0,0,0,0,0,0,0,0,3.37498e+07,33952.8,248715,121831,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.3265e+07,33706,227783,95564.7,0,3.3265e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.28415e+07,43467.9,262656,133101,0,7.74925e+07,0,0,0,0,0,0,0,0,2.6332e+07,26553.6,202566,75682.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.53926e+07,26101.3,205176,72957.7,0,2.53926e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.59763e+07,38488.6,244181,114626,0,6.24269e+07,0,0,0,0,0,0,0,0,2.61512e+07,28914.8,221044,94159.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09809e+07,31960.1,222967,90749.1,0,3.09809e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24013e+07,32911.9,188079,58524.5,0,6.46731e+07,0,0,0,0,0,0,0,0,3.83255e+07,39420.3,230568,103684,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.40637e+07,34390.2,213418,81200.2,0,3.40637e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.32577e+07,23609.2,198413,68858.2,0,5.87408e+07,0,0,0,0,0,0,0,0,2.04229e+07,21064.8,187675,60791.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.57149e+07,27264.5,230392,98173.6,0,2.57149e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.59341e+07,48586.9,250590,121035,0,7.27205e+07,0,0,0,0,0,0,0,0,3.82574e+07,40897.6,256779,129895,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.38036e+07,34429,220850,88631.8,0,3.38036e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.47226e+07,25161.9,209174,79619.5,0,5.99347e+07,0,0,0,0,0,0,0,0,3.64402e+07,36761.8,212319,85435.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.88259e+07,39596.9,203670,71451.9,0,3.88259e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.05434e+07,42283.9,260131,130576,0,8.0987e+07,0,0,0,0,0,0,0,0,3.41872e+07,35338,245298,118414,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.63434e+07,17182.5,218608,86389.5,0,1.63434e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.80344e+07,28567.8,190687,61131.7,0,4.50588e+07,0,0,0,0,0,0,0,0,3.05362e+07,30730.2,200211,73327.5,0,0,
