z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-825632,31489.9,225165,92946.9,0,-825632,16918.6,57113.2,0,0,0,0,0,0,0,0,0,0,0,0,-2.46088e+06,49482,284187,154632,0,-3.32091e+06,1597.83,-14051.9,0,0,0,0,0,0,-847843,39573.9,228254,101370,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.00288e+06,31489.9,225165,92946.9,0,-1.00288e+06,5892.82,-2362.54,0,0,0,0,0,0,0,0,0,0,0,0,-656781,38456.2,224711,95156.2,0,-1.70145e+06,9914.51,17043.1,0,0,0,0,0,0,-1.16308e+06,47396,256163,129279,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-609252,31489.9,225165,92946.9,0,-609252,724.956,-12832.2,0,0,0,0,0,0,0,0,0,0,0,0,-630273,33288.3,214242,84686.5,0,-1.26491e+06,1940.75,-6408.96,0,0,0,0,0,0,-834219,37082.4,226625,99741.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-761662,31489.9,225165,92946.9,0,-761662,-9137.29,-31791.4,0,0,0,0,0,0,0,0,0,0,0,0,-283522,23426.1,195282,65727.3,0,-1.07692e+06,-4047.83,2063.09,0,0,0,0,0,0,-282185,26505,223215,96330.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.00288e+06,31489.9,225165,92946.9,0,-1.00288e+06,-4764.91,-29931.6,0,0,0,0,0,0,0,0,0,0,0,0,-1.07561e+06,27798.4,197142,67587.1,0,-2.12028e+06,-3219.96,-11948.4,0,0,0,0,0,0,-943029,30160,216198,89314,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.15118e+06,31489.9,225165,92946.9,0,-1.15118e+06,-8571.24,-44346.8,0,0,0,0,0,0,0,0,0,0,0,0,-427679,23992.1,182727,53171.9,0,-1.62682e+06,-1837.77,-1821.47,0,0,0,0,0,0,-870225,30630.6,223611,96727.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.15118e+06,31489.9,225165,92946.9,0,-1.15118e+06,-3837.13,1698.72,0,0,0,0,0,0,0,0,0,0,0,0,-798038,28726.2,228772,99217.5,0,-1.99718e+06,-1726.16,8417.78,0,0,0,0,0,0,-358641,28471,229808,102924,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-428907,31489.9,225165,92946.9,0,-428907,2530.86,5739.43,0,0,0,0,0,0,0,0,0,0,0,0,-661680,35094.2,232813,103258,0,-1.10846e+06,1697.1,18303.3,0,0,0,0,0,0,-461658,35850.4,249530,122646,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-902791,31489.9,225165,92946.9,0,-902791,-6364.68,-12345.6,0,0,0,0,0,0,0,0,0,0,0,0,-685075,26198.7,214728,85173.2,0,-1.62548e+06,1643.25,1482.3,0,0,0,0,0,0,-572890,31776.7,222251,95366.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-476460,31489.9,225165,92946.9,0,-476460,-4246.5,32.1221,0,0,0,0,0,0,0,0,0,0,0,0,-726015,28316.9,227106,97550.9,0,-1.22233e+06,8487.16,24268.1,0,0,0,0,0,0,-924454,38600.4,245398,118514,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-706020,31489.9,225165,92946.9,0,-706020,3924.47,700.525,0,0,0,0,0,0,0,0,0,0,0,0,-629390,36487.8,227774,98219.3,0,-1.36483e+06,-3220.92,-6760.83,0,0,0,0,0,0,-648586,32515.5,228181,101297,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-902791,31489.9,225165,92946.9,0,-902791,11509.3,35923,0,0,0,0,0,0,0,0,0,0,0,0,-793880,44072.7,262997,133442,0,-1.73429e+06,4140.67,9036.02,0,0,0,0,0,0,-489064,40906.6,247671,120787,0,0,
