z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25982e+07,34234.9,235908,103690,0,3.25982e+07,-9360.42,-23411.1,0,0,0,0,0,0,0,0,0,0,0,0,2.62412e+07,27369,226080,96525.1,0,6.01977e+07,14093.4,37928.5,0,0,0,0,0,0,4.00688e+07,41456.3,269652,142768,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.21603e+07,32737.9,227293,95074.7,0,3.21603e+07,3141.46,1071.44,0,0,0,0,0,0,0,0,0,0,0,0,3.64313e+07,37365.7,236650,107095,0,6.99315e+07,-3383,-30162.3,0,0,0,0,0,0,3.0684e+07,31010.7,181282,54398.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.99519e+07,20153.9,182463,50244.8,0,1.99519e+07,751.242,8049.04,0,0,0,0,0,0,0,0,0,0,0,0,3.38473e+07,34130.1,239145,109590,0,5.46306e+07,5162.56,15362.2,0,0,0,0,0,0,3.67418e+07,37011.3,241535,114651,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.383e+07,24418.4,204028,71810.1,0,2.383e+07,215.039,7862.01,0,0,0,0,0,0,0,0,0,0,0,0,2.90829e+07,30961.9,247622,118067,0,5.39058e+07,-5216.53,-8656.25,0,0,0,0,0,0,1.98179e+07,22681.1,224439,97554.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.46296e+07,25227.1,216895,84677,0,2.46296e+07,5370.12,-19149.6,0,0,0,0,0,0,0,0,0,0,0,0,3.40968e+07,34271.9,179371,49815.7,0,5.97527e+07,476.953,-6712.4,0,0,0,0,0,0,4.42023e+07,44542.3,255386,128502,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.11572e+07,42166,245787,113569,0,4.11572e+07,4107.93,22241.8,0,0,0,0,0,0,0,0,0,0,0,0,4.17855e+07,43902.1,288340,158785,0,8.46576e+07,-8724.79,-6752.63,0,0,0,0,0,0,2.0545e+07,21764.2,242357,115473,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.76441e+07,28320.5,201857,69639.3,0,2.76441e+07,2426.39,9731.49,0,0,0,0,0,0,0,0,0,0,0,0,3.07729e+07,32482.2,236957,107402,0,5.95688e+07,8148.23,28408,0,0,0,0,0,0,3.74433e+07,38982,259980,133096,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.87767e+07,29820.8,228989,96771.2,0,2.87767e+07,-4800.71,-6582.26,0,0,0,0,0,0,0,0,0,0,0,0,2.38521e+07,24956.7,198965,69410.1,0,5.38278e+07,2738.88,13859.8,0,0,0,0,0,0,3.79302e+07,39233.6,271767,144883,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.78283e+07,38725.5,241708,109490,0,3.78283e+07,-7080.48,-1518.94,0,0,0,0,0,0,0,0,0,0,0,0,2.85303e+07,29540.4,245324,115769,0,6.79348e+07,-138.458,-3828.23,0,0,0,0,0,0,2.0967e+07,21914.6,192675,65791.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.68458e+07,37821.1,242005,109787,0,3.68458e+07,-1698.28,-11464.5,0,0,0,0,0,0,0,0,0,0,0,0,3.35679e+07,34635.4,231462,101907,0,7.1949e+07,2163.34,18877.7,0,0,0,0,0,0,2.83672e+07,29147.4,220167,93282.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.45089e+07,25012.4,193669,61451.5,0,2.45089e+07,-6031.48,-25597.7,0,0,0,0,0,0,0,0,0,0,0,0,3.63672e+07,36851.3,232430,102875,0,6.18973e+07,-6798.44,-30457.2,0,0,0,0,0,0,2.41224e+07,24280.7,186733,59848.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.25392e+07,33243.2,211481,79263.3,0,3.25392e+07,-2527.56,2416.58,0,0,0,0,0,0,0,0,0,0,0,0,3.64457e+07,37359.4,243156,113601,0,7.03406e+07,-5925.66,-2904.43,0,0,0,0,0,0,2.51036e+07,26128.6,223967,97083.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.44669e+07,24951.3,211941,79722.8,0,2.44669e+07,-2487.38,12368.7,0,0,0,0,0,0,0,0,0,0,0,0,2.54816e+07,26077,229633,100078,0,5.0968e+07,-3602.02,2513.13,0,0,0,0,0,0,2.40632e+07,24544,217785,90900.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.49422e+07,35495.9,252205,119987,0,3.49422e+07,-2439.56,734.936,0,0,0,0,0,0,0,0,0,0,0,0,3.20213e+07,32519.5,256641,127086,0,6.84194e+07,-8331.53,-14690.5,0,0,0,0,0,0,2.38814e+07,24154.9,199542,72657.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.30977e+07,33491,230038,97819.9,0,3.30977e+07,-10258.9,-12902.9,0,0,0,0,0,0,0,0,0,0,0,0,1.89723e+07,19160.2,202389,72833.7,0,5.34491e+07,4136.44,4980.55,0,0,0,0,0,0,3.13589e+07,31641.6,247124,120240,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.83081e+07,28627.9,211766,79548.1,0,2.83081e+07,-6483.28,-10814.2,0,0,0,0,0,0,0,0,0,0,0,0,1.88571e+07,19079.6,215781,86225.8,0,4.83447e+07,-3073.04,3066.67,0,0,0,0,0,0,2.26407e+07,22729.3,203697,76813.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.50541e+07,25814.5,210506,78288.1,0,2.50541e+07,-7186.6,-22798.9,0,0,0,0,0,0,0,0,0,0,0,0,1.07407e+07,11076.6,161621,32065.8,0,3.68388e+07,566.706,14909.7,0,0,0,0,0,0,1.95349e+07,20012.6,201497,74612.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.81943e+07,29144.5,230049,97831.2,0,2.81943e+07,-581.007,-9908.72,0,0,0,0,0,0,0,0,0,0,0,0,2.35844e+07,24536.5,211053,81498,0,5.29534e+07,5246.65,6997.02,0,0,0,0,0,0,3.55036e+07,36646.1,235092,108208,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.20758e+07,22372.8,196582,64363.7,0,2.20758e+07,-11528,-22626.2,0,0,0,0,0,0,0,0,0,0,0,0,2.21971e+07,22716.8,223741,94185.7,0,4.51927e+07,1225.4,15756.6,0,0,0,0,0,0,1.43929e+07,14651.9,182650,55766.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.25442e+07,22747.1,182683,50464.7,0,2.25442e+07,-769.035,-8390.23,0,0,0,0,0,0,0,0,0,0,0,0,3.01092e+07,30405,213713,84158.2,0,5.35928e+07,3818.47,8416.6,0,0,0,0,0,0,3.87439e+07,39048,230690,103806,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.60669e+07,37318.1,248182,115964,0,3.60669e+07,4538.08,-1535.86,0,0,0,0,0,0,0,0,0,0,0,0,3.85189e+07,39208.8,229507,99952.4,0,7.60885e+07,-10859.5,-42345,0,0,0,0,0,0,3.43186e+07,34865.8,230342,103458,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.5383e+07,36437.3,229930,97711.7,0,3.5383e+07,-4625.89,-9123.13,0,0,0,0,0,0,0,0,0,0,0,0,2.55989e+07,26103.3,220973,91417.6,0,6.24562e+07,-2128.52,-28701.7,0,0,0,0,0,0,2.26183e+07,23218.4,188623,61738.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.57293e+07,37411,238762,106544,0,3.57293e+07,1482.83,3587.31,0,0,0,0,0,0,0,0,0,0,0,0,3.08849e+07,32451,227958,98402.7,0,6.8103e+07,4019.28,14145,0,0,0,0,0,0,3.28874e+07,35652,221079,94195.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.88289e+07,39643.2,223884,91666.2,0,3.88289e+07,7081.35,6810.12,0,0,0,0,0,0,0,0,0,0,0,0,5.09489e+07,51675.5,234829,105274,0,9.13956e+07,-1897.52,9415.34,0,0,0,0,0,0,3.97395e+07,41130.8,270039,143155,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.90607e+07,29904.6,219110,86891.8,0,2.90607e+07,2864.8,-1500.11,0,0,0,0,0,0,0,0,0,0,0,0,2.69133e+07,27652.9,221508,91952.5,0,5.71848e+07,-2402.62,-15010.4,0,0,0,0,0,0,2.98997e+07,31145.4,201671,74786.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.70484e+07,48265.7,269261,137043,0,4.70484e+07,11963.3,40385.1,0,0,0,0,0,0,0,0,0,0,0,0,4.8258e+07,50437.8,293090,163535,0,9.72667e+07,1272.66,-2124.31,0,0,0,0,0,0,2.93625e+07,30064.6,204926,78042.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.16107e+07,21887.2,200997,68779,0,2.16107e+07,-502.995,-11865.6,0,0,0,0,0,0,0,0,0,0,0,0,1.74163e+07,17693.4,169697,40141.6,0,3.99275e+07,5870.02,22589.1,0,0,0,0,0,0,2.99116e+07,30711.6,244024,117140,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.03125e+07,30981.1,226971,94753.3,0,3.03125e+07,-4933.82,-17256.5,0,0,0,0,0,0,0,0,0,0,0,0,3.577e+07,36621.5,227145,97590,0,6.73455e+07,-177.659,-25182.9,0,0,0,0,0,0,3.65329e+07,37082,197276,70392.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.04695e+07,31100.5,236073,103855,0,3.04695e+07,-9853.56,-14662.3,0,0,0,0,0,0,0,0,0,0,0,0,1.77546e+07,18075.3,197698,68143.3,0,4.94937e+07,9911.14,33844.5,0,0,0,0,0,0,3.48977e+07,35210.8,233770,106886,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.49529e+07,36164.2,230016,97798,0,3.49529e+07,-7513.23,1434.19,0,0,0,0,0,0,0,0,0,0,0,0,2.06291e+07,21454.3,216237,86682.2,0,5.70384e+07,-4176.63,-18801.3,0,0,0,0,0,0,2.1474e+07,22524.3,199806,72922,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.72237e+07,28172.7,239061,106843,0,2.72237e+07,3073.78,11167.5,0,0,0,0,0,0,0,0,0,0,0,0,2.56309e+07,26277.9,223303,93748,0,5.39889e+07,-1918.52,-14255.7,0,0,0,0,0,0,2.29673e+07,23124.3,193665,66780.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.39673e+07,34448.1,251807,119589,0,3.39673e+07,2578.35,20358.4,0,0,0,0,0,0,0,0,0,0,0,0,3.16905e+07,32008.2,232687,103132,0,6.70731e+07,1451.45,3987.04,0,0,0,0,0,0,3.62588e+07,36365.7,219463,92579.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.2328e+07,33711.5,219870,87652.1,0,3.2328e+07,13707.1,36476.3,0,0,0,0,0,0,0,0,0,0,0,0,4.59566e+07,48622.4,251186,121631,0,7.96316e+07,1702.5,-3139.88,0,0,0,0,0,0,3.69513e+07,40145.2,235705,108821,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.10867e+07,31828.6,229891,97672.9,0,3.10867e+07,-720.375,-19560.8,0,0,0,0,0,0,0,0,0,0,0,0,2.25681e+07,23554.5,191533,61978.1,0,5.49501e+07,7042.57,27550.4,0,0,0,0,0,0,3.01801e+07,31554.2,234251,107367,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.03426e+07,30764.4,223641,91423,0,3.03426e+07,-624.522,-2494.32,0,0,0,0,0,0,0,0,0,0,0,0,2.75352e+07,27698.5,216749,87193.9,0,5.9142e+07,2611.68,16339.2,0,0,0,0,0,0,3.01715e+07,30332.6,223583,96699.3,0,0,
