z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-2.48321e+07,33735.4,246974,3.19589e+06,3.19589e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.82674e+07,38346.9,243392,-2.78685e+06,297869,1.82674e+07,5026.55,28560,0,0,0,0,0,0,0,0,0,0,0,0,206660,37292.7,247508,-58799.9,121116,1.92352e+07,1107.29,8119.28,0,0,0,0,0,0,41380.5,35288.8,230401,-17599,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.62498e+07,37532.9,219327,-2.89905e+06,209731,1.62498e+07,-9270.45,-37168.3,0,0,0,0,0,0,0,0,0,0,0,0,7743.64,31778,211176,-1121.92,126988,1.69346e+07,3376.92,17466,0,0,0,0,0,0,112117,30871.1,235208,-18663.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-3.40853e+07,32887.7,216730,3.15901e+06,6.27039e+06,-3.40853e+07,-3934.32,-43738.8,0,0,0,0,0,0,0,0,0,0,0,0,8.16411e+07,21432.8,169246,-6.12477e+06,105932,4.61355e+07,-3098.42,914.157,0,0,0,0,0,0,430695,29189.7,211626,-21189.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.40316e+07,26072.6,209103,3.16373e+06,6.28274e+06,-2.40316e+07,-3928.22,-8405.83,0,0,0,0,0,0,0,0,0,0,0,0,6.38247e+07,30497.2,210047,-6.09281e+06,109434,3.87918e+07,497.878,1398.08,0,0,0,0,0,0,203448,25098.4,202451,-33867.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.01957e+07,23945.3,213625,-2.86211e+06,252376,2.01957e+07,-5256.25,949.722,0,0,0,0,0,0,0,0,0,0,0,0,427174,19916.9,196452,-66662.4,118816,2.14643e+07,-3293.15,24556.3,0,0,0,0,0,0,208202,15832.4,219009,-26691.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.36939e+07,22021.6,184884,3.11928e+06,6.26251e+06,-2.36939e+07,-6402.06,-29835.7,0,0,0,0,0,0,0,0,0,0,0,0,3.35884e+07,23897.2,185378,-6.08775e+06,118934,8.90723e+06,1539.81,15006,0,0,0,0,0,0,12216.1,27745.9,241201,-4616.53,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.17219e+07,32120.2,229143,-2.91582e+06,183142,1.17219e+07,-9028.68,-21932,0,0,0,0,0,0,0,0,0,0,0,0,86096.5,19028.1,179534,-19959.3,113204,1.22964e+07,3105.52,16723.8,0,0,0,0,0,0,-2556.26,36198.6,240961,872.642,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.76696e+07,24836.5,215853,3.37657e+06,6.48883e+06,-2.76696e+07,-5067.03,-33965.4,0,0,0,0,0,0,0,0,0,0,0,0,3.49121e+07,32331.4,187379,-6.32767e+06,103331,6.08959e+06,-5795.53,-14508.2,0,0,0,0,0,0,277069,23132.5,181066,-49148.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.16144e+07,31220.4,222449,-2.88909e+06,216573,1.16144e+07,2652.48,-4336.92,0,0,0,0,0,0,0,0,0,0,0,0,359655,33083.5,196657,-65185.8,84284.3,1.2458e+07,-15941.9,-32395.1,0,0,0,0,0,0,-10732,27215.9,213072,1903.73,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.0046e+07,25986.9,211821,-2.8409e+06,275386,2.0046e+07,2360.15,6700.75,0,0,0,0,0,0,0,0,0,0,0,0,988555,25234.2,207433,-103847,93661.1,2.18698e+07,-2922.72,-5870.02,0,0,0,0,0,0,190485,23570.8,182132,-38412.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.84471e+07,31718.9,223862,-3.10425e+06,0,3.84471e+07,974.525,-13104.2,0,0,0,0,0,0,0,0,0,0,0,0,-1.66535e+06,29353.5,190817,158977,97714.5,3.83837e+07,-3850.21,-13436.6,0,0,0,0,0,0,224494,27727.3,184776,-39822.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.15225e+07,32800.1,239733,-2.86622e+06,222154,1.15225e+07,1150.76,10895.2,0,0,0,0,0,0,0,0,0,0,0,0,95039.4,33437.2,213687,-30851.5,107171,1.20977e+07,1347.34,-3124.31,0,0,0,0,0,0,-4598.81,31707.9,236317,2261.88,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.01128e+07,20335.3,210284,-2.85037e+06,267460,2.01128e+07,2829.49,12854.5,0,0,0,0,0,0,0,0,0,0,0,0,781446,29617.3,213780,-58624.6,124611,2.17323e+07,10954.1,17329.6,0,0,0,0,0,0,-62618.1,46632,255843,4347.69,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-3.06255e+07,26347.6,222512,3.44772e+06,6.55332e+06,-3.06255e+07,9089.2,19306.1,0,0,0,0,0,0,0,0,0,0,0,0,8.46673e+07,34200.6,244169,-6.35179e+06,86910.9,5.27656e+07,-4275.3,-20200.5,0,0,0,0,0,0,446173,27336,182816,-30978.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.87606e+07,30256.2,228212,-2.86209e+06,237807,1.87606e+07,-7410.25,-5396.18,0,0,0,0,0,0,0,0,0,0,0,0,454617,18484.7,209318,-52103.1,105941,1.99969e+07,5765.24,18688.1,0,0,0,0,0,0,-123412,39036.8,248646,15821.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.00239e+07,25178.3,207586,-2.83776e+06,282760,2.00239e+07,1909.12,18152.6,0,0,0,0,0,0,0,0,0,0,0,0,535654,19421.3,217110,-97085,98119.9,2.13939e+07,2650.12,10225.6,0,0,0,0,0,0,-68558.3,35931,237165,12161.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.30784e+07,34620.5,259942,-2.83418e+06,233989,1.30784e+07,4630.51,15765.3,0,0,0,0,0,0,0,0,0,0,0,0,57306.6,31759.1,241354,-16305.1,105885,1.36807e+07,-2345.54,738.779,0,0,0,0,0,0,-4639.61,29745.7,234742,1973.21,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.46552e+07,31778.5,225451,-2.8589e+06,243761,1.46552e+07,2537.5,12175.5,0,0,0,0,0,0,0,0,0,0,0,0,245844,29484.9,228178,-62716.8,82421.3,1.55116e+07,82.8077,-20308.7,0,0,0,0,0,0,269789,18227.7,151210,-58095.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.88045e+07,36354.7,236090,-3.09202e+06,0,4.88045e+07,1857.8,-2128.64,0,0,0,0,0,0,0,0,0,0,0,0,-2.85342e+06,44462.7,251133,244230,122652,4.79846e+07,2424.26,-207.279,0,0,0,0,0,0,112630,33597.2,240735,-8800.83,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.59784e+07,37459.4,235742,-2.85063e+06,241732,1.59784e+07,-3495.81,2069.61,0,0,0,0,0,0,0,0,0,0,0,0,-7450.25,32330.4,244398,2119.78,129010,1.66367e+07,7185.83,23688.1,0,0,0,0,0,0,-27208.9,42599.6,264377,8483.36,0,0,
,,,,,,,,,,,,,,,,,,,,,,,9.04141e+06,32880.4,230205,-2.86622e+06,231684,9.04141e+06,1683.09,29904.2,0,0,0,0,0,0,0,0,0,0,0,0,12855.2,36200.7,274971,-6861.54,79406.8,9.43099e+06,-2683.91,-13853.1,0,0,0,0,0,0,-5880.95,32222.2,211388,5096.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.43884e+07,34296.1,250317,3.21072e+06,6.28851e+06,-2.43884e+07,-2483.26,-8883.22,0,0,0,0,0,0,0,0,0,0,0,0,8.1305e+07,24942,201762,-6.09955e+06,116747,5.59004e+07,3365.47,14299.2,0,0,0,0,0,0,23665,38329.7,241988,-1643.11,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.31876e+07,39065.1,251524,-2.85783e+06,218752,1.31876e+07,-2762.11,-7156.24,0,0,0,0,0,0,0,0,0,0,0,0,18546,26011.8,218464,-6020.35,123822,1.37556e+07,9329.6,27499.7,0,0,0,0,0,0,-44794.6,37946.1,269757,19051,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-2.41413e+07,25149.3,221914,3.17818e+06,6.28437e+06,-2.41413e+07,-1129.32,-2629.96,0,0,0,0,0,0,0,0,0,0,0,0,4.5123e+07,31462.6,228181,-6.06295e+06,122798,1.99759e+07,6351.4,19934.8,0,0,0,0,0,0,7594.03,40557,247664,-2017.46,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.73552e+07,29206,221315,-2.85636e+06,250437,1.73552e+07,578.35,13878.6,0,0,0,0,0,0,0,0,0,0,0,0,299549,25363.3,234581,-54292,91118.6,1.83779e+07,-571.279,-2339.52,0,0,0,0,0,0,70028,26805.5,205580,-12422.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,9.07173e+06,34585.7,250360,-2.87583e+06,201917,9.07173e+06,2246.32,-6534.59,0,0,0,0,0,0,0,0,0,0,0,0,91408.9,37165.4,200517,-29673,101282,9.54113e+06,-792.279,-18870.2,0,0,0,0,0,0,38214.6,34005.7,213724,-14441.4,0,0,
