z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.46994e+07,25196.2,197613,65395.5,0,2.46994e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.3581e+07,34211.5,189743,60187.6,0,5.93095e+07,0,0,0,0,0,0,0,0,2.9276e+07,29898.9,201358,74474.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.12357e+07,32053.4,216403,84185.5,0,3.12357e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.60454e+07,37064.1,216748,87193.1,0,6.85825e+07,0,0,0,0,0,0,0,0,1.69236e+07,17495.2,210586,83702.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.35875e+07,24068.5,218034,85815.9,0,2.35875e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.24189e+07,22810.3,212721,83165.7,0,4.69892e+07,0,0,0,0,0,0,0,0,2.9174e+07,29741.9,257695,130811,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.89636e+07,39568.6,250224,118006,0,3.89636e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67293e+07,37224.3,244315,114760,0,7.73164e+07,0,0,0,0,0,0,0,0,2.25997e+07,22822.8,181997,55112.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.17968e+07,32379.4,208907,76688.7,0,3.17968e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.56974e+07,36487.9,252925,123370,0,6.88191e+07,0,0,0,0,0,0,0,0,2.3519e+07,23748.9,205353,78468.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.17618e+07,42909.1,294815,162597,0,4.17618e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61653e+07,16553.6,194836,65280.9,0,5.96671e+07,0,0,0,0,0,0,0,0,2.36653e+07,23868.1,167781,40896.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.52681e+07,25820.6,210512,78293.6,0,2.52681e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.77322e+07,28728.9,224707,95152.3,0,5.40531e+07,0,0,0,0,0,0,0,0,2.51953e+07,26840.1,207803,80918.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.98859e+07,30708.8,257773,125555,0,2.98859e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.20684e+07,32613.7,202831,73276.1,0,6.31995e+07,0,0,0,0,0,0,0,0,4.56301e+07,47417.2,234177,107293,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.88973e+07,50194.4,252426,120208,0,4.88973e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.35002e+07,54787.7,264804,135249,0,1.04435e+08,0,0,0,0,0,0,0,0,6.61965e+07,67989.6,311380,184496,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.04075e+07,20708.1,207000,74781.6,0,2.04075e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.61142e+07,26536.7,237351,107796,0,4.7372e+07,0,0,0,0,0,0,0,0,2.90114e+07,29204.5,209034,82150.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.50228e+07,26666.5,236355,104137,0,2.50228e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.19168e+07,33091.8,230131,100576,0,5.79822e+07,0,0,0,0,0,0,0,0,3.45826e+07,37103.9,250927,124043,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.45348e+07,36026.4,226718,94499.6,0,3.45348e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.02291e+07,41966.2,259873,130318,0,7.62028e+07,0,0,0,0,0,0,0,0,3.9967e+07,44244,272608,145724,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.49552e+07,35847.9,241160,108942,0,3.49552e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.6433e+07,27341,216238,86683.2,0,6.28446e+07,0,0,0,0,0,0,0,0,3.82624e+07,39431.4,218231,91347.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.98679e+07,20145,220054,87835.8,0,1.98679e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.1662e+07,21868.3,239708,110153,0,4.23577e+07,0,0,0,0,0,0,0,0,3.08481e+07,31060.2,231250,104366,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.55035e+07,46588.2,254329,122111,0,4.55035e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17812e+07,42046,204909,75353.5,0,8.91807e+07,0,0,0,0,0,0,0,0,4.36169e+07,43900.3,247409,120525,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.66648e+07,27213.9,215991,83773.3,0,2.66648e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.70898e+07,17394.1,216137,86582.2,0,4.48656e+07,0,0,0,0,0,0,0,0,1.3036e+07,13163.5,166633,39749,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.95542e+07,20458.2,233989,101771,0,1.95542e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.49298e+06,1763.36,165884,36329.2,0,2.1862e+07,0,0,0,0,0,0,0,0,1.26312e+07,12852.5,181540,54655.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.8249e+07,38925.9,252984,120766,0,3.8249e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87222e+07,49050.9,256941,127386,0,8.85649e+07,0,0,0,0,0,0,0,0,4.01254e+07,40467,233404,106520,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.78688e+07,38360.1,219856,87638.3,0,3.78688e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.03055e+07,41000,237940,108385,0,7.97522e+07,0,0,0,0,0,0,0,0,2.72883e+07,27816.3,204200,77316.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.15862e+07,42978.5,244633,112415,0,4.15862e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41504e+07,44426,276676,147121,0,8.74694e+07,0,0,0,0,0,0,0,0,2.82756e+07,28544.6,228520,101636,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.79268e+07,28651.4,199370,67151.7,0,2.79268e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.95316e+07,40919.7,233693,104138,0,6.8622e+07,0,0,0,0,0,0,0,0,5.09676e+07,53254.2,285647,158763,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.40758e+07,34353.4,201269,69051,0,3.40758e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.63506e+07,36857.1,258768,129213,0,7.18463e+07,0,0,0,0,0,0,0,0,2.6119e+07,26366.6,211420,84536.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.43641e+07,35799.6,280010,147792,0,3.43641e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0711e+07,31881.3,229725,100170,0,6.65069e+07,0,0,0,0,0,0,0,0,2.93938e+07,30196.2,229752,102868,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.57894e+07,26500.6,212283,80065.1,0,2.57894e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15296e+07,32349.1,223466,93911.4,0,5.83936e+07,0,0,0,0,0,0,0,0,2.9371e+07,30318.6,216629,89744.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.90842e+07,29571.1,206497,74279.4,0,2.90842e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.28513e+07,54512.5,254180,124625,0,8.31474e+07,0,0,0,0,0,0,0,0,3.98732e+07,41855,264482,137598,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.66185e+07,16769,169661,37442.5,0,1.66185e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.94874e+07,29758,192281,62726.5,0,4.67983e+07,0,0,0,0,0,0,0,0,2.92827e+07,29696.6,216004,89119.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.34227e+07,33877.2,245294,113076,0,3.34227e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.24337e+07,32620.8,229400,99844.9,0,6.7249e+07,0,0,0,0,0,0,0,0,2.71742e+07,27276.7,215699,88815,0,0,
