z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-3.15329e+06,33735.4,246974,405829,405829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496509,20148.6,239556,-60589.8,237901,496509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,202197,26943.9,214107,-25138.5,128211,719394,0,0,0,0,0,0,0,0,626260,23438.1,200923,-54172,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-92361.3,41526.2,289065,20015.3,268997,-92361.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115274,27672.9,200012,-61528,137012,19064.2,0,0,0,0,0,0,0,0,147949,24232.5,207986,-55910.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,81368.3,39874.8,239859,-12413.5,285775,81368.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33263,45487.2,251713,-9464.14,154153,118022,0,0,0,0,0,0,0,0,103740,28951,236917,-44120.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,128499,33478.9,235955,-31964,270129,128499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360306,40006.2,195722,-48412.5,155549,494159,0,0,0,0,0,0,0,0,197371,48738.7,255367,-27065.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,380816,24642.4,209752,-67939.6,260356,380816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785071,14894.6,184488,-89976,115447,1.18175e+06,0,0,0,0,0,0,0,0,144529,28588.2,216694,-25637.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,844501,18258.4,202355,-86945.6,248746,844501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,301415,11341.5,189899,-76893.4,111509,1.1811e+06,0,0,0,0,0,0,0,0,136183,25377,186928,-51464.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,898715,22746.8,174613,-92527.1,270907,898715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33985.9,37128.9,262841,-2908.92,134712,970147,0,0,0,0,0,0,0,0,356683,33090.8,224895,-36700.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,129048,34422.7,241527,-25174.5,271346,129048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-62312.7,43046.9,263235,5948.48,143614,72112.8,0,0,0,0,0,0,0,0,174679,35041.4,232883,-37614.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,162414,31498.8,229982,-40400.4,267665,162414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,321336,26141.2,221107,-50145.9,125966,490517,0,0,0,0,0,0,0,0,222735,24240,215773,-37077.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,12033.5,40429.1,255765,-2607.75,279675,12033.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103134,30732.6,216202,-55048.3,137979,115669,0,0,0,0,0,0,0,0,448599,27225.7,180047,-84816.5,0,0,
