z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-3.02793e+06,33735.4,246974,389694,389694,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,828517,31489.9,225165,-66895.2,229852,828517,-3499.26,-5617.56,0,0,0,0,0,0,0,0,0,0,0,0,1.35968e+06,29064.1,221456,-62036.8,75914.4,2.22272e+06,-2316.58,-21100.9,0,0,0,0,0,0,2.68827,29002.5,202798,-0.232538,0,0,
,,,,,,,,,,,,,,,,,,,,,,,460338,31489.9,225165,-65238.6,231509,460338,3040.97,-14561.4,0,0,0,0,0,0,0,0,0,0,0,0,1.07986e+06,35604.3,212512,-67854.2,80697.4,1.55938e+06,-2547.69,-29874.2,0,0,0,0,0,0,4.67776,34420.2,207581,-0.159379,0,0,
,,,,,,,,,,,,,,,,,,,,,,,571694,31489.9,225165,-87217,209531,571694,2545.37,-43109.8,0,0,0,0,0,0,0,0,0,0,0,0,136946,35108.7,183964,-29099.4,126022,732460,90.6436,8766.04,0,0,0,0,0,0,7.18207,40169.7,252904,-2.23927,0,0,
,,,,,,,,,,,,,,,,,,,,,,,382620,31489.9,225165,-121295,175453,382620,-12287.3,-50495.8,0,0,0,0,0,0,0,0,0,0,0,0,33620.3,20276.1,176578,-10913.7,117516,432183,16168,23705.4,0,0,0,0,0,0,5.21842,46786.9,244398,-1.97206,0,0,
,,,,,,,,,,,,,,,,,,,,,,,253270,31489.9,225165,-80289.2,216458,253270,-1131.38,-20739.6,0,0,0,0,0,0,0,0,0,0,0,0,59681.7,31432,206334,-31855.4,107824,323505,-3008.79,2764.2,0,0,0,0,0,0,1.76586,31794.5,234706,-1.53043,0,0,
,,,,,,,,,,,,,,,,,,,,,,,581654,31489.9,225165,-65480.7,231267,581654,3407.58,-17750,0,0,0,0,0,0,0,0,0,0,0,0,344582,35970.9,209324,-39492.1,112006,950472,4362.86,-33.9299,0,0,0,0,0,0,-1.62106,41972.8,238890,0.25318,0,0,
,,,,,,,,,,,,,,,,,,,,,,,314695,31489.9,225165,-19937.6,276810,314695,7763.52,31424,0,0,0,0,0,0,0,0,0,0,0,0,735226,40326.9,258498,-46198.7,101669,1.06303e+06,3242.25,-4857.12,0,0,0,0,0,0,2.03967,37938.1,228552,-0.159379,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-81904.4,31489.9,225165,25964.5,322712,-81904.4,24516.1,63945.5,0,0,0,0,0,0,0,0,0,0,0,0,136827,57079.5,291019,-73031.9,88216,51509.6,-15528.4,-38412.3,0,0,0,0,0,0,3.59851,26924.1,215098,-1.53043,0,0,
,,,,,,,,,,,,,,,,,,,,,,,556943,31489.9,225165,-91662.9,205085,556943,-14756.6,-9188.56,0,0,0,0,0,0,0,0,0,0,0,0,282779,17806.8,217885,-65555.2,51199.3,862928,-12320.9,-27487.5,0,0,0,0,0,0,7.80275,11571.8,178081,-2.23927,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.5366e+06,31489.9,225165,-97351.4,199396,1.5366e+06,-11144.5,-29759.6,0,0,0,0,0,0,0,0,0,0,0,0,214259,21418.9,197314,-28788.9,102848,1.81488e+06,8428.97,12553.2,0,0,0,0,0,0,-2.09472,37334.5,229732,0.348699,0,0,
