z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-355043,33735.4,246974,0,0,0,0,0,47354,0.244655,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22317e+07,33621.6,241706,62134.2,0,3.22317e+07,7718.92,27053.8,393260,0,393260,0,0,0,0,0,0,0,0,0,3.7409e+07,36758.3,270613,-252202,0,7.09838e+07,8619.85,16844,0,0,0,0,0,0,3.32788e+07,33442.1,224935,98050.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.62987e+07,26660.2,230805,51233.2,0,2.62987e+07,-1787.65,-32056.8,0.244655,0,0,0,0,0,0,0,0,0,0,0,2.36085e+07,23937.7,199499,69943.6,0,5.1003e+07,-10650.4,-29286.5,0,0,0,0,0,0,2.33422e+07,23474.4,191871,64987,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.68771e+07,27106.2,209710,30138,0,2.68771e+07,-888.43,-7998.72,0.244655,19.4969,0,19.4969,0,0,0,0,0,0,0,0,1.64074e+07,19259.7,200272,70716.5,0,4.44044e+07,-514.374,2907.38,693197,693178,0,0,0,0,2.21664e+07,20533,202811,-617271,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.51263e+07,36432.2,256591,77018.6,0,3.51263e+07,-1185.88,-3856.32,0.244655,366800,0,366800,0,0,0,0,0,0,0,0,3.89285e+07,39144,213045,83490,0,7.55185e+07,328.653,6851.38,366800,0,0,0,0,0,3.61141e+07,35827.7,245457,-248228,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.97683e+07,29962.6,201439,21867.1,0,2.97683e+07,-4703.45,-18596.3,0.244655,10.1904,0,10.1904,0,0,0,0,0,0,0,0,2.34222e+07,24070.1,216606,87050.8,0,5.44308e+07,3220.87,-1559.25,10.1904,0,0,0,0,0,2.10319e+07,21649.7,217357,90463,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.35056e+07,23954,230060,50487.9,0,2.35056e+07,-2386.51,13291.7,0.244655,0,0,0,0,0,0,0,0,0,0,0,1.64587e+07,17297.6,201356,71800.5,0,4.09437e+07,-4508.63,-25696,0,0,0,0,0,0,1.47771e+07,15580.6,166418,39533.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.05139e+07,40999.1,249994,70422.4,0,4.05139e+07,-5115.42,5176.61,0.244655,89710.5,0,89710.5,0,0,0,0,0,0,0,0,2.692e+07,27237.4,219855,90299.9,0,6.9122e+07,-20.0747,-311.881,89710.5,0,0,0,0,0,2.67916e+07,26720.2,194338,-22256,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.90563e+07,29621.3,225195,45623.3,0,2.90563e+07,-1807.01,-11471.2,0.244655,0,0,0,0,0,0,0,0,0,0,0,3.60348e+07,37629.2,229742,100186,0,6.63018e+07,-224.763,-16928.5,0,0,0,0,0,0,3.5718e+07,37294.6,204451,77567,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.09412e+07,32068.6,230414,50842.4,0,3.09412e+07,-7880.32,-21043.2,0.244655,22294.6,0,22294.6,0,0,0,0,0,0,0,0,1.48907e+07,16338.3,195602,66046.5,0,4.71212e+07,-1763.35,141.081,22294.6,0,0,0,0,0,2.05054e+07,21336.6,206895,57716.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.66403e+07,28235.3,222472,42899.7,0,2.66403e+07,5469.63,4745.58,0.244655,115267,0,115267,0,0,0,0,0,0,0,0,3.88054e+07,40011.3,232769,103214,0,6.65558e+07,1775.41,6032.27,115267,0,0,0,0,0,3.93532e+07,39251.3,238679,-3472.22,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.75059e+07,38288.4,242751,63179.3,0,3.75059e+07,2799.47,4690.4,0.244655,0,0,0,0,0,0,0,0,0,0,0,3.53275e+07,37222.2,271698,142143,0,7.43961e+07,8514.09,16719,0,0,0,0,0,0,3.05926e+07,31357.3,211878,84993.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.67985e+07,37289.5,229014,49441.8,0,3.67985e+07,-6534.56,-24803.3,0.244655,1202.94,0,1202.94,0,0,0,0,0,0,0,0,2.76279e+07,28209.3,207668,78112.9,0,6.59598e+07,-2835.44,-7051.42,1202.94,0,0,0,0,0,2.3643e+07,24033.1,189020,60933,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.13633e+07,31681.9,218457,38885.1,0,3.13633e+07,-996.965,-19247.4,0.244655,0,0,0,0,0,0,0,0,0,0,0,2.47421e+07,25373.8,189866,60310.8,0,5.74121e+07,-3428.2,-4224.18,0,0,0,0,0,0,1.79757e+07,18706.7,196120,69235.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.93006e+07,29582.7,219541,39969.4,0,2.93006e+07,-3426.6,157.335,0.244655,0,0,0,0,0,0,0,0,0,0,0,2.24566e+07,22861.2,223352,93796.3,0,5.29781e+07,3588,24947,0,0,0,0,0,0,3.38897e+07,34427.8,235400,108516,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.66138e+07,26918,210891,31318.9,0,2.66138e+07,-2738.43,18809.9,0.244655,0,0,0,0,0,0,0,0,0,0,0,2.54812e+07,26950.5,239778,110223,0,5.3204e+07,-4013.46,862.619,0,0,0,0,0,0,2.00508e+07,21601.5,179719,52835.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.54056e+07,36339,254931,75359.2,0,3.54056e+07,6343.29,16579,0.244655,0,0,0,0,0,0,0,0,0,0,0,3.86972e+07,39624.5,226965,97409.7,0,7.55781e+07,7806.22,24472.6,0,0,0,0,0,0,3.90877e+07,39825.7,257792,130908,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.01515e+07,30409.1,211002,31429.8,0,3.01515e+07,-6840.04,-5125.68,0.244655,0,0,0,0,0,0,0,0,0,0,0,2.61748e+07,26516.9,216838,87282.3,0,5.75826e+07,-2100.75,-263.869,0,0,0,0,0,0,3.485e+07,35343.8,248834,121950,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.1658e+07,34266.3,243480,63908.1,0,3.1658e+07,2294.2,-10296.3,294417,0,294417,0,0,0,0,0,0,0,0,0,4.29048e+07,40513.7,219321,-204651,0,7.58818e+07,-6181.55,-5017.31,0,0,0,0,0,0,3.82305e+07,39942,274932,148048,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.67896e+07,26929.2,188560,8987.86,0,2.67896e+07,1179.96,36431.9,0.244655,2468.94,0,2468.94,0,0,0,0,0,0,0,0,3.31679e+07,34447.3,251693,122137,0,6.10737e+07,755.012,-12658.6,2468.94,0,0,0,0,0,3.02155e+07,30618.7,222221,92868.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.99641e+07,40375.1,247226,67654.5,0,3.99641e+07,8289.83,17681.1,0.244655,0,0,0,0,0,0,0,0,0,0,0,4.18235e+07,42213.5,240516,110961,0,8.34528e+07,-8198.78,-39164.3,0,0,0,0,0,0,3.88855e+07,39219.4,203790,76905.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.35705e+07,33771.9,229668,50095.9,0,3.35705e+07,-3828.63,-14585.4,0.244655,0,0,0,0,0,0,0,0,0,0,0,2.97985e+07,29988.5,203198,73642.4,0,6.47678e+07,1552.5,17084.1,0,0,0,0,0,0,3.66543e+07,37352.4,250723,123839,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.56459e+07,37159.7,236159,56587.2,0,3.56459e+07,9377.11,33866.7,0.244655,108789,0,108789,0,0,0,0,0,0,0,0,4.22928e+07,44359.6,259428,129873,0,7.94239e+07,-1250.17,-2113.68,108789,0,0,0,0,0,4.15123e+07,41887.9,268163,32490,0,0,
