z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.77336e+07,38614.8,266659,134441,0,3.77336e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.57013e+07,15856.8,212544,82988.8,0,5.50071e+07,0,0,0,0,0,0,0,0,1.88656e+07,18934.2,168075,41191.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.90648e+07,41986.4,250102,117884,0,3.90648e+07,0,0,69937.8,0,69937.8,0,0,0,0,0,0,0,0,0,4.78659e+07,50259.3,270998,71505.6,0,8.85584e+07,0,0,39393.3,39393.3,0,0,0,0,4.1906e+07,43955.8,236118,69840.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.9488e+07,20287.4,206308,74089.9,0,1.9488e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.2998e+07,33492.6,244207,114652,0,5.3298e+07,0,0,0,0,0,0,0,0,2.79341e+07,28307.6,197488,70603.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.94852e+07,30849.9,258705,126487,0,2.94852e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.91352e+07,21333.9,229873,100318,0,4.98489e+07,0,0,0,0,0,0,0,0,1.8873e+07,20226.6,208148,81264.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.836e+07,29015.1,240041,107823,0,2.836e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.67763e+07,37964.6,231267,101712,0,6.63179e+07,0,0,0,0,0,0,0,0,4.03116e+07,41494.2,229182,102298,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.01546e+07,30653.1,214271,82053,0,3.01546e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.79037e+07,38295.6,229523,99968.4,0,6.93147e+07,0,0,0,0,0,0,0,0,3.36074e+07,33966.8,262711,135827,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.73325e+07,29698.3,243886,111668,0,2.73325e+07,0,0,209233,98.164,209233,98.164,0,0,0,0,0,0,0,0,3.06141e+07,29183.5,202218,-136569,0,5.90855e+07,0,0,98.164,0,0,0,0,0,1.89623e+07,19226.8,173890,46907.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.15882e+07,42601.7,225063,92845,0,4.15882e+07,0,0,91183.1,0,91183.1,0,0,0,0,0,0,0,0,0,3.61201e+07,36404,247834,27095.5,0,7.94411e+07,0,0,0,0,0,0,0,0,3.06227e+07,31662.1,225324,98440,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.70916e+07,30134.5,229683,97464.6,0,2.70916e+07,0,0,421825,0,421825,0,0,0,0,0,0,0,0,0,2.95848e+07,28014.8,217769,-333612,0,5.78052e+07,0,0,0,0,0,0,0,0,2.66552e+07,27467,253663,126779,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.96992e+07,30806.5,221627,89408.8,0,2.96992e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.51707e+07,25845.7,200465,70909.6,0,5.61073e+07,0,0,0,0,0,0,0,0,2.76497e+07,28089.2,195522,68638.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.29151e+07,17470.2,191750,59531.7,0,1.29151e+07,0,0,976282,0,976282,0,0,0,0,0,0,0,0,0,2.70043e+07,18899.3,176933,-928904,0,4.04575e+07,0,0,0,0,0,0,0,0,2.11281e+07,21559.9,226341,99457.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11871e+07,33051.4,197662,65444.5,0,3.11871e+07,0,0,0,435374,0,435374,0,0,0,0,0,0,0,0,2.75525e+07,28027,215560,86004.5,0,6.00391e+07,0,0,435374,0,0,0,0,0,3.11658e+07,28464.5,215962,-346296,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.24782e+07,23210.1,178556,46338.5,0,2.24782e+07,0,0,0,29.0971,0,29.0971,0,0,0,0,0,0,0,0,3.09179e+07,33328.6,252133,122578,0,5.43328e+07,0,0,87732,87702.9,0,0,0,0,2.15965e+07,21518.8,205337,-9278.92,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.05151e+07,31792.1,249707,117489,0,3.05151e+07,0,0,0,41809.5,0,41809.5,0,0,0,0,0,0,0,0,3.63592e+07,36713.5,230358,100803,0,6.81458e+07,0,0,41809.5,0,0,0,0,0,3.14246e+07,31541.8,218508,49814.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.5911e+07,46691.5,227462,95244.3,0,4.5911e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.57925e+07,46611.9,257424,127869,0,9.36165e+07,0,0,0,0,0,0,0,0,3.60532e+07,36270.4,233730,106846,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.51311e+07,27068.6,203504,71286.1,0,2.51311e+07,0,0,0,119261,0,119261,0,0,0,0,0,0,0,0,2.78131e+07,29542.7,229852,100297,0,5.39914e+07,0,0,222171,102909,0,0,0,0,3.52605e+07,34460.6,246518,-102537,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.69367e+07,27575.5,210178,77960.4,0,2.69367e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.07121e+07,34460.5,256547,126992,0,5.87711e+07,0,0,438871,438871,0,0,0,0,2.73798e+07,25178.3,221933,-343822,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.8731e+07,19157.6,197300,65081.7,0,1.8731e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0387e+07,30917.7,212382,82827.5,0,4.98984e+07,0,0,0,0,0,0,0,0,4.91317e+07,50453.9,262929,136045,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.82186e+07,28685.5,223298,91080.1,0,2.82186e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.84544e+07,28690.1,206046,76491.4,0,5.78488e+07,0,0,0,0,0,0,0,0,2.0911e+07,21034.1,200740,73856.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.53571e+07,15910.9,167301,35083.3,0,1.53571e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.78137e+07,29863.6,223083,93528.4,0,4.38107e+07,0,0,0,0,0,0,0,0,3.26254e+07,35755,233515,106631,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.89171e+07,30921,200158,67939.7,0,2.89171e+07,0,0,145358,0,145358,0,0,0,0,0,0,0,0,0,1.75857e+07,16720.3,184007,-90906.1,0,4.77076e+07,0,0,0,0,0,0,0,0,2.56853e+07,25940.2,185610,58725.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.55127e+07,27218.8,216912,84694.2,0,2.55127e+07,0,0,95401.1,0,95401.1,0,0,0,0,0,0,0,0,0,3.13623e+07,31400.2,228571,3615.28,0,5.7938e+07,0,0,0,0,0,0,0,0,3.04652e+07,31443,219491,92607.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.67498e+07,38209.8,250027,117809,0,3.67498e+07,0,0,0,74.5152,0,74.5152,0,0,0,0,0,0,0,0,4.27476e+07,44382.7,232296,102741,0,8.10287e+07,0,0,74.5152,0,0,0,0,0,2.87206e+07,29063.6,200838,73879.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.65481e+07,29456.9,244768,112550,0,2.65481e+07,0,0,0,237305,0,237305,0,0,0,0,0,0,0,0,3.71843e+07,37954.6,259046,129491,0,6.48385e+07,0,0,237305,0,0,0,0,0,3.58935e+07,34480.1,195194,-168994,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.4359e+07,25160.8,222400,90181.8,0,2.4359e+07,0,0,0,89.8535,0,89.8535,0,0,0,0,0,0,0,0,2.71729e+07,30389,231826,102271,0,5.25469e+07,0,0,181975,181885,0,0,0,0,2.9174e+07,27431.2,223118,-85740.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.93271e+07,39932.1,240124,107906,0,3.93271e+07,0,0,0,34.3736,0,34.3736,0,0,0,0,0,0,0,0,2.67933e+07,27592.7,213523,83968.1,0,6.77591e+07,0,0,34.3736,0,0,0,0,0,3.29281e+07,33794.6,238010,111092,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.06527e+07,33361.7,208628,76409.8,0,3.06527e+07,0,0,533096,0,533096,0,0,0,0,0,0,0,0,0,4.02891e+07,38400.2,224766,-437885,0,7.2219e+07,0,0,0,0,0,0,0,0,4.06323e+07,41147.7,274801,147917,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.63649e+07,37266.8,223926,91708,0,3.63649e+07,0,0,0,61408,0,61408,0,0,0,0,0,0,0,0,4.2462e+07,43960.4,241965,112410,0,8.03421e+07,0,0,61408,0,0,0,0,0,4.34527e+07,43906.9,238781,50489.4,0,0,
