z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.21767e+07,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.68613e+06,0,-6.82024e+06,32756.2,252126,119908,0,-6.82024e+06,-183.881,3090.03,0,0,0,0,0,0,0,0,0,8.27799e+06,0,0,1.62302e+07,33616.1,241023,8.38946e+06,0,9.12579e+06,11346.5,16948,146959,146959,0,0,0,0,236383,26814.2,200142,-73701,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-5.17593e+06,30723.9,230805,98587.2,0,-5.17593e+06,3065.97,22923.1,162406,142435,162406,142435,0,0,0,0,0,7.65795e+06,0,1.29945e+06,9.49107e+06,36256.4,238411,7.6044e+06,0,4.09948e+06,-9922.66,-21641.8,142435,0,0,0,20194.5,0,396672,35077.4,216883,-32241.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.38436e+06,35806.1,249180,116962,0,2.38436e+06,-2240.99,10159.6,270476,0,270476,0,0,0,0,0,0,0,0,0,-240306,38659.7,271287,-128744,0,2.2434e+06,-2721.99,14064.2,144850,144850,0,0,0,0,393075,24474.7,252396,-19338.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,7.78964e+06,35204.7,236521,104303,0,7.78964e+06,4317.63,11394.5,145491,131867,145491,131867,0,0,0,0,0,0,0,0,12322.9,39228,251773,-23273.2,0,8.12653e+06,-7326.54,-36167.5,131867,0,0,0,22378,0,357951,25250.5,168756,-67617.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-3.20376e+06,35782.9,235561,103343,0,-3.20376e+06,-5018.95,10699.2,0,0,0,0,0,0,259512,0,0,8.28527e+06,0,57387,2.81107e+07,22983.5,227187,8.3829e+06,0,2.47734e+07,-12005.5,-39163.1,74662,74662,0,0,0,0,80901.7,12518.1,170973,-30573.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-1.05101e+07,25216.7,191689,59471.4,0,-1.05101e+07,-10429.9,-23159,604971,0,604971,0,0,0,0,0,0,5.2721e+06,0,5.21283e+06,4.37926e+07,20517.4,195709,4.73329e+06,0,3.28446e+07,-8253.46,-33536,82078.4,82078.4,0,0,0,0,41770.3,27174.3,191198,-17764.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.58057e+06,32176.2,210457,78239.1,0,3.58057e+06,-7648.65,-35216.1,99868.8,134628,99868.8,134628,0,0,0,0,0,0,0,0,91395.1,32713.7,207489,-21934.5,0,3.82115e+06,5359.75,12788,147480,12851.8,0,0,0,0,448978,39473,252274,-22089.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.0777e+07,37479.6,248226,116008,0,1.0777e+07,-13208.4,-18135.4,69467,118362,69467,118362,0,0,0,0,0,0,0,0,-362522,25921.9,230051,31029,0,1.08635e+07,-4095.73,-24368.6,118362,0,0,0,0,0,310727,22416.2,182585,-62660.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.555e+06,40125.5,228694,96475.5,0,4.555e+06,-2797.77,-23457.1,262463,0,262463,0,0,0,0,0,0,0,0,0,-23060.2,38292.9,235060,-156958,0,4.72173e+06,6043.84,24480.3,160459,160459,0,0,0,0,110586,43557.4,278702,-8641.14,0,0,
,,,,,,,,,,,,,,,,,,,,,,,6.06411e+06,32696.5,233111,100893,0,6.06411e+06,4056.94,28590.3,155061,135244,155061,135244,0,0,0,0,0,0,0,0,123227,35329.6,266763,-17853.4,0,6.44001e+06,-3290.81,-6579.11,135244,0,0,0,0,0,143784,29791.9,220864,-41263.9,0,0,
