z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-2.96725e+07,33735.4,246974,0,0,0,0,0,781406,0.0545277,0,0,0,0,0,0,0,0,0,0,0,7.20893e+06,0,1.37264e+07,30992.5,234981,-678644,0,1.37264e+07,0,0,256396,0,256396,0,0,0,0,0,0,7.84122e+06,0,519347,4.76623e+06,35891.2,225662,7.68093e+06,0,1.90645e+07,0,0,146336,146336,0,0,0,0,238667,37764.1,214275,-58945.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.13216e+07,25407,202982,-710642,0,2.13216e+07,0,0,249037,0,249037,0,0,0,0,0,0,0,0,0,-209305,51915.7,241523,-137069,0,2.20007e+07,0,0,170976,170976,0,0,0,0,804700,39740.8,234981,-62878.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.72687e+07,33063.7,256724,-656901,0,2.72687e+07,0,0,87470.2,136411,87470.1,136411,0,0,0,0,0,0,0,0,-159198,38861.7,237193,20167.9,0,2.82457e+07,0,0,150541,14130.2,0,0,0,0,72263.8,35649.7,256686,-20738.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.03334e+07,45703.6,263947,-649678,0,2.03334e+07,0,0,270007,0,270007,0,0,0,0,0,0,0,0,0,466051,33855,238343,-161219,0,2.16466e+07,0,0,143320,143320,0,0,0,0,531062,40672.2,252110,-18094.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.69488e+07,30547.2,232892,-680733,0,2.69488e+07,0,0,0.0545277,0,0,0,0,0,0,0,0,0,0,0,-5.19421e+06,31791.3,226789,97234,0,2.28775e+07,0,0,142039,142039,0,0,0,0,593734,27961.5,233276,-35646.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.5834e+07,44750.9,246387,-667237,0,2.5834e+07,0,0,272565,0,272565,0,0,0,0,0,0,0,0,0,227082,34625.4,244370,-157751,0,2.71375e+07,0,0,137847,137847,0,0,0,0,381446,33580,225482,-39248.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.01662e+07,33581.5,250279,-663346,0,1.01662e+07,0,0,469580,0,469580,0,0,0,0,0,0,6.51067e+06,0,2.74395e+06,4.98947e+06,30331.7,236112,6.14764e+06,0,1.55792e+07,0,0,132270,132270,0,0,0,0,814280,20026.8,202617,-56536.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.55998e+07,22977.5,194483,-719142,0,1.55998e+07,0,0,0.0545277,0,0,0,0,0,300126,0,0,7.62811e+06,0,491776,-621515,24420.2,228928,7.72748e+06,0,1.56283e+07,0,0,124424,124424,0,0,0,0,337426,35106.8,216589,-34719.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.20667e+07,41174.5,226563,-687061,0,2.20667e+07,0,0,140680,148998,140680,148998,0,0,0,0,0,0,0,0,153382,40337.7,227665,-42570.5,0,2.31395e+07,0,0,156257,7259.45,0,0,0,0,206183,39876.1,244158,-38983,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.58962e+07,41814.8,246883,-666741,0,2.58962e+07,0,0,118146,145858,118146,145858,0,0,0,0,0,0,0,0,91385.6,38815.4,229115,-18586.1,0,2.70666e+07,0,0,149146,3288.74,0,0,0,0,451072,38477.2,233309,-42720.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.71487e+07,36742.4,270545,-643080,0,2.71487e+07,0,0,223864,0,223864,0,0,0,0,0,0,0,0,0,-247999,39383.4,267015,-86404.3,0,2.80319e+07,0,0,142687,142687,0,0,0,0,230144,24702.3,212731,-56840.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.20677e+07,19933.9,179054,-734570,0,2.20677e+07,0,0,250810,0,250810,0,0,0,0,0,0,0,0,0,-108871,36582.9,263254,-117111,0,2.28783e+07,0,0,136915,136915,0,0,0,0,557432,18729,187357,-76441.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.36013e+07,44339.4,263956,-649668,0,2.36013e+07,0,0,139825,139714,139825,139714,0,0,0,0,0,0,0,0,301558,34159.9,237701,-31678.5,0,2.48862e+07,0,0,139714,0,0,0,0,0,45049.9,36904.3,260823,-5775.34,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.37638e+07,35869.2,223011,-690613,0,1.37638e+07,0,0,126357,146910,126357,146910,0,0,0,0,0,7.84914e+06,0,503811,1.12384e+07,42259,237638,7.83087e+06,0,2.55756e+07,0,0,155859,8948.68,0,0,0,0,300935,40587.9,225845,-56897.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.20246e+07,38339.3,240515,-673109,0,2.20246e+07,0,0,276333,0,276333,0,0,0,0,0,0,0,0,0,155568,39223.2,236616,-169273,0,2.30978e+07,0,0,147095,147095,0,0,0,0,716258,33938.6,230976,-43002.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.39103e+07,19273.2,177092,-736532,0,1.39103e+07,0,0,256234,0,256234,0,0,0,0,0,0,7.79859e+06,0,588182,2.10098e+07,32693.8,250421,7.66322e+06,0,3.54997e+07,0,0,136493,136493,0,0,0,0,294961,29048.4,195436,-67941,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.43995e+07,35828.8,254134,-659490,0,1.43995e+07,0,0,0.0545277,0,0,0,0,0,0,0,0,7.89553e+06,0,0,9.18425e+06,31499.7,208013,7.97399e+06,0,2.41837e+07,0,0,144061,144061,0,0,0,0,419697,34573.3,224295,-46650.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.4313e+07,30572.6,233012,-680612,0,1.4313e+07,0,0,18114.6,0,18114.5,0,0,0,0,0,0,7.92798e+06,0,0,1.56652e+07,25630.5,232846,8.01315e+06,0,3.05746e+07,0,0,129962,129962,0,0,0,0,34471.5,37931.4,236156,-20689.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.40613e+07,34937.9,258429,-655196,0,1.40613e+07,0,0,200722,0,200722,0,0,0,0,0,0,8.14696e+06,0,0,3.35584e+07,27241.8,233452,8.05014e+06,0,4.82055e+07,0,0,132328,132328,0,0,0,0,20327.1,29258.2,241595,-17617.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,9.45554e+06,38784.4,247862,-665763,0,9.45554e+06,0,0,526714,0,526714,0,0,0,0,0,0,6.33035e+06,0,3.07742e+06,9.98318e+06,27783.8,218638,5.89272e+06,0,1.98327e+07,0,0,132544,132544,0,0,0,0,134118,29532.2,235637,-23791,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.43148e+07,18594.3,210059,-703566,0,2.43148e+07,0,0,237554,0,237554,0,0,0,0,0,0,0,0,0,87893,32192.3,220335,-146773,0,2.54158e+07,0,0,137390,137390,0,0,0,0,356941,32270.3,233399,-30875.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.72062e+07,27586.4,216585,-697039,0,2.72062e+07,0,0,0.0545277,0,0,0,0,0,0,0,0,0,0,0,-5.41445e+06,30493.1,244786,115231,0,2.29254e+07,0,0,136673,136673,0,0,0,0,384838,32512.4,236837,-26720,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.22936e+07,28955,232181,-681443,0,1.22936e+07,0,0,349197,0,349197,0,0,0,0,0,0,7.44932e+06,0,1.25914e+06,3.62015e+07,18343.4,162061,7.13263e+06,0,4.90074e+07,0,0,137181,137181,0,0,0,0,122530,28631.7,203800,-60265.4,0,0,
