z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-0,33735.4,246974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.62672e+07,37257.3,262562,130344,0,3.62672e+07,5174.77,11382.9,0,0,0,0,0,0,0,0,0,0,0,0,2.72381e+07,28362.2,214635,85079.9,0,6.50164e+07,-3999.29,4163.48,82063.6,82063.6,0,0,0,0,7.40803e+06,7290.92,177833,-31114.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.6133e+07,38651.7,252361,120143,0,3.6133e+07,2929.44,18741.3,345304,186706,345304,186706,0,0,0,0,0,0,0,0,3.79783e+07,37423.1,245575,-229285,0,7.56168e+07,-1179.59,13963.4,236666,49960,0,0,0,0,2.79535e+07,27667.6,241930,-121620,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.83528e+07,40533.9,246474,114256,0,3.83528e+07,-2313.22,-15755,595072,0,595072,0,0,0,0,0,0,0,0,0,2.83038e+07,27308.8,212765,-511862,0,6.82546e+07,-9709.07,-19543.4,239338,239338,0,0,0,0,2.90653e+07,28249.5,221510,-144712,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.54111e+07,36333.1,236019,103801,0,3.54111e+07,2409.52,-12551.1,0,0,0,0,0,0,0,0,0,0,0,0,2.60913e+07,26660.8,171859,42303.7,0,6.29778e+07,660.886,7580.37,40989.1,40989.1,0,0,0,0,4.19997e+07,42415.5,246485,78611.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.39204e+07,36701.4,227849,95631,0,3.39204e+07,6147.06,7391.69,621718,0,621718,0,0,0,0,0,0,0,0,0,5.04812e+07,49458.7,261144,-490129,0,8.58149e+07,-3123.43,-19346.4,204356,204356,0,0,0,0,3.612e+07,35752.5,216634,-114606,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.69422e+07,37809.4,246385,114167,0,3.69422e+07,8759.16,19976.9,0,0,0,0,0,0,0,0,0,0,0,0,3.91255e+07,40128.6,236242,106687,0,7.76069e+07,1347.49,3325.16,222573,222573,0,0,0,0,3.71746e+07,36799.5,263051,-86406.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.66475e+07,38107.3,250084,117866,0,3.66475e+07,-3163.22,-32954.1,0,0,0,0,0,0,0,0,0,0,0,0,2.92835e+07,30686,188407,58852.2,0,6.7458e+07,4361.91,3256.69,5296.15,5296.15,0,0,0,0,4.53424e+07,47305.6,250044,117864,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.72563e+07,28807.7,216792,84573.7,0,2.72563e+07,-6284.78,-21327.1,220318,40486.7,220318,40486.7,0,0,0,0,0,0,0,0,2.98816e+07,29804.2,228162,-121711,0,5.82737e+07,832.505,18614.6,123303,82816.3,0,0,0,0,3.36935e+07,33723.4,260393,10206.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.07678e+07,31625.5,228770,96552.3,0,3.07678e+07,135.071,7790.03,0,0,0,0,0,0,0,0,0,0,0,0,3.33685e+07,34841.8,228705,99150.4,0,6.54183e+07,5131.8,23684.3,71238.9,71238.9,0,0,0,0,3.31786e+07,33552.4,246047,47924.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.68835e+07,37537.7,232028,99810.3,0,3.68835e+07,3539.47,25848,0,0,0,0,0,0,0,0,0,0,0,0,4.36644e+07,44496.3,258195,128640,0,8.20847e+07,-6087.5,-12848.5,34945.7,34945.7,0,0,0,0,3.7214e+07,37543.1,237617,75787.2,0,0,
