z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-2.72753e+06,33735.4,246974,0,0,0,0,0,354103,10010.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.34457e+07,31489.9,225165,-261156,0,3.34457e+07,6848.48,10652.7,62305.7,31648.6,52294.9,31648.6,0,0,0,0,0,0,0,0,3.85516e+07,39411.8,237726,45865.7,0,7.33908e+07,-16002,-50444.3,59994.3,28345.7,0,0,0,0,2.05705e+07,20570.5,186878,-0.17031,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.37018e+07,31489.9,225165,-261156,0,3.37018e+07,5357.5,-39067.6,44138.8,0,34127.9,0,0,0,0,0,0,0,0,0,3.62157e+07,37920.9,188006,14312.4,0,7.13218e+07,6682.48,31112.7,152115,152115,0,0,0,0,4.82352e+07,48235.2,278999,-0.17031,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.22444e+07,31489.9,225165,-261156,0,3.22444e+07,467.176,-1270.15,141319,29813.3,131308,29813.3,0,0,0,0,0,0,0,0,3.27386e+07,33030.5,225804,-45070.4,0,6.63265e+07,7285.46,43932.2,146591,116777,0,0,0,0,4.0847e+07,40847,273475,0.250551,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.28817e+07,31489.9,225165,-261156,0,3.28817e+07,-6306.1,-19134.8,89495.2,0,79484.3,0,0,0,0,0,0,0,0,0,2.59737e+07,26257.3,207939,-11111.2,0,6.02254e+07,-9369.12,-11788.9,83986.6,83986.6,0,0,0,0,2.16274e+07,21627.4,210871,0.250551,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.12663e+07,31489.9,225165,-261156,0,3.12663e+07,-1377.47,8385.57,311455,27243.1,301444,27243.1,0,0,0,0,0,0,0,0,3.16672e+07,31185.9,235459,-205551,0,6.42363e+07,7404.8,16531,113486,86242.8,0,0,0,0,3.85093e+07,38509.3,240369,-1.25806,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.37018e+07,31489.9,225165,-261156,0,3.37018e+07,5357.5,-39067.6,44138.8,0,34127.9,0,0,0,0,0,0,0,0,0,3.64232e+07,37920.9,188006,14312.4,0,7.15292e+07,859.016,13726.2,134728,134728,0,0,0,0,4.24118e+07,42411.8,261612,-0.17031,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.22714e+07,31489.9,225165,-261156,0,3.22714e+07,4255.52,14049.2,139560,36179.3,129549,36179.3,0,0,0,0,0,0,0,0,3.69178e+07,36818.9,241123,-27992,0,7.05339e+07,-15918.8,-53879.1,51223.2,15043.9,1.11691,0,0,0,1.84322e+07,18432.2,178108,-0.175671,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.40307e+07,31489.9,225165,-261156,0,3.40307e+07,1217.44,25680.2,18620.5,18044,8609.61,18044,0,0,0,0,0,0,0,0,3.03938e+07,33780.8,252754,104579,0,6.58424e+07,9233.6,32485.8,129320,111276,0,0,0,0,4.00552e+07,40055.2,256204,0.0128725,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.26874e+07,31489.9,225165,-261156,0,3.26874e+07,-9075.5,-6228.01,121470,8375.74,111460,8375.74,0,0,0,0,0,0,0,0,2.30992e+07,23487.9,220846,-30179.7,0,5.71485e+07,-178.012,1366.12,88996,80620.2,0,0,0.373916,0,2.73222e+07,27322.2,215880,0.198244,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.20254e+07,31489.9,225165,-261156,0,3.20254e+07,-10170.3,-1814.48,180024,0,170013,0,0,0,0,0,0,0,0,0,2.25284e+07,22393.1,225259,-84319.7,0,5.58881e+07,-7517.4,-22162.1,62429.2,62429.2,0,0,1.11691,0,1.8684e+07,18684,189313,0.941241,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.14686e+07,31489.9,225165,-261156,0,3.14686e+07,-2342.23,4247.08,269742,14998.4,259731,14998.4,0,0,0,0,0,0,0,0,3.10883e+07,30221.1,231321,-167976,0,6.38681e+07,-1103.52,5447.85,101842,86843.3,0,0,0,0,2.98286e+07,29828.6,228726,-0.17031,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.23021e+07,31489.9,225165,-261156,0,3.23021e+07,-3458.13,2235.97,145269,16224,135258,16224,0,0,0,0,0,0,0,0,2.87681e+07,29105.2,229310,-45514.2,0,6.24162e+07,9509.15,26596.2,121610,105386,0,0,1.11691,0,3.99058e+07,39905.8,248494,0.941241,0,0,
