z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.22338e+06,33735.4,246974,0,0,0,0,0,163169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.69299e+07,26609.1,213801,-81586.8,0,2.69299e+07,8263.1,21517.1,0,1926.7,0,1926.7,0,0,0,0,0,0,0,0,3.74443e+07,39271.5,219452,89896.9,0,6.54963e+07,-3060.87,-12344.3,107495,105568,0,0,0,0,3.67307e+07,36770.5,238811,4431.72,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.88308e+07,28546.9,223807,-71580.8,0,2.88308e+07,-755.864,6067.68,0,35986,0,35986,0,0,0,0,0,0,0,0,2.83155e+07,29891.1,240374,110819,0,5.83476e+07,4369.38,39028.4,123260,87273.9,0,0,0,0,3.55587e+07,35763.5,271216,21072.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.16304e+07,31417.4,227859,-67528.8,0,3.16304e+07,-9689.57,-31045.2,0,0,0,0,0,0,0,0,0,0,0,0,1.74624e+07,17724.2,196335,66779.6,0,5.04108e+07,4655.37,6480.03,0,0,0,0,0,0,2.91043e+07,29470.5,224165,97281.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.03367e+07,32149.6,233557,-61830.1,0,3.03367e+07,1141.32,20201,181839,0,181839,0,0,0,0,0,0,0,0,0,4.07257e+07,39460.1,253648,-57745.8,0,7.23264e+07,-8179.36,-54048.8,0,0,0,0,0,0,2.67372e+07,27856.3,194071,67187.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.59482e+07,26469.4,213092,-82295.3,0,2.59482e+07,-2929.93,-18529.7,141459,0,141459,0,0,0,0,0,0,0,0,0,1.95825e+07,19240.3,180479,-90535.4,0,4.66119e+07,-2984,-26384.1,59751.4,59751.4,0,0,0,0,2.13951e+07,21077.2,175804,-10831.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.84755e+07,38702.8,251658,-43729,0,3.84755e+07,-942.677,-7856.88,84203.5,0,84203.5,0,0,0,0,0,0,0,0,0,3.6464e+07,37449.9,253780,40021.6,0,7.65427e+07,-717.085,13654.7,84288.3,84288.3,0,0,0,0,4.23567e+07,42755.9,269641,58468.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.52527e+07,35570.5,249083,-46304.3,0,3.52527e+07,-1112.94,9905.03,8528.57,89484.1,8528.57,89484.1,0,0,0,0,0,0,0,0,2.16149e+07,22558.1,201957,63873.9,0,5.83364e+07,426.248,17371.1,106984,17499.6,0,0,0,0,2.84346e+07,28442.3,234722,854.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.21473e+07,24199.3,234701,-60686.1,0,2.21473e+07,7151.6,24827.1,237767,0,237767,0,0,0,0,0,0,0,0,0,2.48111e+07,24303.2,203212,-164110,0,4.78812e+07,-450.259,-3009.61,104625,104625,0,0,0,0,2.47125e+07,24709.5,230936,-572.843,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.35602e+07,23216.1,208592,-86795.8,0,2.35602e+07,-847.549,-996.359,0,1297.98,0,1297.98,0,0,0,0,0,0,0,0,2.20121e+07,22758.4,219761,90206.3,0,4.6554e+07,8417.45,36602.9,105778,104480,0,0,0,0,4.39607e+07,44152.8,274037,41375.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.54232e+07,25069.9,218838,-76549.5,0,2.54232e+07,7445.93,23253.9,0,0,0,0,0,0,0,0,0,0,0,0,2.66169e+07,26893.2,219274,89718.5,0,5.30993e+07,-4633.96,-16899.7,0,0,0,0,0,0,2.30408e+07,23306.4,203094,76209.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.23044e+07,35627.9,256224,-39163.5,0,3.23044e+07,2598.1,-23509,262961,0,262961,0,0,0,0,0,0,0,0,0,3.71758e+07,33939.1,200759,-191758,0,7.08262e+07,1370.22,7928.35,45261.2,45261.2,0,0,0,0,4.15535e+07,42432.7,233187,61041.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.54198e+07,37142.4,246412,-48975,0,3.54198e+07,6208.53,37364.1,237001,0,237001,0,0,0,0,0,0,0,0,0,4.24415e+07,42126.5,264950,-101606,0,7.93372e+07,-8709.59,-6029.77,85319,85319,0,0,0,0,2.93447e+07,29911.5,246233,34030,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.47597e+07,25464.4,219521,-75866.3,0,2.47597e+07,-8304.39,-7078.42,0,165397,0,165397,0,0,0,0,0,0,0,0,1.60877e+07,16668.1,207534,77979,0,4.18791e+07,225.703,-12229.6,165397,0,0,0,0,0,2.35571e+07,22689.3,202990,-89290.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.4258e+07,45370.5,250336,-45051.9,0,4.4258e+07,6565.18,1363.94,62597.1,92636.9,62597.1,92636.9,0,0,0,0,0,0,0,0,5.5021e+07,57403.2,300845,108693,0,1.01123e+08,4484.69,-35466,92636.9,0,0,0,0,0,4.864e+07,48515.1,212022,-7498.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.24281e+07,33371.4,230517,-64870.1,0,3.24281e+07,2881.84,-673.482,83515.1,63060.4,83515.1,63060.4,0,0,0,0,0,0,0,0,3.03498e+07,31006.8,211627,-1442.87,0,6.41291e+07,8498.66,26469.1,115588,52527.2,0,0,0,0,4.29628e+07,43699.7,278727,36255.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.54978e+07,45900.1,245096,-50291.2,0,4.54978e+07,-4571.6,-10955.6,111009,0,111009,0,0,0,0,0,0,0,0,0,3.22435e+07,32868.9,203935,-36629.3,0,7.9637e+07,-1453.84,-5301.83,132261,132261,0,0,0,0,4.40346e+07,44035.8,259475,329.632,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.8063e+07,28373.1,226999,-68388.4,0,2.8063e+07,3653.17,-1073.35,109730,0,109730,0,0,0,0,0,0,0,0,0,3.56632e+07,36637.8,221909,-17376.1,0,6.48955e+07,-2082.04,8763.16,154510,154510,0,0,0,0,3.04312e+07,29976.6,227047,-54347,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.67761e+07,38742,239921,-55466.8,0,3.67761e+07,4541.05,14514.3,100848,88124.6,100848,88124.6,0,0,0,0,0,0,0,0,4.55076e+07,46043.1,258298,27894.8,0,8.38161e+07,1266.87,-33060.3,94214.9,6090.34,0,0,0,0,4.50593e+07,44827.1,213189,-7909.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.81986e+07,37938,248888,-46499.2,0,3.81986e+07,-8864.97,-18828.2,0,0,0,0,0,0,0,0,0,0,0,0,2.07717e+07,21260.2,195555,65999.8,0,6.0562e+07,629.534,3827.45,23026.8,23026.8,0,0,0,0,3.12299e+07,31891.3,217962,68051.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.63079e+07,26591,190629,-104758,0,2.63079e+07,-8185,-3263.81,135080,0,135080,0,0,0,0,0,0,0,0,0,2.69554e+07,27444.7,209715,-54920.6,0,5.43595e+07,4436.6,13337.4,99850.7,99850.7,0,0,0,0,3.78539e+07,37967.4,237482,10747.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.52456e+07,25663.5,204743,-90644.6,0,2.52456e+07,-4222.86,-9413.31,150560,6878.06,150560,6878.06,0,0,0,0,0,0,0,0,3.06596e+07,30795,209355,-70760,0,5.69571e+07,542.635,4837.45,96692.2,89814.1,0,0,0,0,2.74442e+07,27355.6,212989,-10587.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.82185e+07,39749.7,266122,-29265.7,0,3.82185e+07,2503.57,283.257,177909,0,177909,0,0,0,0,0,0,0,0,0,3.31705e+07,31398.9,206568,-100897,0,7.29815e+07,-1499.82,1651.11,20522.6,20522.6,0,0,0,0,3.37922e+07,34657,236388,88981.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.02254e+07,19814.9,193278,-102109,0,2.02254e+07,-5240.68,-27558.9,0,0,0,0,0,0,0,0,0,0,0,0,1.75242e+07,18727,164914,35359.5,0,3.85922e+07,-2754.44,5233.45,81354.7,81354.7,0,0,0,0,2.54597e+07,25598.1,217850,9611.24,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.41724e+07,23791.4,177573,-117814,0,2.41724e+07,5563.74,12892.5,56722.1,0,56722.1,0,0,0,0,0,0,0,0,0,3.66746e+07,37610.9,225217,38939.8,0,6.18542e+07,437.436,6558.51,99295.5,99295.5,0,0,0,0,4.28397e+07,43006,261982,35802,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.57028e+07,35814.6,256274,-39113.9,0,3.57028e+07,1300.87,25339.6,63328.4,0,63328.4,0,0,0,0,0,0,0,0,0,2.97563e+07,31647.8,243177,50293.8,0,6.69467e+07,-303.369,5887.63,116582,116582,0,0,0,0,2.51312e+07,24951.1,218762,-24704.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.34138e+07,33084.1,236563,-58824.4,0,3.34138e+07,1630.62,23706.2,0,0,0,0,0,0,0,0,0,0,0,0,3.83607e+07,39988.6,268349,138794,0,7.31667e+07,6211.5,4084.76,140299,140299,0,0,0,0,3.3438e+07,33184,204444,-62738.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.0702e+07,21069.9,186959,-108429,0,2.0702e+07,-11905,-7521.96,165004,0,165004,0,0,0,0,0,0,0,0,0,2.28389e+07,22354.6,239053,-55506.1,0,4.44034e+07,-368.122,-19804.3,0,0,0,0,0,0,2.68517e+07,27838.5,203994,77110.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.51438e+07,34933.4,228686,-66701.9,0,3.51438e+07,3149.81,26856.3,0,0,0,0,0,0,0,0,0,0,0,0,3.69402e+07,37194.3,265145,135590,0,7.35484e+07,10155.3,22929.7,0,0,0,0,0,0,4.61886e+07,46776.5,272082,145198,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.15876e+07,31450,208574,-86813.3,0,3.15876e+07,3034.27,9915.36,0,73835.1,0,73835.1,0,0,0,0,0,0,0,0,3.99202e+07,41138.9,245406,115851,0,7.28239e+07,-9346.79,8027.46,123268,49433,0,0,0,0,3.68942e+07,37071.3,285877,35724.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.01115e+07,30202,220036,-75351,0,3.01115e+07,2012.01,23737.4,0,97575.3,0,97575.3,0,0,0,0,0,0,0,0,3.09542e+07,31470.1,230602,101047,0,6.23204e+07,3746.2,10008.1,97575.3,0,0,0,0,0,3.68414e+07,36944.1,263260,38800.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.83195e+07,38096.5,239900,-55487.7,0,3.83195e+07,2149.62,-8894.98,0,0,0,0,0,0,0,0,0,0,0,0,3.49975e+07,35589,210021,80466.4,0,7.49137e+07,2113.4,-3216.13,27258.3,27258.3,0,0,0,0,4.42879e+07,44557.2,246087,91944.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.81156e+07,27768.6,207925,-87462.2,0,2.81156e+07,3979.49,7993.48,0,1218.54,0,1218.54,0,0,0,0,0,0,0,0,4.17562e+07,42012.6,228921,99365.9,0,7.10433e+07,4370.7,5015.31,1218.54,0,0,0,0,0,4.90899e+07,49364.1,262955,134852,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.1327e+07,20818.3,209090,-86297.8,0,2.1327e+07,-3640.62,-4584.81,0,2742.59,0,2742.59,0,0,0,0,0,0,0,0,2.36883e+07,24950.1,213039,83483.7,0,4.59039e+07,-275.544,2488.3,120554,117812,0,0,0,0,2.36258e+07,23239.9,201301,-46137.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.19908e+07,32302.2,232229,-63158,0,3.19908e+07,-3933.31,-15444.6,0,106259,0,106259,0,0,0,0,0,0,0,0,3.00471e+07,30485.2,222647,93092.4,0,6.33709e+07,2671.45,19185,106259,0,0,0,0,0,3.41125e+07,34115.6,234639,1495.16,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.10494e+07,43218.5,262781,-32606.5,0,4.10494e+07,1875.8,762.265,174623,0,174623,0,0,0,0,0,0,0,0,0,4.34498e+07,42723.2,271026,-33152.2,0,8.62096e+07,-8176.4,-32129,0,0,0,0,0,0,2.00965e+07,22075.1,194296,67412.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.9377e+07,29094.1,205704,-89683.7,0,2.9377e+07,5182.49,12089.4,0,0,0,0,0,0,0,0,0,0,0,0,4.54268e+07,45678.3,263792,134237,0,7.60279e+07,1598.89,-1145.05,0,0,0,0,0,0,4.02631e+07,40573.4,244125,117241,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.53027e+07,25772.3,216859,-78529,0,2.53027e+07,-6218.49,-12095.8,92403.9,35018.9,92403.9,35018.9,0,0,0,0,0,0,0,0,2.65853e+07,27227.7,224615,2655.94,0,5.29423e+07,-2087.21,6048.06,121841,86822,0,0,0,0,3.00792e+07,29952,221329,-27395.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.73383e+07,37125.8,242511,-52876.3,0,3.73383e+07,-1310.41,1416.07,0,0,0,0,0,0,0,0,0,0,0,0,2.52251e+07,25441.4,191094,61538.6,0,6.41192e+07,930.127,-456.476,0,0,0,0,0,0,3.45101e+07,34913.7,219849,92965.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.36435e+07,34302,237343,-58044.1,0,3.36435e+07,12288.4,41720.8,10985.7,138019,10985.7,138019,0,0,0,0,0,0,0,0,4.18409e+07,42799.5,259726,119185,0,7.68862e+07,1066.45,11310.9,138019,0,0,0,0,0,3.5895e+07,35717.7,235390,-29512.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.40252e+07,33715.1,228183,-67204.1,0,3.40252e+07,-7085.81,-11324.7,0,0,0,0,0,0,0,0,0,0,0,0,3.101e+07,32105.2,224922,95366.8,0,6.64529e+07,-1565.26,437.767,195108,195108,0,0,0,0,4.12066e+07,40855.5,255611,-66381.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.36791e+07,33494.7,236914,-58473.1,0,3.36791e+07,1060.33,9658.45,0,0,0,0,0,0,0,0,0,0,0,0,2.58917e+07,26130.1,221948,92393.2,0,6.09741e+07,-1772.14,-17756.9,0,0,0,0,0,0,2.61523e+07,26735,223879,96994.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.9075e+07,28935.1,217389,-77998.6,0,2.9075e+07,-2471.93,-11666.8,0,60581.5,0,60581.5,0,0,0,0,0,0,0,0,1.44781e+07,14722.2,178217,48661.6,0,4.47645e+07,5069.5,4650.96,82365.6,21784.1,0,0,0,0,3.25446e+07,32474.9,192037,-17213,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.36531e+07,24303.8,208703,-86684.3,0,2.36531e+07,6499.18,2328.18,180512,0,180512,0,0,0,0,0,0,0,0,0,2.87545e+07,29006.2,225904,-84163.2,0,5.33932e+07,414.176,-4867.35,125521,125521,0,0,0,0,2.57871e+07,25496,203944,-48461.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.66273e+07,26579.2,195805,-99582.5,0,2.66273e+07,3958.01,-6366.05,0,100194,0,100194,0,0,0,0,0,0,0,0,4.12874e+07,41782.4,244315,114760,0,6.90242e+07,-12135.3,-15769.2,100194,0,0,0,0,0,2.95913e+07,29580.3,225363,-1715.17,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.073e+07,30254.9,217190,-78197.9,0,3.073e+07,3947.82,11560.8,0,0,0,0,0,0,0,0,0,0,0,0,2.9762e+07,31383.6,223628,94072.9,0,6.17725e+07,-2220.64,-4988.72,61898.7,61898.7,0,0,0,0,2.23876e+07,22564,199373,10590.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.03429e+07,41660.3,255926,-39461,0,4.03429e+07,-6974.39,-7715.96,128644,22343.5,128644,22343.5,0,0,0,0,0,0,0,0,2.70476e+07,27114.2,249299,-8900.09,0,6.90715e+07,1279.16,-8652.21,35826.6,13483.1,0,0,0,0,2.6354e+07,26743.6,175985,13274.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.15835e+07,21340.5,218353,-77034.6,0,2.15835e+07,-7333.28,-23130.7,0,0,0,0,0,0,0,0,0,0,0,0,1.79988e+07,18109.8,188798,59243.1,0,4.04817e+07,-7398.51,-6521.63,0,0,0,0,0,0,2.55608e+07,25672,223251,96366.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.53684e+07,35124.8,218174,-77213,0,3.53684e+07,-3539.04,-18769,0,0,0,0,0,0,0,0,0,0,0,0,3.40452e+07,34272.2,217546,87991,0,7.08872e+07,-12023.2,-30363.9,0,0,0,0,0,0,1.46872e+07,14783.8,184871,57987,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.88095e+07,40072,247833,-47554.5,0,3.88095e+07,4270.35,926.416,238948,0,238948,0,0,0,0,0,0,0,0,0,4.30939e+07,42615,261834,-106668,0,8.35205e+07,-2688.34,358.528,5021.64,5021.64,0,0,0,0,3.30765e+07,33600.5,230980,99074,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.97369e+07,41575.2,268304,-27083.4,0,3.97369e+07,8208.95,9454.33,101133,108866,101133,108866,0,0,0,0,0,0,0,0,4.11122e+07,41174.1,243846,13157.9,0,8.25047e+07,5902.65,22810.6,108866,0,0,0,0,0,4.14524e+07,41479,243391,7641.62,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.14635e+07,31764.7,240205,-55182.4,0,3.14635e+07,1566.2,18442.5,24557.6,79473.7,24557.6,79473.7,0,0,0,0,0,0,0,0,2.3106e+07,23824.1,215783,61670.6,0,5.58804e+07,8954.33,51834.2,150519,71045.1,0,0,0,0,4.08183e+07,40836.4,281060,3656.82,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.43101e+07,24266.5,201097,-94290,0,2.43101e+07,11128.1,28191.1,0,92651.4,0,92651.4,0,0,0,0,0,0,0,0,4.57468e+07,46212.4,262027,132472,0,7.10698e+07,1112.15,-4480.65,92651.4,0,0,0,0,0,4.23025e+07,42383.1,253840,34305,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.82294e+07,28117,209022,-86365.8,0,2.82294e+07,-583.588,-7467.04,0,71685.6,0,71685.6,0,0,0,0,0,0,0,0,2.9118e+07,29552.6,221791,92236.3,0,5.85237e+07,9212.66,20314.6,71802.5,116.951,0,0,0,0,4.29972e+07,43077.7,229103,30416.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.56723e+07,25471.1,245325,-50062.9,0,2.56723e+07,-1027.26,1907.23,0,0,0,0,0,0,0,0,0,0,0,0,1.97312e+07,19944,212052,82497.4,0,4.64731e+07,1682.07,-18914.3,0,0,0,0,0,0,1.78593e+07,17995.3,173294,46410.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.8555e+07,28232,221289,-74098.4,0,2.8555e+07,-9873.25,-29157.5,0,4451.91,0,4451.91,0,0,0,0,0,0,0,0,8.73e+06,9170.09,186577,57022.2,0,3.84748e+07,12480.3,32653.3,34367.7,29915.8,0,0,0,0,4.03738e+07,40760.1,225555,64303.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.73364e+07,27461.4,214211,-81176.2,0,2.73364e+07,1453.76,-35771.1,0,116191,0,116191,0,0,0,0,0,0,0,0,3.36423e+07,34141.7,213485,83930.5,0,6.21178e+07,-129.419,1373.95,116191,0,0,0,0,0,4.57713e+07,45839.4,256808,13732.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.85872e+07,28813.8,205044,-90343,0,2.85872e+07,3006.62,-15045.1,119458,0,119458,0,0,0,0,0,0,0,0,0,4.51587e+07,45502.7,255582,6568.85,0,7.49371e+07,-9609.82,-19302.9,29816.5,29816.5,0,0,0,0,1.97494e+07,20506.7,222215,65514.2,0,0,
