z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.24651e+06,33735.4,246974,0,0,0,0,0,117660,50233.3,0,0,0,0,0,0,0,0,0,0,0,0,0,3.4732e+07,34913.9,222216,-27662,0,3.4732e+07,-8314.22,-14454.1,50233.3,92976.7,0,92976.7,0,0,0,0,0,0,0,0,3.22418e+07,32375.3,208159,28370.8,0,6.8421e+07,623.577,5317.65,92976.7,0,0,0,0,0,2.15179e+07,21503.4,214919,-4941.44,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.54135e+07,46502.1,256220,6342.62,0,4.54135e+07,-4267.54,-9101.2,159639,11336.2,109406,11336.2,0,0,0,0,0,0,0,0,2.42436e+07,23821.8,209173,-80021.1,0,7.15493e+07,-2899.93,-7469.34,35389.8,24053.6,0,0,0,0,2.65489e+07,26884.3,214644,52370.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.86299e+07,29566.2,228659,-21218.8,0,2.86299e+07,-6275.93,-26373.3,173033,0,122800,0,0,0,0,0,0,0,0,0,1.89392e+07,18180.5,197614,-104974,0,4.8762e+07,1800.31,-8255.35,41615.9,41615.9,0,0,0,0,2.25764e+07,22682,178495,9995.42,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.71579e+07,37646.6,242650,-7227.33,0,3.71579e+07,2180.42,8122.49,50233.3,111351,0,111351,0,0,0,0,0,0,0,0,3.72129e+07,37273.8,212276,32487.6,0,7.59191e+07,-2968.31,-7499.66,111351,0,0,0,0,0,3.16877e+07,31626.9,201753,-36482.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.65733e+07,28067.8,214765,-35112.6,0,2.65733e+07,-5892.03,8633.94,212500,0,162267,0,0,0,0,0,0,0,0,0,2.79463e+07,27707.1,221561,-120494,0,5.56267e+07,-1016.91,11592.4,89252.8,89252.8,0,0,0,0,2.85781e+07,28615.7,221649,5511.73,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.52136e+07,25106.9,215741,-34136.9,0,2.52136e+07,-4191.18,9005.86,61487.7,0,11254.4,0,0,0,0,0,0,0,0,0,2.29083e+07,23183.1,236105,45062.8,0,4.91725e+07,-409.583,-27352.8,19270.7,19270.7,0,0,0,0,2.48833e+07,25192,197542,51387.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.71637e+07,37432.3,219715,-30163,0,3.71637e+07,-2702.45,-27225.5,98385.5,0,48152.2,0,0,0,0,0,0,0,0,0,3.46145e+07,35612.1,221816,-6124.44,0,7.33266e+07,418.383,-6454.89,71912.1,71912.1,0,0,0,0,3.26162e+07,33089.5,235776,36979.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.96091e+07,31694.9,240759,-9119.06,0,2.96091e+07,-10127.5,-29052.8,197339,0,147106,0,0,0,0,0,0,0,0,0,2.39522e+07,22425.2,194786,-132108,0,5.4795e+07,1445.64,15573.7,17634.7,17634.7,0,0,0,0,2.17046e+07,22794.8,220216,75697,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.5682e+07,36339.6,254534,4656.2,0,3.5682e+07,-1789.97,2711,122803,36032.5,72569.7,36032.5,0,0,0,0,0,0,0,0,3.01223e+07,30058.2,231568,-20790.4,0,6.72911e+07,471.327,-5969.82,36032.5,0,0,0,0,0,2.74516e+07,27556.6,193059,30142,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.75302e+07,38124.7,214389,-35488.5,0,3.75302e+07,-171.397,20871.1,167420,0,117187,0,0,0,0,0,0,0,0,0,4.71074e+07,47131.8,300787,3812.15,0,8.62014e+07,3978.24,11774.4,0,0,0,0,0,0,2.91572e+07,30157.3,213395,86511.4,0,0,
