z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-9.88761e+06,33735.4,246974,0,0,0,0,0,1.27819e+06,41951.8,0,0,0,0,0,0,0,0,0,0,0,0,0,3.03937e+07,26117.9,203999,-1.20641e+06,0,3.03937e+07,8562.96,27382.2,189568,0,147616,0,0,0,0,0,0,0,0,0,3.45584e+07,34379.1,245572,-73550.8,0,6.62185e+07,-4713.62,1834.71,52811.7,52811.7,0,0,0,0,2.5303e+07,25592.5,242020,62324.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.82152e+07,29730.4,227698,-1.18271e+06,0,3.82152e+07,-5581.85,-28823.6,371241,0,329289,0,0,0,0,0,0,0,876438,0,3.45921e+07,30370.5,183094,-317703,0,7.43996e+07,-2618.97,693.255,82846.2,82846.2,0,0,0,0,3.45202e+07,34562,220054,10323.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.31834e+07,27673.9,234144,-1.17626e+06,0,3.31834e+07,1192.23,-11796.6,217751,0,175799,0,0,0,0,0,0,119790,0,0,3.67959e+07,40056.8,243312,15795.9,0,7.13619e+07,-3545.54,-7737.86,683544,683544,0,0,0,654954,3.68414e+07,33046.6,236418,80942.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.49016e+07,29794.7,208675,-1.20173e+06,0,3.49016e+07,-3955.32,13184.9,385528,0,343577,0,0,0,0,0,306835,0,0,0,3.38105e+07,31461,238094,29845.8,0,7.01664e+07,-6042,-11390.8,0,0,0,26724.9,0,0,3.30355e+07,33614.7,243682,90073.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.3854e+07,23989,196877,-1.21353e+06,0,3.3854e+07,-439.355,-7611.35,141253,0,99300.7,0,0,0,0,0,56079,0,0,0,3.41496e+07,33929.7,212609,-2119.76,0,6.94142e+07,-7887.61,-18254.3,44868.7,44868.7,0,0,0,0,3.15466e+07,31746.3,239922,68169.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.84284e+07,37163.7,232965,-1.17744e+06,0,4.84284e+07,-4351.97,-7430.3,41951.8,0,0,0,0,104627,0,0,0,0,0,0,3.1218e+07,32422.2,214631,-61502.2,0,8.16643e+07,5068,2509.99,73949.5,73949.5,0,0,111967,0,3.78833e+07,38207.8,226188,137321,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.95081e+07,18660.9,197267,-1.21314e+06,0,2.95081e+07,2567.6,-12227.8,201837,39589.9,159885,39589.9,0,0,0,0,352901,0,0,0,3.07473e+07,29453.9,207869,229379,0,6.14849e+07,2571.84,-9002.14,64689.5,25099.7,0,0,127554,0,3.87237e+07,39247.5,232510,168491,0,0,
,,,,,,,,,,,,,,,,,,,,,,,5.35527e+07,40452,269798,-1.14061e+06,0,5.35527e+07,-2639.43,-10928.1,113468,13409.2,71515.9,13409.2,0,0,0,0,0,0,0,0,2.62721e+07,26674.5,206443,-36579.2,0,8.20561e+07,-873.744,-11689.3,93803.3,80394.1,0,0,64106.3,0,3.07878e+07,30716.2,225497,68915.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.72837e+07,33051.8,257884,-1.15252e+06,0,3.72837e+07,-3742.25,-6571.54,41951.8,108007,0,108007,0,0,0,0,0,0,0,0,2.96064e+07,29996.9,222632,51125.3,0,6.84436e+07,-11532,-33446.2,108007,0,0,0,0,90903.9,2.10466e+07,20777.2,203418,59430.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.42557e+07,21253.5,178646,-1.23176e+06,0,2.42557e+07,17335.5,45216.3,334800,0,292848,0,0,0,0,0,0,0,0,0,4.22795e+07,41144.5,254279,-210076,0,6.75458e+07,-7391.77,-23463.3,33861.4,33861.4,0,0,0,0,2.19208e+07,22098.2,201608,40863,0,0,
