z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.24666e+06,33735.4,246974,0,0,0,0,0,116218,51743.9,0,0,0,0,0,0,0,0,0,0,0,0,0,3.64726e+07,36827.3,250588,2151.61,0,3.64726e+07,-7175.15,-27961.8,140775,0,89030.9,0,0,0,0,0,0,0,0,0,2.86157e+07,28546.9,233571,-36758.8,0,6.6608e+07,1362.28,4452.4,14950.9,14950.9,0,0,0,0,2.07377e+07,20944.8,201268,59433.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.58509e+07,25943.2,200429,-48007.2,0,2.58509e+07,-2926.91,-10922.5,113747,0,62003.3,0,0,0,0,0,0,0,0,0,2.87489e+07,29041.2,226254,-17047.9,0,5.56769e+07,2804.45,304.948,46307.6,46307.6,0,0,0,0,3.3808e+07,34258.4,230928,57736.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.20576e+07,22500,208109,-40327.4,0,2.20576e+07,3641.93,13869.3,164000,45979.2,112256,45979.2,0,0,0,0,0,0,0,0,3.95952e+07,39559.6,222934,-70620.5,0,6.2572e+07,16534.3,31807.7,112229,66249.9,0,0,0,0,5.4615e+07,54648.2,246263,7149.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.36099e+07,36103.3,234006,-14430.2,0,3.36099e+07,3358.63,7263.37,51743.9,719555,0,719555,0,0,0,0,0,0,0,0,4.12494e+07,41359.8,240209,58910,0,7.62598e+07,2308.04,-24703,719555,0,0,0,0,0,3.34481e+07,31349.2,192029,-654410,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.5058e+07,36117.3,247553,-883.424,0,3.5058e+07,10099.4,11113.1,51743.9,131816,0,131816,0,0,0,0,0,0,0,0,4.27432e+07,43015.9,239232,57932.7,0,7.9262e+07,-2072.72,9161.35,131816,0,0,0,0,0,3.96343e+07,39625.8,255782,-2917.43,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.77688e+07,27651.1,213951,-34485.2,0,2.77688e+07,-7869.67,-11231.6,60946.3,0,9202.34,0,0,0,0,0,0,0,0,0,2.35908e+07,24026.9,240647,50145.9,0,5.25166e+07,-2561.01,-12647.3,23808.6,23808.6,0,0,0,0,2.58879e+07,26581.9,222107,71414.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.74844e+07,38203,218267,-30168.7,0,3.74844e+07,4159.55,-658.438,173440,0,121696,0,0,0,0,0,0,0,0,0,4.11966e+07,40952,223610,-79385.8,0,8.02429e+07,1756.12,8812.94,0,0,0,0,0,0,3.4665e+07,34884.6,234889,108005,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.41919e+07,24649.5,217275,-31161.4,0,2.41919e+07,-3599.5,2218.06,141875,63777.5,90130.9,63777.5,0,0,0,0,0,0,0,0,3.03403e+07,30234.9,215191,-56238.6,0,5.55402e+07,-4060.92,675.263,63777.5,0,0,0,0,0,2.29877e+07,23029.4,204925,14263.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.81127e+07,28996.1,238606,-9830.44,0,2.81127e+07,11185.4,24825,51743.9,254723,0,254723,0,0,0,0,0,0,0,0,4.7653e+07,48124.2,273611,92312.4,0,7.6937e+07,4642.68,-5297.84,254723,0,0,0,0,0,3.75098e+07,37262.4,233100,-148507,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.30616e+07,33424.9,241029,-7407.43,0,3.30616e+07,1208.27,1086.24,51743.9,72093.2,0,72093.2,0,0,0,0,0,0,0,0,2.85063e+07,28699.8,209685,28386.3,0,6.29454e+07,6530.14,12987.6,76367.8,4274.59,0,0,0,0,4.50049e+07,45296.4,251778,48526.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.24305e+07,33253.9,222514,-25922.3,0,3.24305e+07,-457.535,6491.95,139960,26984,88215.7,26984,0,0,0,0,0,0,0,0,2.67766e+07,26719.9,206988,-62526.4,0,6.05584e+07,6744.47,19624.8,83796.9,56812.9,0,0,0,0,3.86101e+07,38731.3,228434,17752.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.59066e+07,35942.5,240281,-8155.39,0,3.59066e+07,4533.1,-13212.3,51743.9,15998.5,0,15998.5,0,0,0,0,0,0,0,0,3.65514e+07,36655.8,221787,40488.4,0,7.39541e+07,-16247.2,-49881.9,15998.5,0,0,0,0,0,1.45548e+07,14600.6,165412,22529,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.66781e+07,26968.5,205105,-43331.6,0,2.66781e+07,-4164.92,-12965.4,155533,0,103789,0,0,0,0,0,0,0,0,0,2.39566e+07,23914.9,210587,-74501.2,0,5.17463e+07,7634.4,18007.7,69645.4,69645.4,0,0,0,0,2.81181e+07,28337.5,220922,24392.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.1149e+07,41513.6,261678,13242.2,0,4.1149e+07,2703.07,-12238.7,51743.9,55087.8,0,55087.8,0,0,0,0,0,0,0,0,2.85263e+07,28599,195540,14241.3,0,7.13898e+07,-2604.72,16027,55087.8,0,0,0,0,0,2.26187e+07,22851.5,239466,57494.1,0,0,
