z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.0209e+07,33735.4,246974,0,0,0,0,0,1.32095e+06,42048,0,0,0,0,0,0,0,0,0,0,0,0,0,3.84131e+07,31218.1,219445,-1.23373e+06,0,3.84131e+07,2721.6,8675.14,103369,75705.1,61320.5,75705.1,0,0,0,0,21650.5,0,0,0,3.48029e+07,34718.5,222382,11109.1,0,7.48165e+07,-13100.4,-11266.1,75705.1,0,0,0,0,17996.5,2.45896e+07,24754.7,225227,40634.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.88479e+07,25272.6,196469,-1.2567e+06,0,3.88479e+07,8266.65,18473.6,205853,0,163805,0,0,0,0,0,69252.2,0,0,0,3.42833e+07,33564.8,227065,-39090.9,0,7.47499e+07,-6128.67,-18815.8,33185.1,33185.1,0,0,6998.19,0,2.04562e+07,20882.3,203911,50839.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.36036e+07,26205.8,215545,-1.23763e+06,0,3.36036e+07,1565.54,16846.7,42048,15778.6,0,15778.6,0,135845,0,0,0,0,0,0,3.31705e+07,36776.1,255637,-51810.8,0,6.81742e+07,2456.62,23009.7,508734,492955,0,0,130100,351689,3.19383e+07,29163.1,234633,80804.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.45636e+07,33381.1,237048,-1.21612e+06,0,4.45636e+07,-1007.41,-13767,216524,0,174476,0,0,0,0,0,226480,0,0,0,3.79433e+07,37614.2,241429,121830,0,8.43637e+07,3727.66,-5709.22,75231.6,75231.6,0,0,113129,0,3.45141e+07,34756.7,223106,134119,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.76077e+07,34883.2,237397,-1.21577e+06,0,4.76077e+07,-2931.88,-48781,74924.3,0,32876.3,0,0,19658,0,0,0,0,0,0,3.04581e+07,30665.9,178892,-45244.8,0,8.00495e+07,5747.36,5232.76,76113.6,76113.6,0,0,0,0,4.25586e+07,42742.4,248377,45379.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.15919e+07,25860.4,205647,-1.24753e+06,0,3.15919e+07,2760.46,12763.1,165990,10590.1,123942,10590.1,0,0,0,0,0,0,0,0,4.11898e+07,41345.1,263480,-32064.8,0,7.4098e+07,-5035.46,-19.9754,61149.3,50559.2,0,0,6797.69,0,2.68638e+07,27051.3,224136,42900.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.57328e+07,36177.3,249366,-1.20381e+06,0,4.57328e+07,-4405.71,3768.24,163905,0,121857,0,0,0,0,0,86995.1,0,0,0,2.43482e+07,23919.6,220377,13911.7,0,7.19865e+07,1576.8,-16772,20381,20381,0,0,0,0,3.11955e+07,31434.1,182201,34935.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,5.13785e+07,47120.3,252259,-1.20091e+06,0,5.13785e+07,154.283,-16674.8,188717,0,146669,0,0,0,0,0,0,0,0,0,3.39009e+07,33725.6,210369,-107903,0,8.74202e+07,4625.81,17684.1,69119.7,69119.7,0,0,0,0,4.59696e+07,46439.8,269449,73444.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.21626e+07,27689.9,208371,-1.2448e+06,0,3.21626e+07,-2325.83,-90.3953,177097,2222.43,135049,2222.43,0,0,0,0,0,0,0,0,3.13559e+07,31684.2,229036,-77616.3,0,6.48586e+07,4012.54,1637.07,115840,113617,0,0,60744,0,3.11254e+07,31002.5,228526,46546.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.20657e+07,28975.1,218400,-1.23477e+06,0,4.20657e+07,147.232,-2051.68,42048,0,0,0,0,100541,0,0,0,0,0,0,3.40246e+07,34203.9,241078,-31066.4,0,7.7843e+07,4465.71,4837,0,0,0,100716,0,0,4.23282e+07,42783,257405,29805.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.98153e+07,29547.9,220356,-1.23282e+06,0,3.98153e+07,-10465.1,-31336.2,202226,0,160178,0,0,0,0,0,273922,0,0,0,2.56796e+07,24399,197249,139389,0,6.71538e+07,278.442,-11670.3,55461.4,55461.4,0,0,132933,0,4.90613e+07,49966.9,245222,195810,0,0,
