z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-1.08317e+06,33735.4,246974,0,0,0,0,0,147543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.85086e+07,18391.9,192188,-87573.5,0,1.85086e+07,3081.22,-7761.12,70038.1,0,70038.1,0,0,0,0,0,0,0,0,0,3.22923e+07,32872.1,215949,16356,0,5.19824e+07,-4516.29,-400.606,46756.6,46756.6,0,0,0,0,3.56424e+07,36454.3,263880,90239.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.89503e+07,28981.2,201056,-78705.4,0,2.89503e+07,7768.37,29189.1,95204.3,0,95204.3,0,0,0,0,0,0,0,0,0,4.46866e+07,44755.1,261327,36567.3,0,7.54848e+07,3148.83,1141.35,0,0,0,0,0,0,4.47702e+07,45190,257752,130868,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.23196e+07,32166.4,231208,-48553.1,0,3.23196e+07,-7221.13,-19484.9,0,0,0,0,0,0,0,0,0,0,0,0,1.83436e+07,18834.5,205514,75958.6,0,5.27261e+07,-7855.8,-48118.1,67801.1,67801.1,0,0,0,0,1.73642e+07,17304.9,172270,-22415.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.19438e+07,32744.1,230794,-48966.9,0,3.19438e+07,-14247.2,-37875.1,101680,127399,101680,127399,0,0,0,0,0,0,0,0,8.78122e+06,8639.28,185158,-46076.4,0,4.2764e+07,5166.11,10068.9,127399,0,0,0,0,0,2.52769e+07,24937.9,197852,-56431.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.35338e+07,23574.4,194667,-85094.4,0,2.35338e+07,6332.82,-5370.77,0,106354,0,106354,0,0,0,0,0,0,0,0,3.45074e+07,35038.4,206501,76946.1,0,5.95433e+07,-69.1546,-11998.2,106354,0,0,0,0,0,3.84869e+07,38553.5,237859,4621.07,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.21729e+07,31991.6,234656,-45104.8,0,3.21729e+07,-4436.96,-12522.4,0,0,0,0,0,0,0,0,0,0,0,0,2.2195e+07,22760,205057,75502.4,0,5.64214e+07,-5832.75,-7708.02,58927.8,58927.8,0,0,0,0,2.80641e+07,28261.6,216669,30856.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.0241e+07,19780.7,192431,-87330,0,2.0241e+07,-1186.14,-28322,0,49979.5,0,49979.5,0,0,0,0,0,0,0,0,2.12833e+07,21502.1,161264,31708.6,0,4.28163e+07,-2487.04,5679.45,49979.5,0,0,0,0,0,2.81546e+07,28412.7,214657,37793.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.79785e+07,28294.2,200265,-79495.8,0,2.79785e+07,606.901,-8589.39,129309,5532.11,129309,5532.11,0,0,0,0,0,0,0,0,4.36384e+07,44027.2,253384,-5480.03,0,7.34028e+07,157.612,5858.11,62220,56687.9,0,0,0,0,3.67128e+07,37621.9,252226,63121.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.43895e+07,34197.5,218882,-60879.7,0,3.43895e+07,-3493.78,-8190.49,0,0,0,0,0,0,0,0,0,0,0,0,3.29155e+07,33092.4,223958,94403.4,0,6.95001e+07,929.163,-2191.29,0,0,0,0,0,0,3.48747e+07,35045.9,229607,102723,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.78026e+07,27417.8,205130,-74631.4,0,2.78026e+07,-3365.81,-28061.6,27863.1,944.445,27863.1,944.445,0,0,0,0,0,0,0,0,2.87988e+07,29100.1,198839,41420.8,0,5.8376e+07,6930.74,-543.266,6795.5,5851.05,0,0,0,0,5.32563e+07,54126.4,245228,111548,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.6313e+07,37628.4,249907,-29854,0,3.6313e+07,1573.81,23878.6,263100,0,263100,0,0,0,0,0,0,0,0,0,3.6878e+07,36351.3,265568,-127087,0,7.55088e+07,4822.31,4471.85,33369.1,33369.1,0,0,0,0,3.82946e+07,38799.1,229435,69182.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.82899e+07,38643.4,231431,-48330.7,0,3.82899e+07,-4382.86,-10338.7,111864,0,111864,0,0,0,0,0,0,0,0,0,3.41736e+07,34122.4,211642,-29777,0,7.49075e+07,-4231.48,-3853.63,23409.4,23409.4,0,0,0,0,1.67157e+07,16868.2,185414,35120.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.97296e+07,19611,192418,-87343.6,0,1.97296e+07,-2565.48,-6447.1,77729.6,0,77729.6,0,0,0,0,0,0,0,0,0,4.21112e+07,43101.4,264105,56820.3,0,6.31001e+07,1093.14,7600.45,92380,92380,0,0,0,0,4.03779e+07,40976.4,266028,46764.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.37284e+07,34452.6,226466,-53295,0,3.37284e+07,4202.93,3594.41,157022,0,157022,0,0,0,0,0,0,0,0,0,3.96389e+07,39790.5,235157,-51419.7,0,7.55202e+07,-984.908,3114.31,100052,100052,0,0,0,0,2.67093e+07,26652.2,212843,-14092.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.50827e+07,35423.5,224429,-55331.9,0,3.50827e+07,2640.6,2742.59,38248.2,84042.6,38248.2,84042.6,0,0,0,0,0,0,0,0,3.30197e+07,33302.1,227823,60019.9,0,7.03417e+07,-8277.81,-22783.5,84042.6,0,0,0,0,0,3.1777e+07,31832.4,225630,14703.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.26713e+07,34181.1,239472,-40289,0,3.26713e+07,3539.54,32498.4,192542,0,192542,0,0,0,0,0,0,0,0,0,3.10618e+07,31155.6,239992,-82105.6,0,6.58185e+07,6549.13,31154.2,98729.8,98729.8,0,0,0,0,3.99222e+07,40426.9,281705,56090.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.48845e+07,35139.8,230088,-49673.3,0,3.48845e+07,-359.4,-8918.78,81917.4,0,81917.4,0,0,0,0,0,0,0,0,0,3.93947e+07,39879.1,231344,19871.8,0,7.65059e+07,-991.57,-19198.1,42637.5,42637.5,0,0,0,0,3.96512e+07,39818.3,205488,35966.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.61504e+07,27060.9,202524,-77237.6,0,2.61504e+07,-400.539,8140.82,192112,0,192112,0,0,0,0,0,0,0,0,0,3.62969e+07,34647.9,224554,-97113.1,0,6.41164e+07,1363.98,9400.86,22805.6,22805.6,0,0,0,0,2.48495e+07,26113.7,192761,43071.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.15781e+07,32405.3,236607,-43154.4,0,3.15781e+07,-2540.83,-11719.1,50821.9,71220.3,50821.9,71220.3,0,0,0,0,0,0,0,0,1.85664e+07,18682.4,189078,8701.12,0,5.21602e+07,6796.33,-3093.67,71220.3,0,0,0,0,0,3.838e+07,38586.4,217645,19540.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.47962e+07,34858.6,227679,-52082.2,0,3.47962e+07,1351.07,28279.6,0,73603.5,0,73603.5,0,0,0,0,0,0,0,0,3.76783e+07,37920.2,258675,129120,0,7.46956e+07,-345.542,-6324.21,73603.5,0,0,0,0,0,3.9481e+07,39528.6,241762,41274.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.08937e+07,42052.7,268395,-11366.4,0,4.08937e+07,4636.86,4428.65,30748.9,116362,30748.9,116362,0,0,0,0,0,0,0,0,3.58277e+07,36501.9,218013,57708.8,0,7.93316e+07,10704.8,24639.6,116362,0,0,0,0,0,4.90444e+07,49259.6,258186,14940.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.72356e+07,26531.1,222875,-56886.5,0,2.72356e+07,-5383.6,-38503.9,0,0,0,0,0,0,0,0,0,0,0,0,2.31075e+07,24670,167206,37651,0,5.20815e+07,9600.97,38999.4,83481.7,83481.7,0,0,0,0,4.56559e+07,46366.2,277637,67271.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.5117e+07,36347.5,238487,-41274.5,0,3.5117e+07,11475.7,57238.2,242738,0,242738,0,0,0,0,0,0,0,0,0,4.49198e+07,44810.4,292754,-79538.9,0,8.22783e+07,3157.94,-2195.3,54435,54435,0,0,0,0,4.11046e+07,41266.5,250213,68893.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.94668e+07,29806.4,217294,-62467,0,2.94668e+07,722.517,4144.24,39991.9,77835.8,39991.9,77835.8,0,0,0,0,0,0,0,0,3.05873e+07,31082.2,220691,51144.5,0,6.19349e+07,-955.516,11131.4,88904.7,11069,0,0,0,0,2.56356e+07,25685.7,224123,8334.55,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.11484e+07,31131.5,218553,-61208.2,0,3.11484e+07,-4811.1,-1808.39,0,65488.6,0,65488.6,0,0,0,0,0,0,0,0,2.56296e+07,26772.1,238622,109067,0,5.87663e+07,3477.71,-1118.08,65488.6,0,0,0,0,0,3.59668e+07,36041.8,198862,6489.02,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.30127e+07,32999.7,232788,-46972.8,0,3.30127e+07,-11154.5,-26365.6,47563,0,47563,0,0,0,0,0,0,0,0,0,1.98368e+07,20357,210342,33223.7,0,5.49566e+07,6226.95,-1145.05,44790.6,44790.6,0,0,0,0,3.64618e+07,36981.6,233824,62149.6,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.00511e+07,29777.8,211783,-67978.7,0,3.00511e+07,3324.34,332.647,0,0,0,0,0,0,0,0,0,0,0,0,3.41918e+07,34717.6,207618,78062.8,0,6.6161e+07,1677.46,2170.5,75505,75505,0,0,0,0,3.89947e+07,39102.8,243224,40834.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.46203e+07,25915.2,212534,-67226.9,0,2.46203e+07,3424.08,2764.11,241903,0,241903,0,0,0,0,0,0,0,0,0,3.58764e+07,35156.7,236084,-135374,0,6.20681e+07,-2973.9,21446.2,86263.1,86263.1,0,0,0,0,3.14207e+07,32148.8,263702,50555.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.23804e+07,32745.6,213927,-65834.1,0,3.23804e+07,4626.78,31219.2,104067,0,104067,0,0,0,0,0,0,0,0,0,3.63671e+07,37340.6,265230,31607.4,0,7.08144e+07,-19511.2,-27445.2,31380.4,31380.4,0,0,0,0,1.42193e+07,14563.7,178937,20672.5,0,0,
