z_0,X_0,Y_0,ds_0,e_0,v_0,xf_0,yf_0,f1_0,f2_0,f3_0,phi1(1)_0,phi1(2)_0,phi2(1)_0,phi2(2)_0,phi3(1)_0,phi3(2)_0,psi1(1)_0,psi1(2)_0,psi2(1)_0,psi2(2)_0,psi3(1)_0,psi3(2)_0,z_1,X_1,Y_1,ds_1,e_1,v_1,xf_1,yf_1,f2_1,f3_1,df2_1,df3_1,phi2(1)_1,phi2(2)_1,phi3(1)_1,phi3(2)_1,psi2(1)_1,psi2(2)_1,psi3(1)_1,psi3(2)_1,z_2,X_2,Y_2,ds_2,e_2,v_2,xf_2,yf_2,f3_2,df3_2,phi3(1)_2,phi3(2)_2,psi3(1)_2,psi3(2)_2,z_3,X_3,Y_3,ds_3,e_3,w_3,
-5.36879e+09,33735.4,246974,6.90964e+08,6.90964e+08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49214e+09,40303.3,245878,-6.90633e+08,217144,7.49214e+09,3117.6,-19898.7,0,0,0,0,0,0,0,0,0,0,0,0,4.17376e+07,41430.2,230300,-23055.3,93343.5,7.53388e+09,1613.17,2141.43,0,0,0,0,0,0,3.66211e+07,36680.8,226854,6626.92,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.09379e+10,37383.8,226480,-6.90605e+08,264787,1.09379e+10,-3702.31,-354.914,0,0,0,0,0,0,0,0,0,0,0,0,3.52017e+07,34802.4,250263,-144079,0,1.09731e+10,8906.95,24780.2,125903,125903,0,0,0,0,3.73999e+07,37471.3,256298,3510.83,0,0,
,,,,,,,,,,,,,,,,,,,,,,,6.16634e+09,31558.6,222449,-6.90633e+08,240503,6.16634e+09,8116.36,19590.2,0,0,0,0,0,0,0,0,0,0,0,0,4.2518e+07,42223.5,236726,-42668.6,90663.4,6.20886e+09,-3262.21,-2161.53,0,0,0,0,0,0,3.19709e+07,32097,227400,9853.07,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.22702e+09,32674.1,236463,-6.90316e+08,544010,4.22702e+09,3100.25,-900.005,0,0,0,0,0,0,0,0,0,0,0,0,3.48961e+07,33399.7,214476,-346921,112168,4.26192e+09,2213.46,1633.81,0,0,0,0,0,0,3.46249e+07,34567.5,222572,-16480.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.89764e+09,24727,205454,-6.90584e+08,306748,4.89764e+09,3132.62,15506.3,0,0,0,0,0,0,0,0,0,0,0,0,1.72769e+07,16710.5,200208,-131290,104805,4.91492e+09,10441.8,19078.5,0,0,0,0,0,0,3.83079e+07,38285.5,224720,-6968.62,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.7928e+09,38545.6,231921,-6.85121e+08,5.74336e+06,2.7928e+09,3327.56,24804.7,0,0,0,0,0,0,0,0,0,0,0,0,5.71013e+07,31027.3,235501,-5.54043e+06,96981.1,2.84991e+09,-1422.3,3618.21,0,0,0,0,0,0,3.25288e+07,32531.1,225293,1427.37,0,0,
,,,,,,,,,,,,,,,,,,,,,,,6.73776e+09,29587.6,237343,-6.9064e+08,219038,6.73776e+09,8277.84,9384.45,0,0,0,0,0,0,0,0,0,0,0,0,3.69003e+07,36890.7,241097,-2440.64,105055,6.77466e+09,-8285.98,-13755.7,0,0,0,0,0,0,2.69866e+07,26916.7,211891,-20047.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.562e+09,36046.5,244702,-6.90475e+08,376438,4.562e+09,-1911.14,-12833,0,96.3444,0,96.3444,0,0,0,0,0,0,0,0,3.00042e+07,29444.9,205109,-300884,0,4.59201e+09,3217.86,21323.9,158994,158898,0,0,0,0,4.62975e+07,46255.3,275444,-10433.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,8.58773e+09,34859.8,269207,-6.90566e+08,260952,8.58773e+09,8747.9,31082.7,0,0,0,0,0,0,0,0,0,0,0,0,3.30002e+07,31977.1,231977,-76758.2,81771.5,8.62073e+09,550.132,7195.62,0,0,0,0,0,0,3.02958e+07,30459.9,234274,25618.5,0,0,
,,,,,,,,,,,,,,,,,,,,,,,6.74186e+09,33612.9,232703,-6.90647e+08,216515,6.74186e+09,2575.07,3262.22,0,0,0,0,0,0,0,0,0,0,0,0,3.8366e+07,38174.3,235561,-32225.1,78283.1,6.78022e+09,-6442.19,-15024.4,0,0,0,0,0,0,2.30795e+07,23080.2,205257,89.7125,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.23091e+09,36551.3,242671,-6.90318e+08,535675,4.23091e+09,-3174.9,-7946.4,0,0,0,0,0,0,0,0,0,0,0,0,-7.99013e+12,27384.7,206781,1e+12,1e+12,-7.9859e+12,-5700.26,10851.7,52916,52916,0,0,1e+12,0,8.00002e+12,22031,234139,54339.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,6.7379e+09,29073.7,201844,-6.90707e+08,187396,6.7379e+09,-4380.95,-21805.3,0,0,0,0,0,0,0,0,0,0,0,0,3.59162e+07,35831.4,241788,-8095.42,67067.8,6.77382e+09,-5933.74,-7789.8,0,0,0,0,0,0,2.5281e+07,25360.1,210978,17025.7,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.2269e+09,32320.1,210694,-6.90353e+08,531957,4.2269e+09,-830.228,-20803,0,0,0,0,0,0,0,0,0,0,0,0,3.58242e+07,34090.9,208055,-453457,0,4.26272e+09,2977.02,7982.87,114110,114110,0,0,0,0,3.35452e+07,33400.4,226097,-14897,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.90182e+09,33736.8,217325,-6.90087e+08,791853,3.90182e+09,5090.43,14393.6,0,0,0,0,0,0,0,0,0,0,0,0,-7.99012e+12,37117.8,250339,9.99999e+11,1e+12,-7.98622e+12,3767.99,1717.99,0,0,0,0,1e+12,0,8.00003e+12,35268.4,229860,56353,0,0,
,,,,,,,,,,,,,,,,,,,,,,,8.59437e+09,41582.3,236852,-6.90859e+08,0,8.59437e+09,6597.78,20350.2,302348,0,302348,0,0,0,0,0,0,0,0,0,4.54348e+07,44769.2,269407,-41823.3,120673,8.63981e+09,9899.41,29496.1,0,0,0,0,0,0,4.6467e+07,46891.1,277006,29448.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,6.16881e+09,33972,243799,-6.90639e+08,213265,6.16881e+09,3421.27,-2894.43,0,0,0,0,0,0,0,0,0,0,0,0,3.30719e+07,32286.2,214070,-67246.1,61504.3,6.20188e+09,-2956.87,-15594.8,0,0,0,0,0,0,3.41579e+07,34700.5,220965,32576.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.79386e+09,39445.4,246711,-6.85158e+08,5.69101e+06,2.79386e+09,-5416.2,-20963.2,0,0,0,0,0,0,0,0,0,0,0,0,-7.99012e+12,26714.2,221598,9.99994e+11,1e+12,-7.98732e+12,2288.61,-3278.26,0,0,0,0,1e+12,0,8.00003e+12,34937.7,197978,39695.9,0,0,
,,,,,,,,,,,,,,,,,,,,,,,-7.83147e+12,25760.2,203196,9.99309e+11,1e+12,-7.83147e+12,3510.24,19950.2,0,161877,0,161877,0,0,0,0,9.65457e+11,0,0,0,7.84509e+12,31966,222877,-3.45429e+10,0,1.36219e+10,264.803,-2194.5,161877,0,0,0,0,0,3.13093e+07,31176.4,243393,-45368.3,0,0,
,,,,,,,,,,,,,,,,,,,,,,,4.90744e+09,34505.8,237442,-6.90587e+08,271357,4.90744e+09,-4077.48,-31094.5,0,0,0,0,0,0,0,0,0,0,0,0,3.25463e+07,31699.5,209542,-132154,59215.7,4.93999e+09,973.424,-27068.3,0,0,0,0,0,0,2.67581e+07,26613.9,166327,-19772.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.76738e+09,17099.8,203462,-6.90893e+08,0,2.76738e+09,-1865.58,-16052.6,6.8076e+06,0,6.8076e+06,0,0,0,0,0,0,0,0,0,-7.93003e+12,30112.6,209132,9.99993e+11,1e+12,-7.92726e+12,-1129.13,-8583.51,81537.8,81537.8,0,0,1e+12,0,8.00003e+12,31678.8,208812,390.286,0,0,
,,,,,,,,,,,,,,,,,,,,,,,1.09404e+10,40061.1,255320,-6.90596e+08,244595,1.09404e+10,-9718.27,-6947.83,0,0,0,0,0,0,0,0,0,0,0,0,1.96283e+07,18462,202675,-53210.4,118265,1.09601e+10,3313.73,32846.1,0,0,0,0,0,0,3.10559e+07,31050.9,244977,-171.258,0,0,
,,,,,,,,,,,,,,,,,,,,,,,2.78936e+09,35025.2,210106,-6.8514e+08,5.74609e+06,2.78936e+09,8809.8,15804.9,0,0,0,0,0,0,0,0,0,0,0,0,7.99272e+07,49626.7,278797,-5.49185e+06,105006,2.86929e+09,5376.62,-1833.11,0,0,0,0,0,0,4.09993e+07,41094.1,245773,13882.2,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.57325e+09,38187.4,223928,-6.89614e+08,1.25853e+06,3.57325e+09,6440.56,24261.8,0,0,0,0,0,0,0,0,0,0,0,0,5.24718e+07,48540.9,278166,-1.00281e+06,107115,3.62573e+09,-13667.2,-21862.5,0,0,0,0,0,0,2.08019e+07,20762,221555,-12443.8,0,0,
,,,,,,,,,,,,,,,,,,,,,,,5.26923e+09,22897.9,198791,-6.90742e+08,155438,5.26923e+09,-11004.3,-33267.7,0,67171.4,0,67171.4,0,0,0,0,0,0,0,0,1.16314e+07,11010.1,172382,-112611,0,5.28086e+09,-5859.08,-27334.4,67171.4,0,0,0,0,0,1.81164e+07,18085.5,167260,-26795.4,0,0,
,,,,,,,,,,,,,,,,,,,,,,,3.55531e+09,19782.3,189752,-6.89703e+08,1.20298e+06,3.55531e+09,-579.731,7882.97,0,0,0,0,0,0,0,0,0,0,0,0,2.7002e+07,20673.3,219530,-1.06378e+06,49232.9,3.58231e+09,-1863.17,-18342.1,0,0,0,0,0,0,2.69251e+07,27021.1,195488,19371.1,0,0,
,,,,,,,,,,,,,,,,,,,,,,,6.16696e+09,31849.8,231364,-6.9067e+08,194807,6.16696e+09,-6208.43,-5275.31,0,2.01773,0,2.01773,0,0,0,0,0,0,0,0,3.03264e+07,30525.9,235222,14969.2,104109,6.19729e+09,7289.17,32875.5,2.01773,0,0,0,0,0,4.03825e+07,41030.7,269912,38917,0,0,
